"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"ASV_1"	2652.79862052779	3.80665498326472	0.654393341096399	5.8170747533691	5.98863651002883e-09	2.03414020123979e-06	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"ASV_2"	1966.40661291701	4.25878463002065	0.679436447893213	6.26811329187038	3.65448869322017e-10	3.72392397839136e-07	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"ASV_5"	1314.44954314933	-2.56947586730952	0.558730440552122	-4.59877551108623	4.24981419477558e-06	0.000346808241329579	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
"ASV_7"	406.937855298743	-1.53588625592542	0.431451531294585	-3.55981180856385	0.000371120650885645	0.00804621155856324	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_13"	39.5567397344802	-3.18438973396637	0.694143987932871	-4.58750603523822	4.48572464549548e-06	0.000346808241329579	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
"ASV_15"	492.87631812815	-2.60313775858415	0.494389666743292	-5.2653563245605	1.39917708472746e-07	3.5644036233432e-05	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_16"	295.49234759156	-3.04190073639851	0.605374701097554	-5.02482302429139	5.03896991004837e-07	8.55785056389882e-05	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_17"	130.190171322515	-4.06233534225867	0.677956509964422	-5.99202940387998	2.07238442904865e-09	1.05587986660029e-06	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_18"	208.90991344515	6.49262000477662	1.32193740377051	4.91144284612717	9.04086411404929e-07	0.000131609150460232	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"ASV_23"	221.664668946321	-2.30515205654599	0.494008849326426	-4.66621612080235	3.06797010172071e-06	0.000346808241329579	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_24"	133.47791179223	-2.63833821193022	0.624782502905176	-4.22281065756837	2.41274502567361e-05	0.00102441132548392	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_28"	143.010644053289	5.54033050677603	1.35816038173858	4.07929032628962	4.51733924907689e-05	0.00170487729437384	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"ASV_31"	57.3015733303258	-3.83926994531727	0.750056093073618	-5.11864376647421	3.07740605318155e-07	6.27175353638401e-05	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_39"	65.0142967646648	-2.56566199495685	0.56008776546241	-4.5808213518798	4.63153355542459e-06	0.000346808241329579	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_50"	11.7417711667409	-3.87184937458928	0.907569019853559	-4.26617622449697	1.98851730664222e-05	0.000921045061576556	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
