""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Enhydrobacter"	2.7253161640003	18.47318766276	0.920472763466061	20.0692387607416	1.37088143798848e-89	2.02890452822295e-87
"Parabacteroides"	10.1669070604522	16.9096882846773	0.981441447732365	17.2294417805029	1.59684905244615e-66	1.18166829881015e-64
"Collinsella"	5.82214155874931	-15.1873508269303	1.05076742856422	-14.4535797495003	2.37988280928927e-47	1.17407551924937e-45
"Intestinibacter"	2.25394947039113	17.9154135757117	1.31487056796522	13.6252297467089	2.83516641606161e-42	1.0490115739428e-40
"Sneathia"	0.913553249749972	42.945756277949	3.18533699298018	13.4823274186036	1.98737311624735e-41	5.88262442409215e-40
"Fusicatenibacter"	4.2201147441486	14.2393915757133	1.11886000346956	12.7266963977238	4.20247278045303e-37	1.03660995251175e-35
"Terrisporobacter"	2.50778259324415	14.1970184846789	1.52863597407567	9.28737693306188	1.58137380302181e-20	3.34347604067469e-19
"Bacteroides"	325.930160660016	6.3386349347577	0.836281683703115	7.57954533535851	3.46768017221727e-14	6.41520831860195e-13
"Jonquetella"	1.86820693092213	15.3468186072263	2.03542436173844	7.53986190580852	4.70469393487274e-14	7.73660780401295e-13
"Atopobium"	96.6313891055572	6.62222748229416	1.02074409761877	6.48764709758571	8.71872026324407e-11	1.29037059896012e-09
"Bifidobacterium"	521.806715309692	-5.8635678529222	0.969993034493954	-6.04495872074095	1.49448260414739e-09	2.01075841285285e-08
"Anaerococcus"	218.597743645607	-3.20189262059795	0.63013889487484	-5.08124898596192	3.74961254436747e-07	4.62452213805321e-06
"Gemella"	7.79185473157202	7.91483352553366	1.58884969295649	4.98148664447042	6.30976398165062e-07	7.18342360987917e-06
"Enterococcus"	11413.4265528782	-2.76659800286021	0.685798953003781	-4.03412398158759	5.48063763986512e-05	0.000579381693357169
"Escherichia/Shigella"	9056.50356340504	2.79287556202236	0.731059903737612	3.8203101383943	0.000133283971784216	0.00131506852160426
"Staphylococcus"	11942.1667808845	-2.08834361911641	0.580014594083131	-3.6005018501605	0.000317603568638078	0.00293783300990222
"Fusobacterium"	8.18064756902353	-3.90999070011992	1.20196921513725	-3.25298739009172	0.00114198564833106	0.00994199270311743
