"dada2_input"	"filtered"	"dada_f"	"dada_r"	"merged"	"nonchim"	"final_perc_reads_retained"
"10c.m1.S63"	197527	106972	106550	89734	83086	79865	40.4
"10c.m2.S69"	214067	107758	107574	83069	74087	70267	32.8
"10c.m3.S75"	208756	108079	107904	85867	77789	73903	35.4
"10c.o.S50"	150481	76114	74822	75159	68043	55178	36.7
"10c.u.S78"	96581	75058	75027	75052	74661	72867	75.4
"10k.m1.S47"	119298	77524	77505	77499	77118	76769	64.4
"10k.m2.S59"	137704	92382	92353	92350	91991	91431	66.4
"10k.m3.S71"	111849	74288	74257	74259	73876	73347	65.6
"10k.o.S62"	114486	65349	64855	65050	62597	57767	50.5
"10k.S24"	120675	85722	85641	85702	85144	84313	69.9
"10k.u.S8"	137678	85952	85855	85905	85146	83089	60.4
"11c.m1.S81"	130423	84361	84332	84352	82932	79881	61.2
"11c.m2.S87"	151691	101415	101369	101386	99324	88041	58
"11c.m3.S93"	108224	70245	70223	70232	69362	69008	63.8
"11c.o.S90"	110719	72238	71964	72149	70398	63239	57.1
"11c.S28"	125057	83788	83701	83720	82933	80144	64.1
"11c.u.S20"	143043	94818	94779	94797	93841	92507	64.7
"11c.u.S70"	146119	113319	113297	113297	111995	110641	75.7
"11k.m1.S75"	128077	96637	96571	96631	96048	95094	74.2
"11k.m2.S87"	98003	72879	72825	72876	72410	71797	73.3
"11k.m3.S83"	121183	83289	83259	83268	83044	82929	68.4
"11k.o.S29"	121121	82239	81723	82140	79878	77054	63.6
"11k.S30"	117403	79843	79794	79808	79289	77503	66
"11k.u.S32"	122104	76422	76310	76372	75073	68993	56.5
"12c.m1.S52"	194858	138643	138546	138581	135940	130457	66.9
"12c.m2.S58"	163277	118080	118017	118017	115644	107405	65.8
"12c.m3.S64"	133985	91211	90797	90812	89233	84931	63.4
"12c.o.S74"	87230	41680	41295	41521	39468	35409	40.6
"12c.o.S82"	149079	84258	83575	84023	79984	73562	49.3
"12c.u.S36"	146166	78507	78093	78106	76726	75483	51.6
"12k.m1.S95"	107930	69334	69313	69316	68866	67472	62.5
"12k.m2.S12"	155313	104660	104639	104655	104376	104110	67
"12k.m3.S24"	140112	94426	94414	94413	94112	93663	66.8
"12k.o.S1"	138446	85284	85223	85202	84534	82063	59.3
"12k.S36"	84690	62247	62217	62211	61825	61124	72.2
"12k.u.S48"	177738	90872	90495	90600	89561	87188	49.1
"13c.m1.S70"	205439	145431	145342	145352	142326	128353	62.5
"13c.m2.S76"	119290	63508	63499	63483	62066	57908	48.5
"13c.m3.S82"	175905	124914	124807	124873	122275	110921	63.1
"13c.o.S8"	124778	87513	87431	87478	85820	80722	64.7
"13c.u.S44"	136161	75000	72691	74157	65665	57541	42.3
"13k.m1.S72"	122129	73480	73452	73472	73137	70325	57.6
"13k.m2.S84"	121044	81209	81186	81201	80939	79676	65.8
"13k.m3.S96"	142314	95976	95934	95944	95421	94694	66.5
"13k.o.S44"	129558	90817	90762	90762	89997	86092	66.5
"13k.S40"	100992	72681	72638	72675	71930	69833	69.1
"13k.u.S60"	164031	84749	84323	84287	82240	80218	48.9
"14c.m1.S54"	141673	99575	99506	99530	98711	91865	64.8
"14c.m2.S60"	138106	102859	102825	102849	101367	91711	66.4
"14c.m3.S66"	125177	92909	92853	92883	92398	91849	73.4
"14c.o.S20"	115877	84586	84562	84582	84150	81647	70.5
"14c.S34"	115250	72432	72299	72340	71667	61763	53.6
"14c.u.S72"	140083	87404	87302	87339	86433	85317	60.9
"14k.m1.S36"	125016	77847	77820	77833	77116	71470	57.2
"14k.m2.S48"	137805	82383	82369	82376	81976	79323	57.6
"14k.m3.S60"	153295	104881	104860	104865	104586	104222	68
"14k.o.S25"	139988	85811	85659	85731	84701	81555	58.3
"14k.S3"	100266	67096	66956	67084	66708	65694	65.5
"14k.u.S13"	162811	86557	86523	86519	85573	83325	51.2
"15c.m1.S72"	126481	82009	81905	81992	81297	72759	57.5
"15c.m2.S78"	115290	84048	84008	84015	82121	73329	63.6
"15c.m3.S96"	136841	104410	104329	103648	101906	97536	71.3
"15c.o.S18"	148211	115546	115524	115529	114420	112847	76.1
"15c.S38"	124002	92019	91956	92009	91435	89601	72.3
"15k.m1.S49"	156252	110830	110339	110329	107545	96851	62
"15k.m2.S55"	146170	104219	104165	104163	101728	95033	65
"15k.m3.S61"	156852	111531	111503	111475	108909	95594	60.9
"15k.S9"	96753	60499	60422	60452	59669	55446	57.3
"15k.u.S84"	96808	51685	51580	51630	50785	48801	50.4
"16c.m1.S84"	129769	97382	97343	97374	97001	96556	74.4
"16c.m2.S90"	102658	74772	74745	74756	74518	74310	72.4
"16c.m3.S49"	91674	68338	68316	68334	68033	67829	74
"16c.o.S81"	133756	106521	106465	106501	103370	101886	76.2
"16c.S44"	103821	64944	64759	64898	64155	60121	57.9
"16k.m1.S67"	192053	133238	133200	133180	130058	124024	64.6
"16k.m2.S73"	163098	113454	113415	113411	110795	105245	64.5
"16k.m3.S79"	120606	83557	83528	83531	81438	74914	62.1
"16k.o.S3"	157367	87622	86983	87274	85231	81985	52.1
"17c.m1.S4"	138850	108701	108546	108675	106954	102005	73.5
"17c.m2.S16"	111173	86823	86730	86805	85370	81722	73.5
"17c.m3.S88"	190943	139307	139192	139246	137706	135364	70.9
"17c.o.S15"	108540	67544	67440	67508	66216	59946	55.2
"17c.o.S94"	90340	61094	61027	61080	60121	55666	61.6
"17c.S1"	157031	98227	98187	98194	97547	96127	61.2
"17c.u.S96"	169628	94639	94152	94431	92733	90562	53.4
"17k.m1.S85"	195756	129910	129872	129890	128956	123940	63.3
"17k.m2.S91"	167598	113404	113369	113393	112387	107927	64.4
"17k.m3.S50"	150068	108430	108389	108398	106934	105700	70.4
