"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"ASV_5"	487.744569614673	2.1711274818622	0.475028424261469	4.57052119615298	4.86512708342008e-06	0.000116974577266578	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
"ASV_7"	11487.5027702204	1.66236057575098	0.508252705010647	3.27073630767229	0.00107267880682026	0.00956760290599359	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_10"	242.778949779278	1.82338958342857	0.479589261752438	3.801981672329	0.0001435433480346	0.00172564068398116	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
"ASV_11"	7485.76099528538	2.04200231061323	0.523038759312429	3.90411279136864	9.45716708273376e-05	0.00137626668335573	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_45"	164.068121635917	2.63376986192261	0.499376224290062	5.27411945906497	1.33394999367961e-07	6.14728622087355e-06	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_46"	181.630399716489	2.14843052451105	0.655038179187122	3.27985542335436	0.00103860295544369	0.00956760290599359	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"ASV_51"	295.852703447374	-3.18531116732381	0.729209892747891	-4.36816779229443	1.25293219562858e-05	0.00023892120833883	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_59"	300.133673994186	6.86555040481195	1.13885980822674	6.02844209200953	1.65547692281291e-09	1.83095747663107e-07	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Rothia"
"ASV_62"	126.172044301461	-3.3236562463392	0.639058845756007	-5.20086102932713	1.98367388389962e-07	7.8355118414035e-06	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_74"	118.223312601025	2.00705833866022	0.487903522773618	4.11363772749695	3.89472491901295e-05	0.000652661478852777	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium_1"
