"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"ASV_7"	48513.1185091429	-6.36779714809591	0.956786491440355	-6.65540034800217	2.82529930738929e-11	1.07502638646163e-08	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_11"	18902.4473298841	-6.49389201803688	0.992520858243746	-6.54282674676253	6.03667517065274e-11	1.53130326828891e-08	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_13"	9548.43990992731	-4.16806893207439	1.08396633088507	-3.84520147288258	0.000120453428713438	0.00705115840391742	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
"ASV_26"	7444.89893053637	-5.1607429813759	1.21193987463156	-4.25825000843776	2.06033454080323e-05	0.00142537689595569	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
"ASV_39"	3303.89664925295	-5.31657936750653	1.21967459539093	-4.35901459913779	1.30649397945437e-05	0.00110471324262753	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_45"	300.000837374903	-5.89376833529556	1.34536247595949	-4.38080327094913	1.18242593242585e-05	0.00110471324262753	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_61"	1783.82520435785	-5.99960209025663	1.31783965632996	-4.55260399961319	5.29859527745868e-06	0.000672038501024342	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_225"	10.4773778727602	2.84951213278579	0.648524125572249	4.39384137062197	1.11365091193582e-05	0.00110471324262753	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
"ASV_230"	3.73833534961922	-3.95934764282213	0.546198192862691	-7.24892116920181	4.20104291588106e-13	3.19699365898549e-10	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
"ASV_244"	605.473749269529	6.81309140400834	1.72319086813333	3.95376480342467	7.69310344750167e-05	0.00487870976962398	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Escherichia/Shigella"
"ASV_278"	133.614204455396	-7.6213074286554	1.57961254204569	-4.8247954645798	1.40147014739473e-06	0.000213303756433478	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"
"ASV_529"	5.79371266705745	11.1553071617964	2.60177899193001	4.2875690811545	1.80639089109214e-05	0.00137466346812112	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"
"ASV_545"	51.6504183499838	-6.7013699130798	1.79141818842144	-3.74081828374474	0.000183422103986079	0.00997030150952898	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
"ASV_1459"	24.8608175453409	-5.40333326013415	1.03733363395557	-5.20886731449181	1.89996916654009e-07	3.61469133934253e-05	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"
