"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"ASV_4"	9471.25085889264	3.60000269167286	0.901690272729955	3.99250474419947	6.53790245376394e-05	0.00324170996665795	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Escherichia/Shigella"
"ASV_21"	380.928024098518	-11.2326813672458	2.08511899308366	-5.38706970897324	7.16156636429979e-08	6.08733140965482e-06	"Bacteria"	"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Atopobium"
"ASV_49"	2825.02422048087	-8.20936333811134	1.83145166138784	-4.48243516942753	7.37960653552471e-06	0.000487873987626356	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Gardnerella"
"ASV_72"	30.3278720313794	2.01874162699659	0.482823222396555	4.1811195761801	2.90077256273242e-05	0.00172595967482579	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"ASV_73"	16.9703125040349	-3.86158311620972	0.520902764613327	-7.41325133698652	1.23240006177387e-13	3.66639018377727e-11	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"ASV_90"	49.2403744203752	-14.2710299213203	2.9122234590746	-4.90038972691165	9.56467309983796e-07	7.11372561800448e-05	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"
"ASV_114"	768.696873178609	-6.37900030997167	1.02397926216461	-6.22961865115021	4.67571923155506e-10	6.12041391839384e-08	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"ASV_124"	569.605775243856	-13.3494763487728	2.14635066040907	-6.21961573894383	4.9837388867093e-10	6.12041391839384e-08	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Gardnerella"
"ASV_147"	13.1146095587342	-2.96436820904004	0.476995137644456	-6.2146717546828	5.1432049734402e-10	6.12041391839384e-08	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"ASV_202"	10.678253358197	2.00737437275231	0.487819276172918	4.11499600528445	3.87186120157519e-05	0.00209432492267022	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"ASV_236"	288.912105701333	-6.42334253711367	1.09334220974696	-5.87496072121857	4.22943619509687e-09	4.19419089347106e-07	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"ASV_263"	14.6129275165911	-26.7374539322553	2.91417701265066	-9.17495876749629	4.51747313694773e-20	2.6878965164839e-17	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"
"ASV_300"	252.993023816407	-8.28939198615511	2.24100697785596	-3.69895857891787	0.000216485923829455	0.00990839420604042	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Gardnerella"
