"9k.m1.S23_Introitus"	"9k.m2.S56_Vagina"	"9k.m3.S35_Cervix"	"9k.o.S48_Anus"	"Unknown"	"8k.m1.S68_Introitus"	"8k.m2.S80_Vagina"	"8k.m3.S92_Cervix"	"8k.o.S38_Anus"	"7k.m1.S10_Introitus"	"7k.m2.S22_Vagina"	"7k.m3.S34_Cervix"	"7k.o.S26_Anus"	"6k.m1.S94_Introitus"	"6k.m2.S11_Vagina"	"6k.m3.S44_Cervix"	"6k.o.S12_Anus"	"5k.m1.S63_Introitus"	"5k.m2.S32_Vagina"	"5k.m2.S82_Vagina"	"5k.m3.S17_Cervix"	"5k.o.S23_Anus"	"4k.m1.S46_Introitus"	"4k.m2.S58_Vagina"	"4k.m3.S70_Cervix"	"4k.o.S11_Anus"	"41k.m1.S41_Introitus"	"41k.m2.S53_Vagina"	"41k.m3.S65_Cervix"	"41k.o.S71_Anus"	"40k.m1.S23_Introitus"	"40k.m2.S35_Vagina"	"40k.m3.S47_Cervix"	"40k.o.S92_Anus"	"3k.m1.S69_Introitus"	"3k.m2.S81_Vagina"	"3k.m3.S93_Cervix"	"3k.o.S2_Anus"	"39k.m1.S90_Introitus"	"39k.m2.S7_Vagina"	"39k.m3.S15_Cervix"	"39k.o.S36_Anus"	"39k.o.S42_Anus"	"38k.m1.S94_Introitus"	"38k.m2.S11_Vagina"	"38k.m3.S62_Cervix"	"38k.o.S18_Anus"	"37k.m1.S70_Introitus"	"37k.m2.S82_Vagina"	"37k.m3.S86_Cervix"	"37k.o.S6_Anus"	"36k.m1.S74_Introitus"	"36k.m2.S46_Vagina"	"36k.m3.S58_Cervix"	"36k.o.S77_Anus"	"35k.m1.S26_Introitus"	"35k.m2.S38_Vagina"	"35k.m3.S50_Cervix"	"35k.o.S84_Anus"	"34k.m1.S5_Introitus"	"34k.m2.S17_Vagina"	"34k.m3.S29_Cervix"	"34k.o.S56_Anus"	"33k.m1.S34_Introitus"	"33k.m2.S52_Vagina"	"33k.m3.S14_Cervix"	"33k.o.S12_Anus"	"33k.o.S65_Anus"	"32k.m1.S93_Introitus"	"32k.m2.S10_Vagina"	"32k.m3.S22_Cervix"	"32k.o.S83_Anus"	"31k.m1.S64_Introitus"	"31k.m2.S76_Vagina"	"31k.m3.S88_Cervix"	"31k.o.S17_Anus"	"30k.m1.S28_Introitus"	"30k.m2.S40_Vagina"	"30k.m3.S52_Cervix"	"30k.o.S5_Anus"	"2k.m1.S33_Introitus"	"2k.m2.S45_Vagina"	"2k.m3.S57_Cervix"	"2k.o.S61_Anus"	"2k.o.S73_Anus"	"29k.m1.S66_Introitus"	"29k.m2.S95_Vagina"	"29k.m3.S78_Cervix"	"29k.o.S76_Anus"	"28k.m1.S81_Introitus"	"28k.m2.S85_Vagina"	"28k.m3.S2_Cervix"	"28k.o.S64_Anus"	"27k.m1.S4_Introitus"	"27k.m2.S16_Vagina"	"27k.m3.S3_Cervix"	"27k.o.S52_Anus"	"26k.m1.S63_Introitus"	"26k.m2.S75_Vagina"	"26k.m3.S87_Cervix"	"26k.o.S40_Anus"	"26k.o.S71_Anus"	"25k.m1.S83_Introitus"	"25k.m2.S42_Vagina"	"25k.m3.S54_Cervix"	"25k.o.S28_Anus"	"24k.m1.S27_Introitus"	"24k.m2.S39_Vagina"	"24k.m3.S51_Cervix"	"24k.o.S47_Anus"	"24k.o.S471_Anus"	"23k.m1.S59_Introitus"	"23k.m2.S15_Vagina"	"23k.m2.S71_Vagina"	"23k.m3.S5_Cervix"	"23k.o.S35_Anus"	"22k.m1.S6_Introitus"	"22k.m2.S18_Vagina"	"22k.m3.S30_Cervix"	"22k.o.S11_Anus"	"22k.o.S16_Anus"	"21k.m1.S77_Introitus"	"21k.m2.S89_Vagina"	"21k.m3.S27_Cervix"	"21k.o.S35_Anus"	"21k.o.S4_Anus"	"20k.m1.S74_Introitus"	"20k.m2.S80_Vagina"	"20k.m3.S86_Cervix"	"20k.o.S87_Anus"	"19k.m1.S21_Introitus"	"19k.m2.S33_Vagina"	"19k.m3.S68_Cervix"	"19k.o.S63_Anus"	"18k.m1.S56_Introitus"	"18k.m2.S9_Vagina"	"18k.m3.S62_Cervix"	"18k.o.S39_Anus"	"17k.m1.S85_Introitus"	"17k.m2.S91_Vagina"	"17k.m3.S50_Cervix"	"17k.o.S27_Anus"	"15k.m1.S49_Introitus"	"15k.m2.S55_Vagina"	"15k.m3.S61_Cervix"	"14k.m1.S36_Introitus"	"14k.m2.S48_Vagina"	"14k.m3.S60_Cervix"	"14k.o.S25_Anus"	"13k.m1.S72_Introitus"	"13k.m2.S84_Vagina"	"13k.m3.S96_Cervix"	"13k.o.S44_Anus"	"12k.m1.S95_Introitus"	"12k.m2.S12_Vagina"	"12k.m3.S24_Cervix"	"12k.o.S1_Anus"	"11k.m1.S75_Introitus"	"11k.m2.S87_Vagina"	"11k.m3.S83_Cervix"	"11k.o.S29_Anus"	"10k.m1.S47_Introitus"	"10k.m2.S59_Vagina"	"10k.m3.S71_Cervix"	"10k.o.S62_Anus"
"9k.S97_Stool"	4.97854312199084e-06	0.00176205810052131	1.51486389522484e-05	0.000621139464766451	0.997596675252638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9k.u.S24_Ear"	1.63366970882325e-05	0.00496146838333162	9.84012601449705e-05	0.20455588379498	0.790367909864455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8k.S14_Stool"	NA	NA	NA	NA	0.990978616482244	1.1196137610891e-09	5.75721081695024e-10	5.68179686329859e-10	0.00902138125424166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8k.u.S91_Ear"	NA	NA	NA	NA	0.925156866394056	0.0270313082165925	2.25106399051686e-05	0.0143059473037133	0.033483367445733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7k.u.S67_Ear"	NA	NA	NA	NA	0.865155478731651	NA	NA	NA	NA	9.1027019070132e-06	0.000418469390161065	0.00197646841493738	0.132440480761344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6k.u.S95_Ear"	NA	NA	NA	NA	0.962851505626834	NA	NA	NA	NA	NA	NA	NA	NA	0.000726891599585924	0.000790628223542655	1.41332067629568e-05	0.0356168413432747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5k.S8_Stool"	NA	NA	NA	NA	0.993833353064249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00032566743732187	1.86823780654899e-09	9.69921312357881e-08	7.62807470249912e-07	0.00584011783058989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5k.u.S55_Ear"	NA	NA	NA	NA	0.168924132367339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0899413758151931	1.88555474648647e-10	1.5947690352025e-09	0.021497234860794	0.719637255173349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4k.S2_Stool"	NA	NA	NA	NA	0.957567530888515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.09126186207374e-07	1.47706960206922e-08	1.03840638093157e-07	0.0424320413739651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4k.u.S96_Ear"	NA	NA	NA	NA	0.882759434382233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0040913941709567	0.0872168684869692	0.00370753755884645	0.0222247654009949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
