#NAME	10cm1S63	10cm2S69	10cm3S75	10coS50	10km1S47	10km2S59	10km3S71	10koS62	11cm1S81	11cm2S87	11cm3S93	11coS90	11km1S75	11km2S87	11km3S83	11koS29	12cm2S58	12cm3S64	12coS74	12coS82	12km1S95	12km2S12	12km3S24	12koS1	13cm1S70	13cm2S76	13cm3S82	13coS8	13km1S72	13km2S84	13km3S96	13koS44	14cm1S54	14cm2S60	14cm3S66	14coS20	14km1S36	14km2S48	14km3S60	14koS25	15cm1S72	15cm2S78	15cm3S96	15coS18	15km1S49	15km2S55	15km3S61	16cm1S84	16cm2S90	16cm3S49	16coS81	16km1S67	16km2S73	16km3S79	16koS3	17cm1S4	17cm2S16	17cm3S88	17coS15	17coS94	17km1S85	17km2S91	17km3S50	17koS27	18cm1S94	18cm2S53	18cm3S59	18coS32	18km1S56	18km2S9	18km3S62	18koS39	19cm1S45	19cm2S55	19cm3S61	19coS51	19km1S21	19km2S33	19km3S68	19koS63	1cm1S83	1cm2S89	1cm3S95	1coS82	1km1S92	1km2S9	1km3S21	1koS94	20cm1S65	20cm2S71	20cm3S77	20coS75	20km1S74	20km2S80	20km3S86	20koS87	21cm1S91	21cm2S8	21cm3S17	21coS19	21km1S77	21km2S89	21km3S27	21koS35	21koS4	22cm1S55	22cm2S67	22cm3S79	22coS31	22km1S6	22km2S18	22km3S30	22koS11	22koS16	23cm1S29	23cm2S41	23cm3S53	23coS43	23km1S59	23km2S15	23km2S71	23km3S5	23koS35	24cm1S65	24cm2S77	24cm3S89	24km1S27	24km2S39	24km3S51	24koS47	24koS471	25cm1S91	25cm2S51	25cm3S8	25coS59	25km1S83	25km2S42	25km3S54	25koS28	26cm1S6	26cm2S18	26cm3S30	26coS67	26km1S63	26km2S75	26km3S87	26koS40	26koS71	27cm1S20	27cm2S32	27cm3S44	27coS79	27km1S4	27km2S16	27km3S3	27koS52	28cm1S56	28cm2S68	28cm3S80	28coS31	28km1S81	28km2S85	28km3S2	28koS64	29cm1S42	29cm2S76	29cm3S54	29km1S66	29km2S95	29km3S78	29koS76	2km2S45	2km3S57	2koS61	2koS73	30cm1S72	30cm2S69	30cm3S84	30coS88	30km1S28	30km2S40	30km3S52	30koS5	31cm1S1	31cm2S13	31cm3S25	31km1S64	31km2S76	31km3S88	31koS17	32cm1S66	32cm2S78	32cm3S90	32coS29	32km1S93	32km2S10	32km3S22	32koS83	33cm1S7	33cm2S19	33cm3S31	33coS53	33km1S34	33km2S52	33km3S14	33koS12	33koS65	34cm1S79	34cm2S85	34cm3S91	34coS22	34km1S5	34km2S17	34km3S29	34koS56	35cm1S50	35cm2S56	35cm3S62	35coS30	35km1S26	35km2S38	35km3S50	35koS84	36cm1S43	36cm2S20	36cm3S39	36coS49	36km1S74	36km2S46	36km3S58	36koS77	37cm1S37	37cm2S49	37cm3S61	37coS89	37km1S70	37km2S82	37km3S86	37koS6	38cm1S73	38cm2S85	38cm3S2	38km1S94	38km2S11	38km3S62	38koS18	39cm1S36	39cm2S40	39cm3S68	39coS30	39km1S90	39km2S7	39km3S15	39koS36	39koS42	3cm1S57	3cm2S69	3cm3S28	3coS85	3km1S69	3km2S81	3km3S93	3koS2	40cm1S75	40cm2S81	40cm3S87	40km1S23	40km2S35	40km3S47	40koS92	41cm1S1	41cm2S14	41cm3S26	41coS54	41km1S41	41km2S53	41km3S65	41koS71	42cm1S93	42cm2S52	42cm3S58	42coS42	43cm1S64	43cm2S70	43cm3S88	44cm1S38	44cm2S50	44cm3S13	44coS66	45cm1S76	45cm2S82	45cm3S88	46cm1S74	46cm2S80	46cm3S86	46coS9	47cm1S94	47cm2S53	47cm3S59	47coS78	48cm1S48	48cm2S92	48cm3S51	48coS90	49cm1S65	49cm2S71	49cm3S77	49coS7	4km1S46	4km2S58	4km3S70	4koS11	50cm1S25	50cm2S62	50cm3S74	50coS19	51cm1S57	51cm2S60	51cm3S63	51coS77	52cm1S86	52cm2S37	52cm3S3	52coS53	53cm1S49	53cm2S61	53cm3S73	53coS89	54cm1S83	54cm2S89	54cm3S95	54coS58	5km1S63	5km2S32	5km2S82	5km3S17	5koS23	6km1S94	6km2S11	6km3S44	6koS12	7cm1S72	7cm2S78	7cm3S84	7coS14	7km1S10	7km2S22	7km3S34	7koS26	8cm1S90	8cm2S96	8cm3S48	8coS6	8km1S68	8km2S80	8km3S92	8koS38	9cm1S92	9cm2S51	9cm3S57	9coS66	9km1S23	9km2S56	9km3S35	9koS48
ASV_1	52	16	23	1	48914	54008	44945	3553	53156	42142	49678	2104	62953	46573	52980	1297	44	41	37	25	43394	79806	67801	1500	24	16	69	15	13985	49207	62126	136	16457	19147	64168	21	23381	22756	76160	15	10376	29717	50017	265	22876	117	58	69026	53014	47960	46	27	22	69	33	199	103	54	11	11	17768	32077	52270	152	29	73	44	21	3992	3210	3997	19	243	72	32	5	153	83	33	2	37	53	48	5	41649	86480	52284	115	28	5	7	4	3311	3458	4352	6	26397	30649	31181	1243	50388	52265	45337	38658	35569	59691	44032	78227	306	122	117	103	60	8	24342	39134	60963	4469	62682	55686	49666	53846	1904	49525	68707	48973	25177	48688	49943	363	227	34192	31797	43915	1616	30045	36451	24575	9944	30	45	21	182	47439	60362	36308	5779	11798	14553	43767	49952	189	15040	14490	14525	68	58737	57385	53625	685	56428	65457	48728	1244	40281	66042	54318	2153	1834	2745	140	56377	69673	977	134	50485	56506	56551	125	44	108	124	1	188	168	156	208	120	82	0	19929	59616	50013	18	126	50	66	58	31	56	24	4	28	91	74	13	2	45	63	60	17	76	108	151	8	54007	65457	81834	85	45895	55472	44021	4159	14312	20698	44270	14	60	100	77	5	84314	72320	62852	24	73	40	36	2	264	219	186	1919	3966	1880	13	52802	65070	63342	32	19224	28844	18536	54	10	57282	65397	50868	30	2107	5171	37908	5	15354	16806	32189	386	785	1349	8	51179	52864	56743	126	126	115	254	54	39962	51495	48828	215	3878	4440	19092	176	96	163	5	103	162	165	46005	58799	73489	4989	18949	22903	21435	57	51218	60461	71366	1454	3393	3725	2802	5	53732	70955	54876	714	79968	52314	62458	821	120	167	59	42	48735	81154	49992	196	51400	55436	77454	25	49428	53801	41932	3323	34165	31191	43185	27945	26	58	70	194	113	17	41	99	0	68	72	53	2	2324	7302	25500	20	33651	39179	24447	8445	24249	55290	61596	53	56	145	34	19
ASV_2	11	0	3	1	15275	21929	15842	2706	19580	15428	17520	871	19196	17217	22747	325	17	10	40	11	11670	22086	24030	312	5	2	21	10	3884	13298	23388	40	4832	5682	18200	5	6415	5465	25546	5	3384	14483	14334	113	11303	32	21	22431	17972	16779	12	7	8	14	17	73	34	24	12	4	5111	10158	20959	90	11	31	21	2	1174	1558	1615	12	86	31	15	3	74	34	8	0	8	14	16	6	12910	23000	18781	123	7	2	3	2	796	945	1488	1	17569	16295	8302	967	35278	31029	27432	26941	26620	17607	12166	21614	110	49	61	43	37	11	6337	9512	17241	1633	38601	25124	28099	34163	785	13479	18533	14801	8536	25712	33071	214	127	11615	12266	12645	628	14813	22588	16252	8364	12	10	1	106	29380	29035	23646	4452	7750	3961	13135	14489	105	6208	6517	7309	58	16766	17713	17389	433	43184	24591	35628	931	9477	16092	13523	1317	835	1095	81	15895	20302	265	85	30876	31691	21528	86	20	49	61	2	79	86	63	91	44	31	1	5072	15067	12438	10	42	29	24	34	6	7	3	2	10	37	41	9	2	15	25	17	7	45	45	63	3	14417	16861	24734	40	18681	16771	24506	855	3367	10636	28943	2	20	22	45	0	43695	37954	39026	14	26	15	27	0	125	85	93	1142	2507	1342	13	17885	24657	30182	26	8342	11727	13318	32	8	38499	29849	16239	23	596	1383	11157	4	7519	8409	22145	192	350	787	5	16862	35411	39317	77	64	71	158	69	19756	36371	29491	86	2049	2269	12761	85	69	58	2	37	59	78	14525	17803	29631	2926	9907	12699	11943	12	13837	17477	22834	876	1872	1881	1707	5	15068	23483	19976	375	22134	30306	42339	421	43	79	16	8	30388	22612	34688	78	14125	15633	22322	21	29321	28764	29576	2196	10728	16211	12326	7766	10	14	16	104	46	6	16	31	1	11	12	16	4	659	2034	7796	7	18366	18755	12636	5472	7659	16553	27878	10	15	62	6	10
ASV_3	69	84	82	0	2	0	1	2	128	132	35	5	4	1	0	0	26171	16530	83	182	0	5	8	1	183	103	114	0	7	4	3	1	7	8	6	6	8	0	0	0	5453	15785	14879	77	17049	38473	36836	243	8	13	21	60370	55393	29103	893	762	15	13	1	1	7	45	54	0	53446	74316	53486	0	85	57	44	0	33919	39401	41112	140	52892	55674	65640	0	89	19	45	0	8	10	11	0	70229	87247	67387	133	98	29	5	1	24	45	9	28	142	273	43	56	52	0	1	3	33	53034	44578	53058	30935	20360	13	0	0	49	57	24	27	4	0	0	3	0	33	37	41	2	5	2	3	2	331	69	83	79	0	43916	43973	57842	305	14	14	9	0	14	1224	267	7	17	134	172	18	0	0	0	1	0	137	175	30	3	797	19	2	60	22	31	2	9016	1102	622	347	797	161	32	1	47427	49724	53505	13493	46718	47588	48350	37135	56522	49311	188	1	3	3	0	43	39	49	4	13976	8324	18586	1	50	11	13	2	0	40266	38171	52177	31607	64	91	102	0	5	8	6	0	493	763	33	18	6	62	13	0	57796	59033	63618	2630	1677	172	104	2	22	20	2	1	37229	52681	49380	30	16	6	2	62	3	1	2	1782	288	96	0	0	208	415	55	0	452	182	5278	1	2682	1507	1280	19	30	35	0	57	28	57	2	55859	78041	61136	2598	5	0	1	1	3	1	0	42	50	7	0	1	5	1	2331	306	150	46	4	0	1	0	57	3	0	0	5	0	1	3	2329	4	19	35	1	33	22	0	5	50	4	0	19	0	25	2	0	1	12	1	572	414	44	95	26802	21347	25152	32611	42	1	9	51	19	73775	74352	51110	101	20695	27424	31481	159	9	19	2	6	83	28	39	43	5862	4207	80	2	14615	17422	17565	0
ASV_4	6	5	3	2170	6	4	4	133	2	16	9	10978	59	14	2	16	36	2	13	19	2792	98	8	20958	2	5	5	40	30137	9564	1	9512	35519	30	26	48533	19205	31980	10	42064	2	7	1240	26	59	22	1	1	4	6	37	0	4	4	797	22	8	43	16516	13902	60696	34535	150	23217	16	24	40	51327	9	13	0	24721	3	6	14	3439	14	8	0	16	3	28	18	353	2902	4	2	350	0	3	4	40	231	2	8	3698	14	11	1	9984	11	2	4	27	47	239	75	1	33676	6	13	7	59	46	177	245	6	25055	7	3	10	14	40	19	0	1519	9	1	1	38	68	1	8	6	1391	6	2	3	23	0	0	0	48	4	3	0	133	174	0	0	3	34402	15	10	9	13	2	8	0	70	11	29	5	14	586	16	5	4	8	21	71	2	5	54135	36200	9	10	15	23726	3	1	1	1934	22	38	8	15	3	1	30035	153	1	1	100	21363	31026	792	6203	4643	20329	10	27109	27767	3588	203	19027	11609	5	111	1	10	32817	53501	126	33428	3630	2	12	33917	3	9	6	45397	28722	35337	6772	26769	87	6	23	930	815	1	11	299	32121	6202	50	1830	12987	206	34	5	23	0	203	548	786	11	20914	1	64	2	13529	8465	2	5	11	20905	27151	0	1	37279	15	10039	0	11	9	0	26514	2	49	18	20639	8	3	435	514	2	1	5	24550	54842	50753	1935	27156	33780	15720	23907	9	11	1	0	2	1	21096	0	6	1	95	3	3	2	25	12	7	1	27	1	0	7	130	13	6	9	23	3	5	11	63221	4	6	9	27138	12	2	24	457	3	3	0	18	2	15	0	23	522	1	108	4	52397	194	17	3	3077	12	0	3	12409	37	11	15	15	10	8	0	136	8225	853	10	29	291	1855	5	30663
ASV_5	17	5	3	12	14	5	9	2190	2104	17501	2	12617	265	14	13	196	21	3	11	7	1232	16	8	5570	1	1	2	2627	2550	159	7	4382	11458	47735	1212	3984	8845	4234	108	6534	3028	14	10	65099	4	15	2	5	2	7	17	24	2	6	24	47057	11118	16	10528	11416	4298	738	8	23321	6148	171	7	733	13	188	0	4862	8690	144	7	3176	7	7	1	5	1	5	1	3	288	51	28	35	0	0	0	7	328	69	9	28	1	11	5	143	1	1	0	4	5	1968	5405	32	2466	5	5	8	108	66	10659	348	4	2427	1	5	7	7	199	57	2517	7	9	1	0	1	12	2	32	6	155	5	1	2	11	3	5	0	12	2	1	0	11	13	27776	6	9	3149	9	10	6	31673	4	9	19	5	6	12	7	3324	13	11	3	2	587	861	14	14	7	776	537	10	2	8	48	13	11	2	12	87	111	10	37361	1126	2	584	36174	207	948	36150	1189	219	37	493	3016	2813	145	338	8	3	9	136	73	40	1894	2	463	12776	13089	484	3415	3841	109	9	994	5927	3233	6	25859	6718	2158	861	15875	2	1	0	3	2563	21	5	39636	3	0	6	2	2496	53	2	0	4	5	168	5461	4010	3	150	0	9	7	2	1	136	567	22	81	17750	49814	232	1832	12147	7494	43	15203	37998	11808	2935	21669	24	13	220	6	0	22	41	1	66	8	3	5340	2269	47	1139	1857	299	10543	93	14	12	0	1	1	12	2	8	5	1	26	5	35	4	7	2	4	12	9	3	7	47	5	0	0	11	69	1	15	1067	1	12	3	62	4	24	39	8	6	2	1	8	57	7	20	7	4	4	2	2	110	113	10	5	10	2	8	5	3	7	6	14	11	4	0	1	307	1	3	13	27	2	2	4	4
ASV_6	14	23	22	1	0	0	1	1	41	54	16	1	0	3	0	0	7163	4560	57	121	0	1	3	0	57	30	16	0	3	3	2	1	1	1	2	0	4	0	0	0	1830	7795	4178	22	8216	11101	13996	73	4	1	7	16552	14804	9278	371	277	7	5	0	1	5	6	15	2	13887	19695	14979	3	18	32	11	0	15299	12630	17965	116	24793	27601	22104	0	42	5	6	1	3	2	0	0	21042	33367	29941	109	24	8	1	0	10	19	1	33	91	126	25	40	37	0	0	2	16	19925	17879	31834	20622	13658	2	0	0	22	24	11	17	2	1	0	1	0	14	20	16	0	7	0	3	2	158	20	43	36	1	10645	11735	15102	113	10	7	9	0	7	336	84	0	7	62	93	6	0	0	0	0	1	99	55	25	0	216	6	0	24	5	18	3	2550	312	123	222	410	90	12	2	28704	31412	35215	9027	28258	25771	32608	13926	32014	31671	129	0	1	0	0	22	23	29	3	3698	2131	5117	0	40	10	7	1	0	11181	12863	20804	19282	34	43	54	0	1	3	0	0	168	232	22	5	0	34	12	0	22867	29826	37460	1968	879	75	50	0	18	4	2	1	18542	26042	32615	17	8	2	0	23	2	0	1	723	126	86	0	0	128	216	22	0	126	37	1585	1	1376	824	951	14	21	28	0	14	19	28	0	34419	30437	43173	1176	2	1	1	1	2	0	1	21	24	3	0	1	2	0	754	83	66	33	0	0	1	0	25	0	2	0	1	0	2	0	613	2	9	8	0	21	17	1	0	19	2	1	12	0	8	1	0	0	10	3	316	210	26	45	8332	11124	6893	8999	22	1	1	23	11	21078	21637	17708	55	5456	7026	11269	113	2	4	0	6	57	11	16	21	1871	1265	21	1	5195	9201	6129	0
ASV_7	9	3	0	5	9	0	2	583	361	1079	0	612	54	16	0	1801	5	0	12	37	80	6	0	410	19	19	0	2172	55	10	0	150	22	467	1	671	28	20	10	29	14	0	0	104	10	32	0	2	1	1	26847	0	1	1	16	440	131	12	428	589	81	18	4	117	37	3	1	266	248	189	1	926	734	119	4	12341	232	323	9	8	2	10	7	24	551	110	10	13038	0	0	2	9	683	64	8	689	20	39	1	17663	1	0	5	6	4	163	159	1	1181	38	0	0	409	209	7	3	0	680	4	2	3	701	131	7	9	1	3	0	1	61	11	64	69	0	3921	1	0	1	16	0	0	2	57	2	1	0	3	36	52	1	0	8	32	0	8	219	3	1	0	37	6	73	6	120	135	10	0	2	0	6	262	0	0	32	19	0	1	0	42	0	0	2	13	32	37	0	24	8	0	3	42	0	0	47	3	4	1	86	1333	535	565	2	0	1	7	30	10	82	130	0	197	23	5	1	74	2141	5	0	53	8	14	1	65	14	0	15	128	4	0	2	12	2	0	0	51	2044	140	6	786	321	32	1	0	0	3	2818	26	25	0	67	1	2	4	16	9	88	377	174	674	3	9	0	3	3860	845	9	3	7	0	15	1141	2	1	4959	0	4	0	3735	27	1	1	331	7	5	16	75	228	259	37	52	2	0	219	30	2	12844	17	7	13	12	44	16	0	41	23	20	6	515	0	0	0	82	35	2	0	11	58	68	3	90	8	66	4	604	106	19	31	19	3	0	1	2174	54	2	1	23	105	112	251	0	2164	20	12	0	157	16	1	2	215	40368	14832	272	54426	2	0	0	1017	799	356	53	4539	9	20	0	46
ASV_8	1	2	0	1294	1	0	2	101	1	0	3	4606	19	6	1	2	8	0	11	17	748	37	1	4231	1	3	0	12	8332	2599	0	3048	11630	14	8	17514	5286	8081	3	9361	1	1	952	7	22	8	0	0	1	8	28	1	0	0	359	3	3	5	9695	7836	17437	11021	63	12968	6	9	6	16727	2	8	0	16268	2	1	7	2209	8	3	0	8	1	7	3	151	911	1	1	228	1	1	2	45	64	1	5	2263	2	5	0	7262	1	2	2	24	32	66	19	1	13223	4	2	6	54	42	37	53	1	9754	10	2	6	7	12	7	0	472	3	0	0	38	52	0	6	1	1100	0	0	2	15	0	0	0	22	3	1	0	98	94	0	0	1	13305	6	3	8	11	2	1	0	60	0	6	5	9	143	9	1	3	4	6	32	1	3	10825	22359	2	3	16	16982	5	0	0	1412	16	14	8	4	0	1	21233	39	0	0	48	10212	14327	567	3912	1259	4897	3	16582	19016	1289	145	11795	7391	1	38	0	3	13042	19933	77	10235	993	0	3	13090	1	0	4	9708	6885	17680	4554	5371	24	6	12	683	408	1	5	222	14352	3286	26	1223	6515	94	6	7	5	0	202	188	305	2	10533	2	19	0	8606	5341	0	3	7	10074	7091	0	0	23347	7	4991	0	5	4	0	9746	3	11	12	12869	5	1	256	198	0	1	2	9072	27451	25197	1456	13745	17426	10310	14679	8	3	1	0	1	0	12378	0	3	0	25	0	0	1	6	1	7	1	23	2	0	2	139	6	5	8	14	2	0	7	21100	2	1	3	9323	3	0	22	140	4	1	0	8	4	5	0	5	168	0	36	1	11357	57	7	3	1657	3	0	0	8014	4	2	4	4	4	3	2	108	2669	281	1	4	137	994	1	7550
ASV_9	5	0	6	0	1001	1447	929	99	104	80	79	1	21	21	34	1	14	2	0	0	26	57	61	2	3	1	15	0	12	33	37	0	34	45	95	2	21	19	42	0	24	41	71	2	26	12	7	86	55	46	0	2	4	7	0	0	3	6	0	0	26	47	137	0	0	1	5	0	48093	43669	28490	215	14	2	5	0	7	7	31	0	7	6	0	0	28	72	27	0	4	0	6	0	44020	50424	65181	39	20253	24918	24807	1041	44	59	15	16	18	43	29	49	22	39	27	9	0	0	25	26	48	28	73	66	52	16	0	34	63	39	50	90	60	0	2	25	8	38	496	39	81	49	3	0	3	1	41	62	94	79	4	0	5029	18832	8698	36	28	28	15	0	41	43	35	1	75	18	16	0	34	44	38	36013	31654	49602	1643	50	59	0	0	67	66	77	0	4	6	1	0	23	3	3	6	11	14	0	14	31	46	0	16	2	6	0	0	4	2	0	0	1	0	0	0	4	6	7	0	15	1	5	0	53	100	74	0	15	17	16	1	13	59	12	0	0	9	0	0	133	75	72	0	3	5	0	0	17	17	20	17	27	2	0	57	20	71	0	27771	43554	25407	50	14	57	87	21	0	1	3	25	0	14345	15466	30000	3211	7887	13241	2	13	55	54	0	8	0	7	9	29	32	54	2	11	11	7	3	1	4	0	13	9	23	59	66	76	1	21450	25698	25121	71	72	52	80	3	37325	39306	31675	57	38	50	30	0	13	58	71	1	6	0	10	0	83	22	107	0	8	19	24	0	73	66	51	0	11	37	26	25	0	0	0	20	10	0	5	6	0	0	2	0	0	9	28	224	0	24349	29623	17964	6279	39	91	121	0	2	5	1	0
ASV_10	5	3	0	4	3	3	3	1805	765	6474	1	5180	78	3	3	51	6	0	8	7	351	2	0	1147	0	0	0	818	669	47	2	1414	3451	13421	338	1456	2329	1072	45	1470	1018	7	7	21774	0	2	0	3	0	2	7	7	0	1	7	15028	3480	1	6173	6815	1198	254	4	13121	1559	52	2	228	7	81	1	3230	3978	44	2	2120	0	2	0	7	0	3	3	1	105	10	14	27	0	0	0	4	124	25	2	24	0	5	0	114	2	2	0	3	1	528	1362	12	1011	0	1	4	71	40	2648	95	1	946	1	0	4	1	76	20	625	2	3	1	0	3	11	1	29	1	51	2	2	0	6	1	0	0	6	1	0	0	5	9	7514	1	3	1324	2	2	2	22458	1	6	9	0	4	4	4	2432	5	3	1	4	293	338	15	5	1	172	345	8	6	7	45	9	1	0	6	51	51	2	13395	598	1	391	9329	46	260	19591	584	111	24	287	795	658	32	240	1	0	6	73	50	6	663	1	258	5110	5135	267	1022	1040	38	2	383	2475	986	2	5642	1523	1127	586	3475	2	2	0	2	1342	19	3	30324	2	0	4	0	1299	26	0	0	3	2	151	1754	1469	1	60	0	2	5	0	0	80	251	19	41	5083	13096	62	1158	5712	3638	27	7826	17683	7433	1066	7305	16	2	177	3	0	15	12	0	23	6	3	2788	1121	31	582	943	175	6626	52	2	2	1	4	0	8	0	3	3	3	2	3	12	5	4	1	5	9	5	2	1	36	0	2	1	8	19	1	5	319	0	1	2	20	2	12	19	4	2	1	1	2	23	6	4	6	2	5	0	2	17	30	1	1	5	0	3	3	3	4	6	3	12	1	1	0	230	1	1	1	6	1	0	1	5
