Kingdom	Phylum	Class	Order	Family	Genus
ASV_1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
ASV_4	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella
ASV_5	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
ASV_7	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
ASV_19	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
ASV_21	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium
ASV_25	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
ASV_27	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Finegoldia
ASV_44	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium_1
ASV_47	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
ASV_52	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella
ASV_53	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
ASV_54	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella
ASV_55	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
ASV_56	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus
ASV_57	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia
ASV_69	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Peptoniphilus
ASV_71	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ASV_79	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ASV_90	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
ASV_97	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Ezakiella
ASV_99	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1
ASV_112	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_6
ASV_120	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter
ASV_122	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV_128	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria
ASV_134	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus
ASV_136	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
ASV_139	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Raoultella
ASV_146	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV_152	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
ASV_153	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
ASV_161	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia
ASV_174	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Intestinibacter
ASV_181	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
ASV_207	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
ASV_210	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter
ASV_215	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
ASV_218	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
ASV_219	Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
ASV_220	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
ASV_250	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
ASV_261	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Murdochiella
ASV_284	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
ASV_298	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter
ASV_301	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia
ASV_306	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella
ASV_307	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus
ASV_338	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter
ASV_348	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter
ASV_364	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
ASV_378	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Hydrogenophilaceae	Tepidiphilus
ASV_387	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
