Study	Sink	Delivery	Anus	Cervix	Introitus	Vagina
Control	Ear	Csection	0.821126761	0.003521127	0.083802817	0.073943662
Control	Ear	Csection	0.935211268	0.002112676	0.020422535	0.021830986
Control	Ear	Csection	0.524647887	0.037323944	0.052112676	0.044366197
Control	Ear	Csection	0.031690141	0.016901408	0.008450704	0.016197183
Control	Ear	Csection	0.550704225	0.01056338	0.021126761	0.00915493
Control	Ear	Csection	0.844366197	0.004929577	0.086619718	0.044366197
Control	Ear	Csection	0.01056338	0.002816901	0.004225352	0.004225352
Control	Ear	Csection	0.203521127	0.064084507	0.059859155	0.068309859
Control	Ear	Csection	0.094366197	0.000704225	0.004225352	0.003521127
Control	Ear	Csection	0.966197183	0.001408451	0.016901408	0.011267606
Control	Ear	Csection	0.133802817	0.357042254	0.193661972	0.278169014
Control	Ear	Csection	0.957042254	0.000704225	0.016901408	0.012676056
Control	Ear	Csection	0.58028169	0.040140845	0.069014085	0.06056338
Control	Ear	Csection	0.86056338	0.004225352	0.083802817	0.046478873
Control	Ear	Csection	0.975352113	0.000704225	0.014084507	0.007746479
Control	Ear	Csection	0.047887324	0.000704225	0.01056338	0.005633803
Control	Ear	Csection	0.790140845	0.044366197	0.084507042	0.066901408
Control	Ear	Csection	0.779577465	0	0.115492958	0.092253521
Control	Ear	Csection	0.229577465	0.021830986	0.030985915	0.035211268
Control	Ear	Csection	0.964788732	0	0.01971831	0.011267606
Control	Ear	Csection	0.96056338	0	0.016197183	0.006338028
Control	Ear	Csection	0.976056338	0.000704225	0.013380282	0.007746479
Control	Ear	Vaginal	0.863380282	0.005633803	0.083802817	0.042253521
Control	Ear	Vaginal	0.667605634	0.011267606	0.011971831	0.014084507
Control	Ear	Vaginal	0.250704225	0.150704225	0.142957746	0.175352113
Control	Ear	Vaginal	0.347183099	0.004225352	0.038732394	0.031690141
Control	Ear	Vaginal	0.904929577	0.002112676	0.025352113	0.015492958
Control	Ear	Vaginal	0.302112676	0	0.018309859	0.006338028
Control	Ear	Vaginal	0.502816901	0.042253521	0.063380282	0.06056338
Control	Ear	Vaginal	0.4	0.004929577	0.007042254	0.007746479
Control	Ear	Vaginal	0.466197183	0.016901408	0.034507042	0.014788732
