OTU	Ear	Cervix	Vagina	Introitus	Anus
ASV_7	70699	0	7	25	32
ASV_19	0	41925	34205	22526	294
ASV_44	1196	9	39	158	13186
ASV_218	0	1994	11502	7466	72
ASV_215	0	9550	6766	3105	14
ASV_71	0	2091	1581	9514	714
ASV_56	2	4	25	1377	9485
ASV_69	2	13	52	3184	7179
ASV_21	0	6572	6111	2465	108
ASV_417	10	3147	3605	5096	15
ASV_4	46	3	8	7	3806
ASV_250	0	5	27	3362	3709
ASV_434	0	3541	2290	2077	121
ASV_97	0	0	13	2232	2191
ASV_364	0	617	479	1992	353
ASV_738	0	1580	977	861	6
ASV_845	0	0	5	1058	9
ASV_27	2	2	23	134	869
ASV_112	0	0	10	812	130
ASV_219	0	0	13	75	773
ASV_806	0	701	663	763	10
ASV_25	466	9	19	494	21
ASV_301	0	0	2	158	441
ASV_610	2	0	0	115	420
ASV_306	0	0	0	56	389
ASV_387	0	0	7	387	0
ASV_813	0	0	0	18	359
ASV_1862	0	0	3	220	40
ASV_1	25	182	171	208	4
ASV_307	0	0	2	199	29
ASV_2342	0	0	2	102	0
ASV_1098	0	0	0	2	92
ASV_650	0	0	0	92	2
ASV_897	0	0	0	2	60
ASV_901	0	11	19	48	0
ASV_1960	0	0	0	41	2
ASV_774	0	0	2	35	12
ASV_5	34	4	13	31	19
ASV_1968	0	0	0	31	2
ASV_511	0	0	0	6	29
ASV_2022	0	0	0	22	28
ASV_90	0	0	0	0	26
ASV_261	0	0	0	13	23
ASV_866	0	0	0	0	17
ASV_1666	0	0	0	14	16
ASV_1610	0	0	0	14	10
ASV_3792	0	0	0	0	14
ASV_139	7	0	0	0	13
ASV_79	0	13	0	2	5
ASV_1336	0	0	0	0	10
ASV_128	9	0	0	3	0
ASV_519	0	0	0	0	9
ASV_540	0	0	0	0	8
ASV_1011	0	0	0	7	6
ASV_1022	0	0	0	4	6
ASV_1509	0	0	0	0	6
ASV_3032	0	0	0	0	5
ASV_153	0	4	2	0	0
ASV_181	0	4	0	3	0
ASV_207	0	0	0	0	4
ASV_284	0	0	0	0	4
ASV_152	0	3	0	0	3
ASV_161	0	0	0	0	3
ASV_2376	0	0	0	0	3
ASV_348	0	3	0	0	0
ASV_134	0	0	0	0	2
ASV_1598	0	2	0	0	0
ASV_1998	0	0	0	0	2
ASV_210	0	0	0	0	2
ASV_724	0	0	2	0	0
ASV_928	0	2	0	0	0
ASV_99	0	0	0	0	2
