OTU	Introitus	Cervix	Vagina	Stool	Ear	Anus
ASV_1	92202	82864	71481	124	29056	1818
ASV_4	85	3	21	65411	1377	22
ASV_52	0	0	0	0	0	28077
ASV_7	378	0	57	302	20641	4941
ASV_5	355	18	17	3160	10799	252
ASV_27	109	0	2	0	85	9319
ASV_69	89	0	3	0	122	8152
ASV_56	146	0	0	0	264	6168
ASV_99	0	0	0	5332	0	7
ASV_44	421	0	0	0	2889	1047
ASV_219	54	0	0	0	73	2518
ASV_301	49	0	0	0	34	1603
ASV_250	0	0	0	0	3	1298
ASV_112	0	0	0	0	0	1095
ASV_97	0	0	0	0	57	1031
ASV_71	42	0	5	0	18	976
ASV_25	416	0	16	7	973	120
ASV_364	0	0	0	0	3	791
ASV_610	42	0	0	0	19	672
ASV_813	0	0	0	0	0	620
ASV_511	0	0	0	0	0	471
ASV_261	0	0	0	0	7	408
ASV_1011	0	0	0	0	8	380
ASV_1322	115	0	6	0	9	373
ASV_659	12	0	0	0	16	280
ASV_134	0	0	0	0	277	0
ASV_306	5	0	0	0	26	181
ASV_415	0	0	0	12	155	0
ASV_207	149	0	19	0	93	9
ASV_220	0	0	0	0	125	0
ASV_1098	2	0	0	0	0	116
ASV_55	4	0	6	0	110	0
ASV_2022	0	0	0	0	0	70
ASV_378	0	0	0	0	58	2
ASV_90	0	0	0	0	7	47
ASV_434	2	0	0	0	0	44
ASV_53	0	0	0	0	44	0
ASV_153	0	0	0	0	0	25
ASV_984	2	0	0	0	25	0
ASV_79	0	0	2	0	2	23
ASV_1146	0	0	0	0	20	0
ASV_181	0	0	0	0	0	18
ASV_21	0	0	0	0	0	18
ASV_738	0	0	0	0	18	0
ASV_1264	0	0	0	0	16	0
ASV_338	0	0	3	0	16	0
ASV_438	0	0	0	0	0	16
ASV_567	0	0	0	0	0	13
ASV_976	0	0	0	0	13	0
ASV_161	0	0	0	0	0	12
ASV_1391	0	0	0	0	11	0
ASV_2458	0	0	0	0	11	0
ASV_774	0	0	0	0	0	10
ASV_2485	0	0	0	0	0	8
ASV_445	0	0	0	0	2	8
ASV_1427	0	0	0	0	7	0
ASV_622	0	0	0	0	7	0
ASV_2632	0	0	0	0	6	0
ASV_598	0	0	0	0	0	6
ASV_821	0	0	0	0	0	6
ASV_122	0	0	0	0	5	0
ASV_1944	0	0	0	0	5	0
ASV_674	0	0	0	0	0	5
ASV_1208	0	0	0	0	0	4
ASV_128	0	0	0	0	4	2
ASV_1289	0	0	4	0	0	0
ASV_136	0	0	0	4	0	0
ASV_1450	0	0	0	0	4	0
ASV_146	0	0	2	0	4	0
ASV_284	0	0	0	0	4	0
ASV_298	0	0	0	0	0	4
ASV_488	0	0	0	0	0	4
ASV_614	0	0	0	0	4	0
ASV_120	0	0	0	0	0	3
ASV_1419	0	0	0	0	3	0
ASV_174	0	0	0	0	0	3
ASV_19	2	0	0	0	3	0
ASV_3266	0	0	0	0	0	3
ASV_348	0	0	0	0	0	3
ASV_403	0	0	0	0	0	3
ASV_57	0	0	0	0	3	0
ASV_1013	0	0	0	0	2	0
ASV_1022	0	0	0	0	0	2
ASV_1138	0	0	0	0	2	0
ASV_1576	0	0	2	0	0	0
ASV_307	0	0	0	0	0	2
ASV_477	0	0	2	0	0	0
ASV_562	0	0	0	0	0	2
ASV_826	2	0	0	0	0	0
