OTU	Introitus	Cervix	Vagina	Anus	Ear
ASV_1	125398	109626	56900	35	94
ASV_7	60	0	43	55403	161
ASV_44	3	0	0	13415	35
ASV_5	2	2	2	8318	51
ASV_1052	0	0	0	0	2274
ASV_976	0	0	0	0	1653
ASV_826	0	0	0	0	960
ASV_56	0	0	0	617	3
ASV_1702	0	0	0	337	0
ASV_1146	0	0	0	0	250
ASV_1450	0	0	0	0	191
ASV_2070	0	0	0	0	171
ASV_27	0	0	0	169	8
ASV_540	0	0	0	155	0
ASV_4	3	6	8	52	124
ASV_69	0	0	0	79	3
ASV_97	0	0	0	67	0
ASV_901	52	3	2	0	0
ASV_146	3	12	0	0	43
ASV_378	0	0	0	0	37
ASV_477	0	0	0	0	26
ASV_25	0	0	0	0	25
ASV_364	16	24	0	0	2
ASV_2175	0	0	0	0	23
ASV_55	0	0	0	0	17
ASV_2100	0	0	0	0	15
ASV_694	0	15	0	0	0
ASV_4997	0	0	0	0	14
ASV_134	0	0	0	0	12
ASV_250	0	0	0	12	0
ASV_622	0	0	0	0	12
ASV_21	0	11	0	0	3
ASV_306	0	0	0	9	9
ASV_338	0	0	0	0	9
ASV_128	0	0	0	0	8
ASV_1391	3	8	0	0	0
ASV_57	0	0	0	0	8
ASV_659	0	0	0	0	8
ASV_1617	0	0	0	0	7
ASV_1684	0	0	0	0	7
ASV_2520	0	0	0	0	7
ASV_2769	0	0	0	0	7
ASV_2801	0	0	0	0	7
ASV_3085	0	0	0	0	7
ASV_614	0	0	0	0	7
ASV_71	0	0	0	0	7
ASV_122	0	0	0	0	6
ASV_220	0	6	0	0	0
ASV_19	5	3	3	0	5
ASV_79	0	0	0	0	5
ASV_153	0	0	0	4	0
ASV_47	0	0	0	0	4
ASV_53	0	0	0	0	4
ASV_90	0	0	0	4	2
ASV_1208	0	0	0	3	0
ASV_1289	0	0	0	0	3
ASV_1419	0	0	0	0	3
ASV_161	0	0	0	0	3
ASV_1694	0	0	0	0	3
ASV_174	0	0	0	3	0
ASV_215	0	0	3	0	2
ASV_54	0	0	0	0	3
ASV_567	0	0	0	3	0
ASV_928	0	0	0	0	3
ASV_99	0	0	0	0	3
ASV_120	0	2	0	0	0
ASV_136	0	0	0	0	2
ASV_1509	0	0	0	0	2
ASV_1944	0	0	0	0	2
ASV_207	0	0	0	0	2
ASV_2607	0	0	0	0	2
ASV_307	0	0	0	2	0
ASV_415	0	0	0	0	2
ASV_897	0	0	0	2	0
ASV_984	0	0	0	0	2
