OTU	Introitus	Vagina	Cervix	Anus
ASV_1	122207	104971	74658	3106
ASV_112	8	0	0	15443
ASV_71	153	30	24	11442
ASV_27	362	19	18	4536
ASV_219	10	4	3	3798
ASV_69	91	6	7	3774
ASV_56	125	4	2	3080
ASV_44	93	4	0	2925
ASV_364	48	7	8	2785
ASV_79	4	0	0	2595
ASV_307	6	0	2	1665
ASV_250	0	0	0	1406
ASV_181	0	0	0	1274
ASV_4	0	4	4	1188
ASV_90	0	0	0	1096
ASV_598	0	0	0	1037
ASV_97	0	0	0	1008
ASV_774	0	0	2	815
ASV_721	0	0	0	777
ASV_153	0	0	0	725
ASV_284	0	0	0	637
ASV_25	53	6	0	633
ASV_567	0	0	0	570
ASV_7	64	9	3	521
ASV_261	0	0	0	512
ASV_511	0	0	0	469
ASV_445	0	0	0	446
ASV_534	0	0	0	408
ASV_306	0	2	4	354
ASV_387	165	12	11	349
ASV_2223	0	0	0	347
ASV_1610	0	0	0	271
ASV_301	9	0	0	243
ASV_136	238	7	0	53
ASV_1820	0	0	0	230
ASV_488	0	0	0	221
ASV_348	0	0	0	213
ASV_161	0	0	0	204
ASV_152	0	0	0	174
ASV_650	0	0	0	146
ASV_298	0	0	0	141
ASV_519	0	0	0	135
ASV_674	0	0	0	119
ASV_19	107	7	0	7
ASV_1098	0	0	0	95
ASV_21	8	2	8	95
ASV_845	0	0	0	92
ASV_174	0	0	0	86
ASV_1022	0	0	0	81
ASV_1031	0	0	0	80
ASV_610	5	0	0	77
ASV_1327	0	0	0	69
ASV_1475	0	0	0	69
ASV_813	0	0	0	68
ASV_99	0	0	0	66
ASV_1379	0	0	0	65
ASV_1602	0	0	0	64
ASV_1184	0	0	0	62
ASV_5	32	3	7	61
ASV_1960	0	0	0	59
ASV_218	0	0	0	55
ASV_773	0	0	0	50
ASV_821	0	0	0	45
ASV_1318	0	0	0	36
ASV_651	0	0	0	35
ASV_1208	0	0	0	31
ASV_1011	0	0	0	26
ASV_1673	0	0	0	24
ASV_3032	0	0	0	23
ASV_2275	0	0	0	22
ASV_866	0	0	0	22
ASV_1918	0	0	0	20
ASV_1133	0	0	0	18
ASV_806	0	0	0	18
ASV_2171	0	0	0	17
ASV_1169	0	0	0	16
ASV_1293	0	0	0	16
ASV_1657	0	0	0	16
ASV_901	15	0	0	10
ASV_1862	0	0	0	14
ASV_767	0	0	0	14
ASV_434	0	0	0	11
ASV_1925	0	0	0	10
ASV_3237	0	0	0	9
ASV_562	0	0	0	9
ASV_1702	0	0	0	8
ASV_2549	0	0	0	8
ASV_4629	0	0	0	8
ASV_1146	0	0	0	7
ASV_207	0	0	0	7
ASV_2339	0	0	0	7
ASV_55	0	0	0	6
ASV_622	0	0	0	6
ASV_1300	0	0	0	5
ASV_54	0	0	0	5
ASV_897	0	0	0	5
ASV_120	0	0	0	4
ASV_1847	0	0	0	4
ASV_4360	0	0	0	4
ASV_1069	0	0	0	3
ASV_1264	0	0	0	3
ASV_1361	0	0	0	3
ASV_969	0	0	0	3
ASV_1047	0	0	0	2
ASV_1289	0	0	0	2
ASV_1534	0	0	0	2
ASV_220	0	0	0	2
ASV_2425	0	0	0	2
ASV_2458	0	0	0	2
ASV_738	0	2	0	0
ASV_826	0	0	0	2
