OTU	Cervix	Stool	Vagina	Introitus	Anus	Ear
ASV_1	132985	31	64242	31223	30.5	6439
ASV_5	21	84876	14954	63691	17854.5	1758
ASV_4	50	6	15	26	32352	23777
ASV_146	12	10852	27	66	0	744
ASV_7	27	105	938	3327	4990	9042
ASV_338	0	0	0	0	0	7801
ASV_128	0	0	0	0	0	2969
ASV_44	0	0	16	64	650	1703
ASV_25	0	24	15	419	5	1526
ASV_55	0	0	6	5	2	1483
ASV_1138	0	0	0	0	0	1464
ASV_477	0	0	0	0	0	1442
ASV_27	0	0	6	69	947	17
ASV_1004	0	0	0	0	0	631
ASV_306	0	0	0	0	2.5	609
ASV_826	0	0	0	0	0	494
ASV_622	0	0	0	0	0	476
ASV_161	0	0	0	11	3.5	451
ASV_134	0	0	0	0	0	427
ASV_1013	0	0	0	2	0	416
ASV_56	0	0	4	14	367.5	112
ASV_1264	0	0	0	3	0	375
ASV_614	0	0	0	0	3	317
ASV_250	0	0	0	0	3	308
ASV_79	0	0	0	292	4	30
ASV_445	0	0	0	38	2	275
ASV_1361	0	0	0	0	0	250
ASV_1289	0	0	0	0	0	220
ASV_207	0	0	7	217	0	41
ASV_659	0	0	0	0	27.5	216
ASV_438	0	0	0	0	0	200
ASV_153	0	0	0	126	4	172
ASV_1661	0	0	0	0	0	165
ASV_90	0	0	0	29	17	146
ASV_1391	9	0	8	36	0	142
ASV_378	0	0	0	0	0	142
ASV_2520	0	0	0	0	0	109
ASV_181	0	0	0	106	6	14
ASV_97	0	0	0	0	3	104
ASV_415	0	0	0	0	0	94
ASV_2175	0	0	0	0	0	90
ASV_69	0	0	2	6	82	40
ASV_1146	0	0	0	0	0	81
ASV_1617	0	0	0	0	0	79
ASV_53	0	0	0	3	0	72
ASV_2607	0	0	0	0	0	68
ASV_387	0	0	0	0	0	68
ASV_976	0	0	3	0	2	67
ASV_136	0	0	0	2	0	63
ASV_348	0	0	0	63	0	0
ASV_1694	0	0	0	0	0	62
ASV_19	8	0	11	8	0	59
ASV_540	0	0	0	0	0	59
ASV_1427	0	0	0	2	0	46
ASV_1450	0	0	0	0	0	46
ASV_694	22	0	17	37	0	44
ASV_122	0	0	0	0	0	40
ASV_534	0	0	0	37	2.5	0
ASV_1684	0	0	0	0	0	35
ASV_567	0	0	0	34	9	0
ASV_220	4	0	5	29	0	32
ASV_488	0	0	0	26	2	0
ASV_4984	0	0	0	0	0	26
ASV_1381	0	0	0	0	0	19
ASV_298	0	0	0	19	0	0
ASV_210	0	0	0	0	0	18
ASV_152	0	0	0	17	2	0
ASV_71	0	0	0	0	15	5
ASV_773	0	0	0	17	0	0
ASV_21	16	0	0	0	0	0
ASV_284	0	0	0	14	4	0
ASV_562	0	0	0	14	2	0
ASV_261	0	0	0	0	0	12
ASV_3344	0	0	0	0	0	12
ASV_984	0	0	0	0	0	12
ASV_1184	0	0	0	11	0	0
ASV_1564	0	0	0	0	0	11
ASV_99	0	0	0	11	2.5	0
ASV_2632	0	3	0	2	7	0
ASV_598	0	0	0	10	4	0
ASV_218	0	0	0	0	0	9
ASV_866	0	0	0	9	0	0
ASV_1133	0	0	0	8	2.5	0
ASV_1169	0	0	0	8	0	0
ASV_2166	0	0	0	0	0	8
ASV_1069	0	0	0	7	0	0
ASV_1293	0	0	0	7	0	0
ASV_1832	0	0	0	7	0	0
ASV_120	5	0	2	6	0	0
ASV_1314	0	0	0	6	0	0
ASV_139	0	0	0	2	0	6
ASV_1588	0	0	0	6	0	0
ASV_1820	0	0	0	6	0	0
ASV_674	0	0	0	6	0	0
ASV_747	0	0	0	0	6	0
ASV_821	0	0	0	6	0	0
ASV_1208	0	0	0	5	0	0
ASV_1379	0	0	0	5	0	0
ASV_1509	0	0	0	0	0	5
ASV_1576	0	0	0	0	0	5
ASV_1918	0	0	0	5	0	0
ASV_301	0	0	0	3	2	5
ASV_364	0	0	0	5	4	0
ASV_413	0	0	0	5	0	0
ASV_806	0	0	0	0	0	5
ASV_1022	0	0	0	4	2	0
ASV_1300	0	0	0	4	0	0
ASV_403	0	0	0	0	3.5	0
ASV_47	0	0	0	4	0	0
ASV_54	0	3	0	4	0	0
ASV_774	0	0	0	4	0	0
ASV_2597	0	0	0	0	0	3
ASV_3792	0	0	3	3	0	0
ASV_813	0	0	0	0	2.5	0
ASV_969	0	0	0	3	0	0
ASV_1327	0	0	0	2	0	0
ASV_1534	0	0	0	0	2	0
ASV_1673	0	0	0	2	0	0
ASV_174	0	0	0	2	2	0
ASV_2485	0	0	0	2	0	0
