OTU	Vagina	Ear	Introitus	Cervix	Stool	Anus
ASV_21	73845	188	68592	64702	11	15
ASV_7	17	71685	6	15	2540	46
ASV_99	0	7	0	0	39972	92
ASV_19	11456	51	8892	7760	15	3
ASV_44	0	9377	0	3	7	24
ASV_1	9070	846	5781	4777	131	19
ASV_79	0	4	3	2	7301	5748
ASV_27	0	251	0	0	10	4849
ASV_69	0	130	0	3	15	2715
ASV_181	0	0	0	0	0	2203
ASV_56	0	89	0	0	7	1600
ASV_153	0	0	0	0	16	1408
ASV_364	0	7	0	0	5	1287
ASV_348	0	0	0	0	0	1181
ASV_112	0	0	0	0	6	1113
ASV_445	0	2	0	0	0	1096
ASV_71	0	79	0	0	2	1084
ASV_598	0	0	0	0	0	1062
ASV_567	0	7	0	0	0	1053
ASV_413	0	0	0	0	0	1019
ASV_488	0	0	0	0	3	966
ASV_298	0	0	0	0	0	950
ASV_969	0	0	0	0	0	946
ASV_1068	0	0	0	0	0	636
ASV_4	39	620	5	23	33	537
ASV_90	0	7	0	0	16	573
ASV_152	0	0	0	0	0	536
ASV_534	0	0	0	0	0	486
ASV_97	0	0	0	0	12	475
ASV_25	0	140	0	0	22	459
ASV_1169	0	0	0	0	0	421
ASV_674	0	0	0	0	0	404
ASV_562	0	0	0	0	0	360
ASV_1657	0	0	0	0	0	349
ASV_161	0	0	0	0	0	336
ASV_773	0	0	0	0	0	323
ASV_585	287	0	219	112	2	0
ASV_1832	0	0	0	0	0	280
ASV_1327	0	0	0	0	0	240
ASV_174	0	0	0	0	0	232
ASV_1011	0	7	0	0	0	217
ASV_1069	0	0	0	0	0	204
ASV_261	0	0	0	0	0	198
ASV_250	0	0	0	0	6	189
ASV_1184	0	0	0	0	0	187
ASV_5	8	175	3	4	65	4
ASV_610	0	49	0	0	0	175
ASV_651	0	0	0	0	0	174
ASV_2363	0	0	0	0	0	170
ASV_1318	0	0	0	0	0	161
ASV_219	0	11	0	0	0	159
ASV_1475	0	0	0	0	0	147
ASV_306	0	16	0	0	0	139
ASV_1852	0	0	0	0	0	132
ASV_659	0	124	0	0	0	20
ASV_1820	0	0	0	0	0	108
ASV_511	0	0	0	0	0	106
ASV_774	0	0	0	0	0	91
ASV_866	0	0	0	0	0	90
ASV_1022	0	0	0	0	0	86
ASV_55	0	83	0	0	0	2
ASV_210	0	3	0	0	0	72
ASV_1314	0	0	0	0	0	69
ASV_2171	0	0	0	0	0	69
ASV_1673	0	0	0	0	0	64
ASV_378	0	49	0	0	0	0
ASV_1998	0	0	0	0	0	46
ASV_747	0	0	0	0	0	44
ASV_1918	0	0	0	0	0	42
ASV_1379	0	0	0	0	0	40
ASV_3266	0	0	0	0	0	40
ASV_1208	0	0	0	0	0	39
ASV_1293	0	0	0	0	0	39
ASV_650	0	8	0	0	2	35
ASV_1322	0	33	0	0	2	7
ASV_1004	0	0	0	0	32	0
ASV_813	0	18	0	0	0	31
ASV_4118	0	0	0	0	0	30
ASV_146	0	27	0	18	0	0
ASV_4215	0	0	0	0	0	26
ASV_1300	0	0	0	0	0	25
ASV_4629	0	0	0	0	0	25
ASV_1541	0	0	0	0	0	23
ASV_477	0	20	0	2	0	0
ASV_1534	0	0	0	0	0	19
ASV_1047	0	0	0	0	0	18
ASV_53	0	3	0	0	0	17
ASV_136	0	15	0	0	2	0
ASV_2549	0	0	0	0	0	15
ASV_403	0	0	0	0	0	15
ASV_4414	0	0	0	0	0	14
ASV_1684	0	13	0	0	0	0
ASV_3337	0	0	0	0	0	13
ASV_1013	0	12	0	0	0	0
ASV_1146	0	11	0	0	0	0
ASV_338	0	11	0	0	0	0
ASV_139	5	10	0	0	0	0
ASV_1602	0	0	0	0	0	10
ASV_3313	0	0	0	0	0	10
ASV_3900	0	0	0	0	0	10
ASV_826	2	9	0	0	0	0
ASV_128	0	8	0	0	0	0
ASV_134	0	8	0	0	0	0
ASV_1576	2	0	0	8	0	0
ASV_1450	0	7	0	0	0	0
ASV_438	0	7	0	0	0	0
ASV_57	0	6	0	0	0	7
ASV_984	0	7	0	0	0	0
ASV_2769	0	6	0	0	0	0
ASV_307	0	0	0	0	6	0
ASV_417	0	0	0	0	6	0
ASV_54	0	6	0	0	0	0
ASV_622	0	6	0	0	0	0
ASV_401	0	0	0	0	5	0
ASV_845	0	0	0	0	5	0
ASV_1381	0	4	0	0	0	0
ASV_207	0	2	0	0	4	3
ASV_3237	0	0	0	0	0	4
ASV_122	0	3	0	0	0	0
ASV_1361	0	3	0	0	0	0
ASV_1694	0	3	0	0	0	0
ASV_387	0	0	0	0	3	0
ASV_614	0	3	0	0	0	0
ASV_976	0	3	0	0	0	0
ASV_1289	0	2	0	0	0	0
ASV_1661	0	2	0	0	0	0
ASV_1847	0	0	0	0	2	0
ASV_215	0	2	0	0	0	0
ASV_2458	0	2	0	0	0	0
ASV_2551	0	2	0	0	0	0
ASV_2842	0	2	0	0	0	0
ASV_301	0	0	0	0	2	0
ASV_3032	0	0	0	0	2	0
ASV_415	0	2	0	0	0	0
ASV_928	0	0	0	0	0	2
