OTU	Ear	Vagina	Introitus	Cervix	Stool	Anus
ASV_7	108958	434	390	8	25	48018
ASV_1	1396	92935	86336	75630	46	4445
ASV_5	207	16	5	5	73707	267
ASV_4	200	16	16	3	6	17748
ASV_44	57	25	10	0	0	5593
ASV_56	4	4	0	0	0	4751
ASV_69	0	0	0	0	0	1338
ASV_97	0	0	0	0	0	1191
ASV_99	0	0	0	0	0	824
ASV_25	92	0	0	0	816	28
ASV_27	3	0	0	0	0	796
ASV_250	0	0	0	0	0	656
ASV_445	0	0	0	0	0	367
ASV_284	0	0	0	0	0	333
ASV_90	0	0	0	0	0	258
ASV_1208	0	0	0	0	0	252
ASV_161	0	0	0	0	0	246
ASV_181	0	0	0	0	0	227
ASV_153	0	0	0	0	0	159
ASV_866	6	0	0	0	0	147
ASV_511	0	0	0	0	0	140
ASV_79	26	0	0	0	0	120
ASV_364	0	0	0	0	0	112
ASV_348	0	0	0	0	0	109
ASV_567	2	0	0	0	0	109
ASV_19	100	24	40	2	0	19
ASV_897	0	0	0	0	0	92
ASV_598	0	0	0	0	0	82
ASV_210	0	0	0	0	0	78
ASV_1534	0	0	0	0	0	71
ASV_413	0	0	0	0	0	64
ASV_562	0	0	0	0	0	64
ASV_298	0	0	0	0	0	57
ASV_721	0	0	0	0	0	57
ASV_1847	52	0	0	0	0	3
ASV_747	0	0	0	0	0	49
ASV_1011	0	0	0	0	0	41
ASV_174	0	0	0	0	0	40
ASV_71	19	0	4	0	0	39
ASV_219	0	0	0	0	0	37
ASV_1098	0	0	0	0	0	34
ASV_1293	0	0	0	0	0	34
ASV_534	0	0	0	0	0	34
ASV_821	0	0	0	0	0	34
ASV_1133	0	0	0	0	0	33
ASV_306	0	0	0	0	0	32
ASV_773	0	0	0	0	0	31
ASV_57	0	0	0	0	30	4
ASV_1184	0	0	0	0	0	29
ASV_969	0	0	0	0	0	29
ASV_651	0	0	0	0	0	28
ASV_650	0	0	0	0	0	24
ASV_220	14	0	3	0	0	23
ASV_152	0	0	0	0	0	22
ASV_136	18	0	0	0	0	0
ASV_3900	0	0	0	0	0	16
ASV_53	0	0	0	0	0	16
ASV_134	15	0	0	0	0	2
ASV_1684	0	0	0	0	0	14
ASV_434	0	0	0	0	0	13
ASV_477	13	0	0	0	0	5
ASV_2549	0	0	0	0	0	11
ASV_261	0	0	0	0	0	11
ASV_659	0	0	0	0	0	11
ASV_1031	0	0	0	0	0	10
ASV_122	2	0	0	0	0	10
ASV_55	10	0	0	0	0	7
ASV_610	0	0	0	0	0	10
ASV_813	0	0	0	0	0	10
ASV_1068	0	0	0	0	0	9
ASV_2171	0	0	0	0	0	9
ASV_4479	9	0	0	0	0	0
ASV_826	9	0	0	0	0	0
ASV_1169	8	0	0	0	0	8
ASV_207	8	0	0	0	0	0
ASV_307	0	0	0	0	0	8
ASV_1300	0	0	0	0	0	7
ASV_1694	7	0	0	0	0	0
ASV_54	7	0	0	3	0	0
ASV_614	7	0	0	0	0	3
ASV_1541	0	0	0	0	0	6
ASV_3266	0	0	0	0	0	6
ASV_488	0	0	0	0	0	6
ASV_146	5	0	0	0	0	3
ASV_4013	0	0	0	0	0	5
ASV_1069	0	0	0	0	0	4
ASV_1576	4	0	0	0	0	2
ASV_215	4	0	0	0	0	0
ASV_1475	0	0	0	0	0	3
ASV_438	3	0	0	0	0	0
ASV_1013	0	2	0	0	0	0
ASV_112	2	0	0	0	0	0
ASV_1372	0	0	0	0	0	2
ASV_1661	2	0	0	0	0	0
ASV_2223	0	0	0	0	0	2
ASV_3237	0	0	0	0	0	2
ASV_338	2	0	0	0	0	0
ASV_47	0	0	0	2	0	0
ASV_52	0	0	0	0	0	2
ASV_674	0	0	0	0	0	2
