OTU	Cervix	Introitus	Stool	Vagina	Anus	Ear
ASV_1	101244	78334	50	57024	581	777
ASV_5	48	2532	60746	6860	3610	4241
ASV_4	3	310	467	98	49795	48687
ASV_56	0	285	0	53	12662	14397
ASV_152	0	0	10204	0	24	27
ASV_7	17	2078	197	2026	9016	9340
ASV_69	0	282	0	21	7381	7855
ASV_25	0	88	7409	7	552	701
ASV_27	0	164	0	27	3387	3803
ASV_71	0	46	0	0	1626	1500
ASV_44	0	103	3	50	1013	1224
ASV_250	0	39	0	0	512	418
ASV_97	0	82	0	14	498	505
ASV_112	0	320	0	9	451	384
ASV_364	0	31	0	0	214	175
ASV_54	0	0	134	0	0	9
ASV_511	0	3	0	0	128	120
ASV_306	0	4	0	0	89	127
ASV_301	0	2	0	0	79	115
ASV_866	0	0	0	0	111	80
ASV_897	0	0	0	0	109	89
ASV_181	0	0	0	0	74	96
ASV_153	0	0	0	0	76	95
ASV_610	0	24	0	0	86	73
ASV_650	0	9	0	0	78	58
ASV_598	0	0	0	0	73	66
ASV_1011	0	3	0	2	68	54
ASV_813	0	0	0	0	65	44
ASV_219	0	33	0	0	47	43
ASV_90	2	31	0	3	31	46
ASV_445	0	0	0	0	40	41
ASV_79	0	0	0	0	41	31
ASV_47	0	0	38	0	0	0
ASV_1098	0	0	0	0	27	25
ASV_1541	0	0	0	0	21	27
ASV_2342	0	0	0	0	25	22
ASV_721	0	0	0	0	25	20
ASV_401	0	24	0	3	0	0
ASV_534	0	0	0	0	24	19
ASV_1534	0	0	0	0	16	21
ASV_1293	0	0	0	0	17	12
ASV_261	0	0	0	0	17	8
ASV_120	0	0	0	0	16	5
ASV_2223	0	0	0	0	2	14
ASV_567	0	0	0	0	10	14
ASV_774	0	14	0	0	2	2
ASV_1031	0	0	0	0	13	8
ASV_284	0	0	0	0	9	13
ASV_348	0	0	0	0	12	3
ASV_21	0	11	0	0	0	2
ASV_218	0	0	0	0	11	3
ASV_1372	0	0	0	0	10	7
ASV_488	0	0	0	0	10	9
ASV_3313	0	0	9	0	0	0
ASV_519	0	0	0	0	7	9
ASV_562	0	0	0	0	3	9
ASV_1475	0	0	0	0	8	8
ASV_674	0	0	0	0	7	8
ASV_4013	0	0	0	0	7	7
ASV_773	0	0	0	0	2	7
ASV_1666	0	0	0	0	3	6
ASV_298	0	0	0	0	4	6
ASV_821	0	0	0	0	6	3
ASV_901	0	6	0	2	0	0
ASV_1184	0	0	0	0	5	4
ASV_1602	0	0	0	0	5	4
ASV_3278	0	0	0	0	5	3
ASV_434	0	0	0	0	3	5
ASV_1068	0	0	0	0	4	4
ASV_1336	0	0	0	0	4	0
ASV_146	3	0	0	0	0	4
ASV_19	0	0	0	0	0	4
ASV_1960	0	0	0	0	4	0
ASV_2776	0	4	0	0	0	0
ASV_53	4	0	0	0	0	0
ASV_969	0	0	0	0	4	3
ASV_1013	0	2	0	2	0	3
ASV_1300	0	0	0	0	3	2
ASV_1610	0	3	0	0	2	0
ASV_1673	0	0	0	0	2	3
ASV_2171	0	0	0	0	3	0
ASV_651	0	0	0	0	2	3
ASV_128	0	0	0	0	2	0
ASV_1327	0	0	0	0	2	0
ASV_1576	0	0	0	2	0	0
ASV_1657	0	0	0	0	2	0
ASV_1694	0	0	0	0	2	2
ASV_477	0	0	0	0	2	0
ASV_55	2	0	0	0	0	0
ASV_694	0	0	0	0	0	2
