OTU	Vagina	Cervix	Stool	Introitus	Ear
ASV_1	85413	68734	8	53098	1357
ASV_7	32	3	65805	503	44343
ASV_4	26	6	7	742	5668
ASV_25	4	0	3448	58	1247
ASV_44	4	0	0	94	1287
ASV_153	0	0	0	0	1121
ASV_55	0	0	0	0	738
ASV_56	2	0	3	52	527
ASV_1684	0	0	0	0	454
ASV_53	0	0	0	0	444
ASV_134	0	0	0	0	378
ASV_567	0	0	0	0	344
ASV_181	0	0	0	0	318
ASV_5	14	4	20	19	309
ASV_97	2	0	0	0	305
ASV_207	0	0	0	5	260
ASV_19	16	12	0	259	34
ASV_220	0	0	0	0	259
ASV_79	0	0	0	0	251
ASV_348	0	0	0	0	224
ASV_338	0	0	0	0	213
ASV_477	0	0	0	0	192
ASV_52	0	0	0	0	192
ASV_622	0	0	0	0	185
ASV_773	0	0	0	0	176
ASV_614	0	0	0	0	164
ASV_215	0	0	0	2	151
ASV_364	0	0	0	2	147
ASV_136	0	0	0	0	137
ASV_57	0	0	30	0	136
ASV_1617	0	0	0	0	130
ASV_1146	0	0	0	0	127
ASV_1289	0	0	0	0	125
ASV_1694	0	0	0	0	124
ASV_90	0	0	0	18	93
ASV_1372	0	0	0	0	92
ASV_969	0	0	0	0	90
ASV_976	0	0	0	0	83
ASV_1184	0	0	0	0	73
ASV_2520	0	0	0	0	66
ASV_659	0	0	2	0	66
ASV_694	0	0	0	0	65
ASV_2458	0	0	0	0	55
ASV_298	0	0	0	0	53
ASV_146	0	0	0	0	52
ASV_445	0	0	0	0	47
ASV_69	2	0	0	16	46
ASV_1419	0	0	0	0	44
ASV_122	0	0	0	0	41
ASV_488	0	0	0	0	38
ASV_21	0	0	0	0	36
ASV_774	0	0	0	0	36
ASV_27	0	0	0	12	30
ASV_866	0	0	0	0	28
ASV_1004	0	0	27	0	0
ASV_3487	0	0	0	0	26
ASV_99	25	15	0	7	11
ASV_3191	0	0	0	0	24
ASV_598	0	0	0	0	18
ASV_738	0	0	0	0	18
ASV_1068	0	0	0	0	16
ASV_1361	0	0	0	0	16
ASV_651	0	0	0	0	16
ASV_519	0	0	0	0	15
ASV_826	0	0	0	0	15
ASV_721	0	0	0	0	14
ASV_2488	0	0	0	0	13
ASV_1564	0	0	0	0	12
ASV_438	0	0	0	0	12
ASV_984	0	0	0	0	11
ASV_4991	0	0	0	0	10
ASV_1013	0	0	0	0	9
ASV_1391	0	0	0	0	8
ASV_1475	0	0	0	0	8
ASV_301	0	0	0	8	0
ASV_128	0	0	0	0	6
ASV_3446	0	0	0	0	6
ASV_71	0	0	0	6	0
ASV_218	0	0	0	4	0
ASV_2551	0	0	0	0	4
ASV_901	0	0	0	4	0
ASV_401	0	0	0	0	3
ASV_1661	0	0	0	0	2
ASV_219	0	0	0	2	0
ASV_2363	0	0	0	0	2
ASV_511	0	0	0	0	2
ASV_562	0	0	0	0	2
ASV_610	0	0	0	2	0
