OTU	Cervix	Vagina	Introitus	Ear	Anus
ASV_1	96433	88304	83086	561	22711
ASV_25	6	145	3	38080	37
ASV_44	0	0	0	47	11855
ASV_27	0	0	0	79	9233
ASV_4	0	0	11	5473	3453
ASV_56	0	0	0	336	4743
ASV_69	0	0	0	46	3450
ASV_112	0	0	0	24	1791
ASV_7	3	0	2	1569	1044
ASV_250	0	0	0	24	1162
ASV_71	0	0	0	4	743
ASV_721	0	0	0	0	640
ASV_79	0	0	0	434	38
ASV_511	0	0	0	0	430
ASV_97	0	0	0	0	294
ASV_364	0	0	0	7	197
ASV_1702	0	0	0	0	152
ASV_306	0	0	0	4	125
ASV_219	0	0	0	2	102
ASV_540	0	0	0	0	96
ASV_181	0	0	0	81	18
ASV_1011	0	0	0	0	79
ASV_1184	0	0	0	79	9
ASV_813	0	0	0	2	79
ASV_610	0	0	0	3	77
ASV_1098	0	0	0	9	70
ASV_261	0	0	0	4	69
ASV_348	0	0	0	49	3
ASV_153	0	0	0	48	38
ASV_2425	0	0	0	36	0
ASV_2171	0	0	0	30	2
ASV_90	0	0	0	23	29
ASV_284	0	0	0	8	27
ASV_5	2	12	24	8	23
ASV_152	0	0	0	23	2
ASV_488	0	0	0	20	0
ASV_21	0	0	0	0	19
ASV_445	0	0	0	19	8
ASV_1068	0	0	0	18	0
ASV_1031	0	0	0	17	0
ASV_1534	0	0	0	16	0
ASV_403	0	0	0	16	0
ASV_866	0	0	0	16	0
ASV_307	0	0	0	0	15
ASV_53	0	0	0	15	0
ASV_773	0	0	0	13	0
ASV_298	0	0	0	8	12
ASV_562	0	0	0	12	4
ASV_1047	0	0	0	11	0
ASV_694	0	0	0	0	11
ASV_650	0	0	0	0	10
ASV_1832	0	0	0	9	0
ASV_2022	0	0	0	0	9
ASV_413	0	0	0	0	9
ASV_901	0	0	0	0	9
ASV_1475	0	0	0	8	0
ASV_301	0	0	0	0	8
ASV_378	0	0	0	0	8
ASV_534	0	0	0	8	5
ASV_1379	0	0	0	7	0
ASV_598	0	0	0	7	0
ASV_1069	0	0	0	6	0
ASV_1314	0	0	0	6	0
ASV_2268	0	0	0	6	0
ASV_674	0	0	0	6	0
ASV_1022	0	0	0	5	0
ASV_134	0	0	0	5	3
ASV_1391	0	0	0	0	5
ASV_1509	0	0	0	5	3
ASV_161	0	0	0	5	2
ASV_622	0	0	0	0	5
ASV_821	0	0	0	3	5
ASV_1820	0	0	0	0	4
ASV_1998	0	0	0	4	2
ASV_567	0	0	0	0	4
ASV_1208	0	0	0	0	3
ASV_128	0	0	0	3	0
ASV_1372	0	0	0	3	0
ASV_174	0	0	0	0	3
ASV_1805	0	0	0	0	3
ASV_19	3	0	3	0	0
ASV_207	0	0	0	3	0
ASV_54	0	0	0	3	0
ASV_57	0	0	0	3	0
ASV_651	0	0	0	3	0
ASV_774	0	0	0	3	0
ASV_984	0	0	0	0	3
ASV_1146	0	0	0	0	2
ASV_1169	0	0	0	0	2
ASV_1264	0	0	0	0	2
ASV_1293	0	0	0	2	0
ASV_1300	0	0	0	0	2
ASV_1322	0	0	0	0	2
ASV_136	0	0	0	2	0
ASV_1541	0	0	0	2	0
ASV_2549	0	0	0	2	0
ASV_338	0	0	2	0	0
ASV_55	0	0	0	0	2
ASV_614	0	0	0	0	2
ASV_659	0	0	0	2	2
