OTU	Vagina	Introitus	Cervix	Ear	Anus	Stool
ASV_1	92131	88423	84012	823	220	20
ASV_25	4	199	11	67954	59	3898
ASV_4	14	12	31	12913	46467	43562
ASV_90	0	0	0	22	0	6404
ASV_522	0	0	0	0	0	4439
ASV_44	0	0	2	68	2699	0
ASV_7	4	7	14	2682	1896	93
ASV_56	0	0	0	524	2594	0
ASV_79	2	0	0	563	18	976
ASV_27	0	0	0	112	913	0
ASV_69	0	0	0	60	504	0
ASV_5	13	18	16	21	95	489
ASV_610	0	0	0	7	237	0
ASV_250	0	0	0	48	149	0
ASV_181	0	0	0	120	7	0
ASV_152	0	0	0	28	2	119
ASV_1184	0	0	0	103	14	0
ASV_153	0	0	0	66	4	0
ASV_219	0	0	0	6	66	0
ASV_348	0	0	0	51	2	0
ASV_813	0	0	0	5	47	0
ASV_2171	0	0	0	45	2	37
ASV_403	0	0	0	43	0	0
ASV_97	0	0	0	6	41	0
ASV_1998	0	0	0	6	0	39
ASV_2425	0	0	0	38	0	0
ASV_112	0	0	0	18	34	0
ASV_721	0	0	0	11	34	0
ASV_773	0	0	0	34	2	0
ASV_445	0	0	0	32	0	0
ASV_261	0	0	0	0	31	0
ASV_488	0	0	0	31	0	0
ASV_1068	0	0	0	30	0	0
ASV_1047	0	0	0	29	0	0
ASV_866	0	0	0	29	0	0
ASV_298	0	0	0	28	0	0
ASV_53	0	0	0	21	27	0
ASV_1509	0	0	0	23	5	3
ASV_306	0	0	0	7	21	0
ASV_598	0	0	0	21	2	0
ASV_562	0	0	0	19	0	0
ASV_774	0	0	0	18	0	0
ASV_1031	0	0	0	17	0	0
ASV_71	0	0	3	6	17	0
ASV_364	0	0	0	0	15	0
ASV_1314	0	0	0	14	0	0
ASV_1534	0	0	0	14	0	0
ASV_1069	0	0	0	13	0	0
ASV_134	0	0	0	11	3	0
ASV_284	0	0	0	11	0	6
ASV_1098	0	0	0	7	9	0
ASV_1379	0	0	0	9	0	0
ASV_2268	0	0	0	9	0	0
ASV_1022	0	0	0	8	3	0
ASV_1832	0	0	0	8	0	0
ASV_1169	0	0	0	7	0	0
ASV_534	0	0	0	7	0	0
ASV_146	0	0	6	0	0	0
ASV_1475	0	0	0	6	0	0
ASV_1702	0	0	0	0	6	0
ASV_55	0	0	6	5	0	0
ASV_567	0	0	0	6	0	0
ASV_659	0	0	0	6	5	0
ASV_1820	0	0	0	5	0	0
ASV_220	0	0	0	5	3	0
ASV_2949	0	0	0	5	0	0
ASV_301	0	0	0	4	5	0
ASV_651	0	0	0	5	0	0
ASV_161	0	0	0	4	0	0
ASV_57	0	0	0	4	0	0
ASV_821	0	0	0	4	0	0
ASV_128	0	0	0	0	3	0
ASV_1293	0	0	0	3	0	0
ASV_1327	0	0	0	3	0	0
ASV_1541	0	0	0	3	0	0
ASV_1602	0	0	0	3	0	0
ASV_1657	0	0	0	3	0	0
ASV_1918	0	0	0	3	0	0
ASV_674	0	0	0	3	2	0
ASV_969	0	0	0	3	0	0
ASV_1011	0	0	0	2	0	0
ASV_1133	0	0	0	2	0	0
ASV_120	0	0	0	2	0	0
ASV_1372	0	0	0	2	0	0
ASV_1576	0	0	0	2	0	0
ASV_19	0	0	2	2	2	0
ASV_2363	0	0	0	2	0	0
ASV_2549	0	0	0	2	0	0
ASV_2801	2	0	0	0	0	0
ASV_338	0	0	0	0	2	0
ASV_413	0	0	0	2	0	0
ASV_4629	0	0	0	2	0	0
ASV_845	0	0	0	0	2	0
ASV_976	0	0	2	0	0	0
ASV_99	0	0	0	2	0	2
