OTU	Stool	Vagina	Cervix	Anus	Introitus	Ear
ASV_5	98383	1806	3	1732	53160	437
ASV_1	33	96892	88443	324	56477	4407
ASV_4	14	3	2	57733	20	1955
ASV_7	9	66	9	6	72	44878
ASV_57	20	0	0	2	0	2874
ASV_207	0	0	0	2	1322	35
ASV_25	88	5	2	1110	1054	250
ASV_27	0	0	0	111	933	59
ASV_71	0	0	0	112	533	868
ASV_47	0	0	0	746	0	10
ASV_153	0	0	0	698	8	3
ASV_181	0	0	0	619	8	37
ASV_415	22	0	0	0	0	607
ASV_90	0	0	0	499	134	78
ASV_44	0	13	0	121	186	392
ASV_21	0	0	0	0	0	320
ASV_79	0	0	0	308	5	142
ASV_146	0	0	0	0	5	223
ASV_866	0	0	0	190	9	3
ASV_401	0	0	0	0	189	0
ASV_413	0	0	0	186	6	0
ASV_338	0	0	0	0	0	184
ASV_69	0	0	0	41	180	151
ASV_897	0	0	0	5	0	180
ASV_55	0	2	0	0	3	170
ASV_97	0	0	0	16	29	168
ASV_56	0	2	2	76	105	167
ASV_348	0	0	0	165	0	24
ASV_284	0	0	0	155	2	3
ASV_598	0	0	0	150	0	144
ASV_378	0	0	0	0	0	149
ASV_306	0	0	0	5	0	146
ASV_674	0	0	0	5	0	145
ASV_161	0	0	0	130	2	0
ASV_219	0	0	0	8	121	59
ASV_445	0	0	0	117	6	34
ASV_438	0	0	0	0	0	105
ASV_128	0	0	0	0	0	101
ASV_1602	0	0	0	6	0	101
ASV_1852	0	0	0	96	4	0
ASV_364	0	0	0	41	44	96
ASV_488	0	0	0	96	0	0
ASV_112	0	0	0	2	0	94
ASV_477	0	3	0	0	2	94
ASV_534	0	0	0	91	4	0
ASV_1068	0	0	0	89	0	0
ASV_614	0	0	0	0	0	89
ASV_562	0	0	0	86	0	88
ASV_567	0	0	0	68	0	88
ASV_519	0	0	0	2	0	87
ASV_387	0	0	0	22	85	0
ASV_2458	0	0	0	0	0	79
ASV_1289	0	0	0	0	2	73
ASV_1588	0	0	0	72	0	0
ASV_298	0	0	0	72	0	0
ASV_984	0	0	0	0	0	67
ASV_19	0	5	10	0	10	66
ASV_250	0	0	0	3	10	66
ASV_738	0	0	0	0	0	63
ASV_826	0	0	0	0	0	58
ASV_651	0	0	0	55	0	0
ASV_1264	0	0	0	0	0	54
ASV_821	0	0	0	54	0	0
ASV_969	0	0	0	53	4	0
