OTU	Vagina	Cervix	Introitus	Anus	Ear
ASV_4	85440	233	53865	47273	66
ASV_1	9362	82332	15350	28	87
ASV_122	0	0	0	0	44329
ASV_5	19021	773	18632	4584	64
ASV_7	136	20	370	1008	9701
ASV_44	23	0	8	5320	119
ASV_56	4	0	0	2149	56
ASV_27	14	6	38	1935	102
ASV_79	0	0	0	1070	24
ASV_69	0	0	0	910	64
ASV_112	0	0	0	575	35
ASV_307	2	0	33	538	0
ASV_97	0	0	0	354	37
ASV_153	2	0	0	283	15
ASV_540	0	0	0	232	2
ASV_413	0	0	0	187	0
ASV_99	26	0	0	184	16
ASV_25	14	2	9	172	41
ASV_53	0	0	0	163	11
ASV_1702	0	0	0	148	0
ASV_364	0	0	0	125	0
ASV_219	0	0	0	112	4
ASV_181	0	0	0	99	3
ASV_1133	0	0	0	87	0
ASV_511	0	0	0	80	6
ASV_250	0	0	0	75	7
ASV_71	9	13	73	17	18
ASV_488	0	0	0	72	13
ASV_567	0	0	0	62	11
ASV_445	0	0	0	55	3
ASV_306	0	0	0	16	53
ASV_134	0	0	0	0	52
ASV_55	0	0	0	0	52
ASV_146	0	0	0	0	42
ASV_1419	0	0	0	0	38
ASV_659	0	0	0	0	37
ASV_1184	0	0	0	31	0
ASV_534	0	0	0	31	2
ASV_128	0	0	0	0	30
ASV_401	11	3	9	29	0
ASV_120	0	0	0	7	27
ASV_298	0	0	0	27	0
ASV_674	0	0	0	25	0
ASV_338	0	0	0	0	24
ASV_622	0	0	0	0	24
ASV_813	2	0	0	24	0
ASV_1098	0	0	0	23	0
ASV_1598	0	0	0	0	23
ASV_161	0	0	0	22	2
ASV_3237	0	0	0	21	0
ASV_152	0	0	0	20	0
ASV_348	0	0	0	20	18
ASV_1684	0	0	0	0	19
ASV_1998	0	0	0	19	0
ASV_284	0	0	0	18	2
ASV_651	0	0	0	17	0
ASV_1289	0	0	0	0	16
ASV_21	0	0	2	16	0
ASV_1068	0	0	0	15	0
ASV_378	0	0	0	0	15
ASV_598	0	0	0	15	0
ASV_220	0	0	0	0	14
ASV_1011	0	0	0	13	2
ASV_1146	0	0	0	0	12
ASV_773	0	0	0	12	0
ASV_1169	0	0	0	11	6
ASV_1852	0	0	0	11	2
ASV_477	0	0	0	0	11
ASV_826	0	0	0	0	11
ASV_19	2	0	3	0	10
ASV_1475	0	0	0	8	0
ASV_2171	0	0	0	8	0
ASV_519	0	0	0	0	8
ASV_54	8	0	0	0	0
ASV_650	0	0	0	0	8
ASV_1300	0	0	0	7	0
ASV_562	0	0	0	6	7
ASV_57	0	0	0	0	7
ASV_403	0	0	0	6	0
ASV_522	0	0	0	6	0
ASV_767	0	0	0	6	6
ASV_1264	0	0	0	0	5
ASV_1318	0	0	0	5	0
ASV_207	2	2	5	2	0
ASV_2458	0	0	0	0	5
ASV_261	0	0	0	2	5
ASV_2632	0	0	5	0	0
ASV_2769	0	0	0	0	5
ASV_866	0	0	0	5	0
ASV_90	0	2	0	5	3
ASV_1013	0	0	0	0	4
ASV_1031	0	0	0	4	0
ASV_136	0	0	0	0	4
ASV_1379	0	0	0	4	0
ASV_1509	0	0	0	4	0
ASV_1610	0	0	0	0	4
ASV_614	0	0	0	0	4
ASV_721	0	0	0	0	4
ASV_821	0	0	0	4	0
ASV_1381	0	0	0	0	3
ASV_2275	0	0	0	3	0
ASV_2607	0	0	0	0	3
ASV_301	0	0	0	0	3
ASV_694	0	0	0	0	3
ASV_845	0	0	0	0	3
ASV_984	0	0	0	0	3
ASV_1372	0	0	0	0	2
ASV_1602	0	0	0	2	0
ASV_1661	0	0	0	0	2
ASV_174	0	0	0	2	0
ASV_2363	0	0	0	2	0
ASV_2801	0	0	0	0	2
ASV_2895	0	0	0	0	2
ASV_610	0	2	2	0	2
