OTU	Cervix	Vagina	Introitus	Anus	Ear
ASV_1	111031	88381	71537	132	25808
ASV_4	15	2	4826	48384	1099
ASV_7	6	26	3876	948	7912
ASV_5	11	150	5105	1412	459
ASV_44	0	0	53	3643	2291
ASV_56	0	0	96	3431	388
ASV_25	0	5	13	798	3417
ASV_69	0	0	32	2703	691
ASV_112	0	0	18	2646	4
ASV_27	0	0	81	2587	481
ASV_71	0	0	30	1911	906
ASV_1002	0	0	0	0	1733
ASV_250	0	0	2	1105	493
ASV_364	0	0	12	1053	113
ASV_136	0	0	0	0	659
ASV_1245	0	0	0	0	581
ASV_1564	0	0	0	0	566
ASV_79	0	0	0	15	546
ASV_97	0	2	15	472	472
ASV_415	0	0	0	0	439
ASV_181	0	0	0	0	260
ASV_53	0	0	0	0	233
ASV_488	0	0	0	0	228
ASV_387	0	0	33	222	2
ASV_57	0	0	0	0	206
ASV_207	0	0	0	0	186
ASV_2485	0	0	0	0	161
ASV_1427	0	0	0	0	155
ASV_378	0	0	0	0	143
ASV_307	0	0	2	140	35
ASV_813	0	0	0	140	0
ASV_261	0	0	8	136	0
ASV_134	0	2	0	0	110
ASV_477	0	0	2	0	105
ASV_1098	0	0	0	100	0
ASV_1327	0	0	0	0	98
ASV_90	0	2	0	0	95
ASV_55	0	0	0	0	93
ASV_610	0	0	0	84	4
ASV_301	0	0	0	74	11
ASV_153	0	0	0	4	72
ASV_220	0	0	0	0	72
ASV_511	0	0	0	0	69
ASV_774	0	0	0	0	69
ASV_614	0	0	0	0	65
ASV_674	0	0	0	0	61
ASV_306	0	0	0	60	57
ASV_598	0	0	0	14	58
ASV_1264	0	0	0	0	57
ASV_99	0	0	0	4	54
ASV_21	0	0	0	52	31
ASV_445	0	0	0	0	51
ASV_519	0	0	0	0	51
ASV_219	0	0	3	48	36
ASV_826	0	0	0	0	47
ASV_897	0	0	0	0	47
ASV_19	3	4	0	41	45
ASV_401	0	0	0	0	45
ASV_1617	0	0	0	0	44
ASV_338	0	0	0	0	41
ASV_1944	0	0	0	0	40
ASV_215	0	0	0	40	0
ASV_128	0	0	0	0	38
ASV_2204	0	0	0	0	36
ASV_650	0	0	0	5	36
ASV_1289	0	0	0	0	35
ASV_1702	0	0	0	33	0
ASV_540	0	0	0	32	0
ASV_152	0	0	0	0	30
ASV_2166	0	0	0	0	30
ASV_1022	0	0	0	2	29
ASV_2551	0	0	0	0	29
ASV_146	0	0	0	0	26
ASV_2769	0	0	0	0	26
ASV_1011	0	0	0	8	25
ASV_403	0	0	0	24	0
ASV_1314	0	0	0	0	22
ASV_1450	0	0	0	0	22
ASV_1666	0	0	0	0	22
ASV_1013	0	0	0	0	20
ASV_122	0	0	0	0	20
ASV_413	0	0	0	0	19
ASV_3191	0	0	0	0	18
ASV_976	0	0	0	0	18
ASV_1419	0	0	0	0	17
ASV_721	0	0	0	17	0
ASV_738	0	0	0	17	0
ASV_348	0	0	0	0	16
ASV_2223	0	0	0	0	15
ASV_1576	0	0	0	0	14
ASV_1336	0	0	0	10	13
ASV_417	0	0	0	0	13
ASV_901	0	0	0	0	13
ASV_1820	0	0	0	0	12
ASV_984	0	0	0	0	12
ASV_174	0	0	0	0	11
ASV_2342	0	0	0	11	0
ASV_522	0	0	0	11	0
ASV_659	0	0	0	11	10
ASV_1862	0	0	0	10	0
ASV_1068	0	0	0	0	9
ASV_1372	0	0	0	0	9
ASV_567	0	0	0	0	9
ASV_1184	0	0	0	0	8
ASV_1684	0	0	0	0	8
ASV_4037	0	0	0	0	8
ASV_434	0	0	0	8	0
ASV_1475	0	0	0	0	7
ASV_1661	0	0	0	0	6
ASV_1960	0	0	0	6	0
ASV_2498	6	5	3	0	0
ASV_806	0	0	0	6	0
ASV_1381	0	0	0	0	5
ASV_1610	0	0	0	0	5
ASV_2494	0	0	0	0	5
ASV_622	0	0	0	0	5
ASV_139	0	0	0	4	0
ASV_562	0	0	0	4	3
ASV_694	0	0	0	0	4
ASV_767	0	0	0	4	0
ASV_928	0	0	0	0	4
ASV_1322	0	0	3	0	0
ASV_1534	0	0	0	3	0
ASV_161	0	0	0	3	0
ASV_52	0	0	0	3	0
ASV_1361	0	0	0	0	2
ASV_1509	0	0	0	2	0
ASV_2425	0	0	0	2	0
