OTU	Vagina	Anus	Cervix	Introitus	Ear
ASV_5	63679	3054	300	23122	2101
ASV_4	0	63661	0	35038	2467
ASV_1	7210	15	62860	3381	19725
ASV_52	0	0	0	0	9433
ASV_7	8433	36	8560	610	6958
ASV_25	0	3	0	3	1656
ASV_378	0	0	0	0	1211
ASV_44	15	537	0	8	1086
ASV_55	0	0	0	0	1014
ASV_122	0	0	0	0	715
ASV_306	0	0	0	0	569
ASV_598	0	0	0	0	558
ASV_1419	0	0	0	0	482
ASV_134	0	3	0	0	468
ASV_146	0	0	0	0	445
ASV_57	0	0	0	0	364
ASV_250	0	4	0	0	318
ASV_622	0	0	0	0	311
ASV_1450	0	0	0	0	294
ASV_19	0	0	0	0	289
ASV_1427	0	0	0	0	286
ASV_153	0	0	0	0	278
ASV_128	11	4	0	5	265
ASV_2090	0	0	0	0	243
ASV_747	0	0	0	0	241
ASV_401	0	0	0	6	233
ASV_694	0	0	0	0	212
ASV_1146	0	0	0	0	195
ASV_2166	0	0	0	0	195
ASV_976	0	0	0	0	158
ASV_261	0	10	0	0	151
ASV_2597	0	0	0	0	148
ASV_2520	0	0	0	0	144
ASV_2100	0	0	0	0	143
ASV_1925	0	0	0	0	142
ASV_1138	0	0	0	0	139
ASV_984	0	0	0	0	130
ASV_1264	0	0	0	0	126
ASV_338	0	24	0	0	115
ASV_348	0	0	0	0	106
ASV_614	0	0	0	0	104
ASV_79	0	8	0	0	75
ASV_27	0	33	0	6	69
ASV_210	0	0	0	0	66
ASV_56	0	21	0	0	55
ASV_2494	0	0	0	0	50
ASV_136	0	0	0	0	48
ASV_1391	0	0	0	0	48
ASV_659	0	0	0	2	37
ASV_2632	35	0	0	0	0
ASV_364	0	2	0	0	34
ASV_519	0	0	0	0	32
ASV_54	0	0	0	0	27
ASV_540	0	7	0	0	26
ASV_181	0	0	0	0	23
ASV_284	0	0	0	0	22
ASV_90	0	0	0	0	20
ASV_674	0	0	0	0	18
ASV_2070	0	0	0	0	14
ASV_215	0	12	0	0	0
ASV_53	0	0	0	0	11
ASV_1576	0	0	0	0	10
ASV_69	0	10	0	0	6
ASV_97	0	10	0	0	0
ASV_1031	0	0	0	0	8
ASV_112	0	8	0	0	0
ASV_1509	0	8	0	0	0
ASV_897	0	8	0	0	0
ASV_1361	0	0	0	0	7
ASV_445	0	0	0	0	6
ASV_610	0	6	0	0	4
ASV_120	0	0	0	0	5
ASV_1805	0	0	0	0	5
ASV_71	0	4	0	3	2
ASV_821	0	0	0	0	4
ASV_1702	0	0	0	0	3
ASV_1852	0	0	0	0	2
ASV_562	0	0	0	0	2
