OTU	Cervix	Stool	Vagina	Introitus	Ear
ASV_1	111589	36	52536	50314	1297
ASV_7	40	62637	4635	20280	4628
ASV_55	0	0	0	0	30950
ASV_5	83	15	11549	18512	340
ASV_4	0	5	15646	24	6707
ASV_25	13	2337	4905	4037	359
ASV_56	0	0	0	5	1540
ASV_69	0	0	0	4	1287
ASV_79	0	0	0	0	1057
ASV_27	0	0	0	3	974
ASV_44	2	0	42	293	804
ASV_97	0	0	0	0	734
ASV_250	0	0	0	0	553
ASV_261	0	0	0	0	398
ASV_826	0	0	0	0	251
ASV_1002	0	0	0	0	240
ASV_71	0	0	0	2	219
ASV_19	0	2	3	4	188
ASV_2070	0	0	0	0	179
ASV_146	2	0	0	0	155
ASV_614	0	2	0	0	153
ASV_57	0	0	0	0	148
ASV_2551	0	0	0	0	138
ASV_112	0	0	0	0	137
ASV_567	0	0	0	0	127
ASV_215	0	0	0	0	124
ASV_306	0	0	0	0	124
ASV_3507	0	0	0	0	107
ASV_134	0	0	0	3	105
ASV_477	0	0	0	0	97
ASV_1022	0	0	0	0	77
ASV_622	0	0	2	0	74
ASV_364	0	0	0	0	66
ASV_1450	0	0	0	0	65
ASV_522	0	0	0	0	64
ASV_298	0	0	0	0	63
ASV_219	0	0	0	0	62
ASV_2268	0	0	0	0	62
ASV_1391	0	0	0	0	57
ASV_21	0	0	0	0	53
ASV_1661	0	0	0	0	52
ASV_813	0	0	0	0	50
ASV_181	0	0	0	0	45
ASV_1427	0	0	0	0	42
ASV_540	0	0	0	0	41
ASV_1598	0	0	0	0	40
ASV_1013	0	0	0	0	38
ASV_90	0	0	0	0	38
ASV_2166	0	0	0	0	37
ASV_438	0	0	0	0	35
ASV_338	0	2	0	0	33
ASV_1052	0	0	0	0	31
ASV_1184	0	0	0	0	25
ASV_1381	0	0	0	0	25
ASV_1998	0	0	0	0	24
ASV_2801	0	0	0	0	24
ASV_122	0	0	0	0	23
ASV_152	0	0	0	0	22
ASV_2425	0	0	0	0	21
ASV_348	0	0	0	0	20
ASV_445	0	0	0	0	20
ASV_519	0	0	0	0	20
ASV_4984	0	0	0	0	17
ASV_2204	0	0	0	0	16
ASV_3085	0	0	0	0	16
ASV_52	0	0	0	0	16
ASV_128	0	0	0	0	14
ASV_511	0	0	0	0	14
ASV_976	0	0	0	0	14
ASV_1146	0	0	0	0	13
ASV_1673	0	0	0	0	13
ASV_1264	0	0	0	0	10
ASV_153	0	0	0	0	10
ASV_2494	0	0	0	0	10
ASV_1245	0	0	0	0	9
ASV_1847	0	9	0	0	0
ASV_415	0	0	0	0	8
ASV_488	0	0	0	0	8
ASV_1832	0	0	0	0	7
ASV_2100	0	0	0	0	7
ASV_2458	0	2	0	0	7
ASV_2498	4	0	7	0	0
ASV_3191	0	0	0	0	7
ASV_1576	0	0	0	0	6
ASV_1684	0	0	0	0	5
ASV_301	0	0	0	0	5
ASV_307	0	0	2	2	4
ASV_1694	0	0	0	0	3
ASV_2632	0	0	0	3	0
ASV_207	0	0	0	2	0
ASV_610	0	0	0	0	2
