OTU	Cervix	Vagina	Introitus	Ear	Stool	Anus
ASV_1	104141	94654	71072	4553	38	208
ASV_52	0	0	0	53920	0	0
ASV_4	40	67	7	1167	41038	35799
ASV_7	5	14	3545	9691	3703	36185
ASV_5	16	42	29756	3414	4288	403
ASV_44	0	0	19	54	0	4692
ASV_99	0	0	0	49	1925	0
ASV_79	0	0	0	292	1472	6
ASV_181	0	0	0	750	0	12
ASV_56	0	2	4	226	0	702
ASV_90	0	0	2	608	2	5
ASV_585	31	37	39	606	0	0
ASV_27	0	0	7	286	0	582
ASV_403	0	0	0	548	0	0
ASV_71	0	0	3	495	0	28
ASV_562	0	0	0	354	0	0
ASV_134	0	0	0	24	0	263
ASV_674	0	0	0	254	0	3
ASV_219	0	0	0	251	0	47
ASV_69	0	0	2	34	0	242
ASV_153	0	0	0	233	0	0
ASV_651	0	0	0	161	0	3
ASV_598	0	0	0	159	0	2
ASV_97	0	0	0	144	0	20
ASV_413	0	0	0	122	0	0
ASV_445	0	0	0	119	0	4
ASV_298	0	0	0	104	0	0
ASV_364	0	0	0	101	0	6
ASV_567	0	0	0	89	0	9
ASV_650	0	0	0	81	0	0
ASV_250	0	0	0	6	0	79
ASV_348	0	0	0	76	0	0
ASV_1169	0	0	0	70	0	2
ASV_25	0	0	0	69	60	0
ASV_1068	0	0	0	66	0	0
ASV_511	0	0	0	64	0	2
ASV_1069	0	0	0	62	0	0
ASV_866	0	0	0	46	0	0
ASV_1011	0	0	0	45	0	0
ASV_1960	0	0	0	44	0	4
ASV_2171	0	0	0	41	0	0
ASV_534	0	0	0	41	0	5
ASV_1509	0	0	0	0	0	38
ASV_152	0	0	0	27	38	0
ASV_306	0	0	0	0	0	29
ASV_112	0	0	0	27	0	0
ASV_2363	0	0	0	27	0	0
ASV_774	0	0	0	26	0	2
ASV_826	0	0	0	25	2	0
ASV_519	0	0	0	24	0	0
ASV_610	0	0	2	24	0	9
ASV_976	0	0	0	24	0	0
ASV_438	0	0	0	22	0	0
ASV_174	0	0	0	0	21	0
ASV_19	0	6	2	20	5	0
ASV_2632	0	0	20	0	0	0
ASV_128	2	0	0	0	0	19
ASV_2801	0	0	0	18	0	0
ASV_2949	0	0	0	18	0	0
ASV_4360	0	0	0	18	0	0
ASV_1293	0	0	0	17	0	0
ASV_1541	0	0	0	17	0	0
ASV_1031	0	0	0	16	0	0
ASV_55	0	0	0	16	0	0
ASV_1318	0	0	0	15	0	0
ASV_146	0	0	5	13	0	0
ASV_2339	0	0	0	13	0	0
ASV_54	0	4	0	0	13	0
ASV_2485	0	0	0	12	0	0
ASV_1098	0	0	0	11	0	0
ASV_1264	0	0	0	11	0	0
ASV_1657	0	0	0	11	0	0
ASV_284	0	0	0	11	0	10
ASV_813	0	0	0	0	0	11
ASV_220	0	0	0	10	0	0
ASV_1184	0	0	0	9	0	0
ASV_821	0	0	0	9	0	0
ASV_1047	0	0	0	8	0	0
ASV_1146	0	0	0	8	0	0
ASV_57	0	0	0	8	0	0
ASV_1576	0	2	6	0	0	0
ASV_3487	0	0	0	6	0	0
ASV_659	0	0	5	6	0	0
ASV_122	0	0	0	3	0	5
ASV_2223	0	0	0	5	0	0
ASV_4991	0	0	0	5	0	0
ASV_53	0	0	0	5	0	0
ASV_622	0	0	0	5	0	0
ASV_969	0	0	0	5	0	0
ASV_1379	0	0	0	4	0	2
ASV_1013	0	0	0	3	0	0
ASV_1450	0	0	0	3	0	0
ASV_387	0	0	0	3	0	0
ASV_721	0	0	0	3	0	0
ASV_897	0	0	0	0	0	3
ASV_1138	0	0	0	2	0	0
ASV_1300	0	0	0	2	0	0
ASV_136	0	0	0	2	0	0
ASV_1361	0	0	0	2	0	0
ASV_1381	0	0	2	0	0	0
ASV_218	0	0	0	0	0	2
ASV_2467	0	0	2	0	0	0
ASV_2494	0	0	0	2	0	0
ASV_434	0	0	0	0	0	2
ASV_477	0	0	0	2	0	0
ASV_614	0	0	0	2	0	0
ASV_694	0	0	2	0	0	0
