OTU	Stool	Introitus	Cervix	Vagina	Anus	Ear
ASV_5	67048	151	16	17	67	259
ASV_19	0	51585	40324	40055	176	9
ASV_1	23	18825	30351	24820	143	109
ASV_69	0	29	0	0	15190	109
ASV_56	0	9	0	0	14621	109
ASV_27	0	157	0	0	9350	137
ASV_250	0	2	0	0	7868	0
ASV_7	8	162	2	19	4020	1292
ASV_97	0	3	0	0	3468	20
ASV_21	0	1177	2651	1339	335	2
ASV_364	0	46	2	0	1755	10
ASV_207	0	1436	0	5	6	17
ASV_71	0	1362	0	13	1083	22
ASV_306	0	0	0	0	1276	0
ASV_897	0	0	0	0	1057	7
ASV_90	0	962	4	5	61	0
ASV_1011	0	0	0	0	853	12
ASV_4	0	18	2	16	620	174
ASV_79	0	0	0	0	573	29
ASV_219	0	2	0	0	560	4
ASV_25	53	541	0	31	35	237
ASV_434	0	0	0	0	308	2
ASV_610	0	10	0	0	216	258
ASV_813	0	0	0	0	201	0
ASV_261	0	0	0	0	153	0
ASV_519	0	28	0	0	144	0
ASV_44	0	0	0	0	88	53
ASV_2275	0	0	0	0	86	0
ASV_55	0	0	0	0	0	80
ASV_1047	0	0	0	0	65	0
ASV_1013	0	0	0	0	0	53
ASV_650	0	0	0	0	49	0
ASV_307	0	0	0	0	48	0
ASV_1184	0	0	0	0	42	0
ASV_153	0	0	0	0	39	9
ASV_112	0	0	0	0	28	34
ASV_1534	0	0	0	0	34	0
ASV_477	0	0	0	0	4	33
ASV_218	0	27	0	0	0	0
ASV_845	0	0	0	0	0	26
ASV_2342	0	0	0	0	24	0
ASV_2488	0	0	0	0	21	0
ASV_52	0	0	0	0	0	20
ASV_128	0	0	0	0	3	19
ASV_614	0	0	0	0	6	19
ASV_866	0	0	0	0	19	0
ASV_1450	0	0	0	0	0	18
ASV_134	0	0	0	0	4	17
ASV_174	0	0	0	0	17	0
ASV_181	0	0	0	0	16	0
ASV_1208	0	0	0	0	15	0
ASV_622	0	0	0	0	0	15
ASV_415	14	0	0	0	0	0
ASV_1998	0	0	0	0	13	0
ASV_220	0	0	0	0	0	12
ASV_659	0	2	0	0	3	12
ASV_1820	0	0	0	0	11	0
ASV_301	0	0	0	0	7	11
ASV_1657	0	0	0	0	10	0
ASV_1918	0	0	0	0	10	0
ASV_2607	0	0	0	0	0	10
ASV_2520	0	0	0	0	0	9
ASV_348	0	0	0	0	0	9
ASV_146	0	2	0	0	0	8
ASV_210	0	0	0	0	8	0
ASV_567	0	0	0	0	0	8
ASV_1318	0	0	0	0	7	0
ASV_152	0	0	0	0	7	0
ASV_161	0	0	0	0	7	0
ASV_2175	0	0	0	0	0	7
ASV_2268	0	0	0	0	7	0
ASV_2498	0	7	4	5	0	0
ASV_445	0	0	0	0	7	0
ASV_562	0	0	0	0	0	7
ASV_122	0	0	0	0	0	6
ASV_1944	0	0	0	0	0	6
ASV_338	0	0	0	0	0	6
ASV_401	0	0	0	0	0	6
ASV_4623	0	0	0	0	0	6
ASV_99	0	0	0	0	6	0
ASV_1960	0	0	0	0	5	0
ASV_738	0	0	0	0	0	5
ASV_976	0	0	0	0	4	5
ASV_136	0	0	0	0	0	4
ASV_1381	0	0	0	0	4	0
ASV_2022	0	0	0	0	4	0
ASV_2223	0	0	0	0	4	0
ASV_826	0	0	0	0	0	4
ASV_928	0	0	0	0	0	4
ASV_1052	0	0	0	0	0	3
ASV_1146	0	2	0	0	0	3
ASV_2425	0	0	0	0	3	0
ASV_2467	0	2	3	3	0	0
ASV_3313	0	0	0	0	3	0
ASV_540	0	0	0	0	2	3
ASV_598	0	0	0	0	3	0
ASV_806	0	0	0	0	3	0
ASV_984	0	0	0	0	0	3
ASV_1004	0	0	0	0	2	0
ASV_1133	0	0	0	0	2	0
ASV_2100	0	0	0	0	0	2
ASV_2549	0	0	0	0	2	0
ASV_284	0	0	0	0	0	2
ASV_3487	0	0	0	0	0	2
ASV_488	0	0	0	0	2	0
ASV_54	0	2	0	0	0	0
