OTU	Anus	Ear	Cervix	Vagina	Introitus	Stool
ASV_4	101461	18	19	6	7	2210
ASV_7	1071	44016	14	304	518	1095
ASV_1	57	104	40733	27344	26746	19344
ASV_55	0	37420	0	0	0	103
ASV_19	2	205	15481	19702	16003	3980
ASV_90	0	4	0	0	0	4039
ASV_69	309	3	0	0	0	3132
ASV_56	875	11	0	2	7	2725
ASV_25	1282	1552	0	2	0	2581
ASV_1004	0	0	0	0	0	1891
ASV_5	1812	1180	28	2	92	1010
ASV_21	0	0	0	0	0	1690
ASV_71	28	3	0	3	0	1392
ASV_97	73	2	0	0	0	1343
ASV_122	0	889	0	0	0	76
ASV_27	637	6	0	2	2	749
ASV_401	0	0	0	0	0	715
ASV_112	6	0	0	0	0	625
ASV_44	171	40	0	7	15	613
ASV_364	7	0	0	0	0	500
ASV_650	0	0	0	0	0	383
ASV_250	62	2	0	0	0	275
ASV_219	0	0	0	0	0	262
ASV_134	0	213	0	0	0	37
ASV_434	0	0	0	0	0	207
ASV_417	0	0	0	0	0	185
ASV_1610	0	0	0	0	0	179
ASV_767	0	0	0	0	0	147
ASV_307	142	0	0	0	0	138
ASV_207	0	3	0	0	0	134
ASV_614	0	0	0	0	0	132
ASV_57	0	131	0	0	0	54
ASV_1450	0	4	0	0	0	115
ASV_1322	0	0	0	0	0	103
ASV_387	0	0	0	0	0	99
ASV_813	12	0	0	0	0	99
ASV_2376	0	0	0	0	0	89
ASV_338	0	0	0	0	0	89
ASV_136	0	73	0	0	0	69
ASV_845	0	0	0	0	0	70
ASV_153	8	0	0	0	0	62
ASV_659	62	0	0	0	0	51
ASV_1011	7	0	0	0	0	61
ASV_99	7	0	0	0	0	60
ASV_519	0	0	0	0	0	58
ASV_181	3	0	0	0	0	55
ASV_540	0	2	0	0	0	55
ASV_622	0	0	0	0	0	55
ASV_738	0	0	0	0	0	53
ASV_2175	0	0	0	0	0	51
ASV_79	21	5	0	0	0	47
ASV_1289	0	3	0	0	0	44
ASV_128	2	37	2	0	0	31
ASV_610	5	0	0	0	0	37
ASV_220	0	36	0	0	0	0
ASV_1098	0	0	0	0	0	33
ASV_724	0	0	0	0	0	33
ASV_348	0	0	0	0	0	32
ASV_1684	0	2	0	0	0	31
ASV_52	0	0	0	0	0	31
ASV_146	0	0	0	0	0	30
ASV_2776	0	0	0	0	0	29
ASV_976	0	4	0	0	0	29
ASV_261	0	0	0	0	0	26
ASV_806	0	0	0	0	0	26
ASV_866	0	0	0	0	0	26
ASV_3792	0	0	0	0	0	25
ASV_1169	0	0	0	0	0	24
ASV_1379	0	0	0	0	0	23
ASV_2597	0	0	0	0	0	23
ASV_1847	0	0	0	0	0	22
ASV_1960	0	0	0	0	0	22
ASV_438	0	0	0	0	0	22
ASV_2342	0	0	0	0	0	21
ASV_477	0	0	0	0	0	19
ASV_511	18	0	0	0	0	14
ASV_2458	0	0	0	0	0	17
ASV_1146	0	0	0	2	0	16
ASV_2204	0	15	0	0	0	0
ASV_928	0	2	0	0	0	14
ASV_1944	0	0	0	0	0	13
ASV_3096	0	0	0	0	0	13
ASV_1052	0	0	0	0	0	12
ASV_901	0	0	0	0	0	12
ASV_2070	0	0	0	0	0	10
ASV_47	0	0	0	0	0	10
ASV_2485	0	0	0	0	0	9
ASV_2498	0	0	9	0	6	0
ASV_3032	0	0	0	0	0	9
ASV_2769	0	0	0	0	0	8
ASV_306	6	2	0	0	0	8
ASV_415	0	8	0	0	0	0
ASV_3487	0	0	0	0	0	7
ASV_54	0	0	0	0	0	7
ASV_2022	0	0	0	0	0	6
ASV_1264	0	0	0	0	0	5
ASV_1138	0	4	0	0	0	0
ASV_1391	0	3	0	0	0	0
ASV_215	0	0	0	0	0	3
ASV_598	0	3	0	0	0	0
ASV_1013	2	0	0	0	0	2
ASV_1184	2	0	0	0	0	0
ASV_152	2	0	0	0	0	0
ASV_1617	0	0	0	2	0	0
ASV_445	2	0	0	0	0	0
ASV_488	0	2	0	0	0	0
ASV_826	0	0	0	0	0	2
