OTU	Vagina	Cervix	Introitus	Ear	Anus	Stool
ASV_1	109592	90927	85470	53	322	34
ASV_7	180	55	70	82352	1783	44557
ASV_4	11	13	9	38	64252	0
ASV_161	0	0	0	0	0	18946
ASV_90	0	0	0	0	4	5577
ASV_112	7	0	2	0	3291	0
ASV_56	4	0	5	0	3187	0
ASV_27	231	0	10	0	2950	0
ASV_387	6	0	0	0	2025	0
ASV_69	10	0	0	0	2016	0
ASV_25	7	0	4	0	182	1136
ASV_71	6	2	0	0	1013	0
ASV_298	0	0	0	0	0	925
ASV_364	0	0	0	0	401	0
ASV_219	0	0	0	0	359	0
ASV_97	9	0	0	2	294	0
ASV_44	21	85	22	132	157	62
ASV_250	0	0	0	0	143	0
ASV_5	15	5	0	5	91	29
ASV_261	0	0	0	0	73	0
ASV_306	0	0	0	0	42	0
ASV_54	0	0	0	0	0	39
ASV_218	0	0	0	0	26	0
ASV_1098	0	0	0	0	23	0
ASV_99	0	0	0	0	0	15
ASV_1610	0	0	0	0	13	0
ASV_207	0	0	0	0	13	0
ASV_511	0	0	0	0	12	0
ASV_47	0	0	0	0	0	11
ASV_519	0	0	0	0	11	0
ASV_79	6	0	0	0	11	0
ASV_901	0	0	2	0	10	0
ASV_1011	0	0	0	0	9	0
ASV_52	0	0	0	2	9	0
ASV_610	0	0	0	0	9	0
ASV_650	0	0	0	0	7	0
ASV_774	0	0	0	0	7	0
ASV_120	0	0	0	6	0	0
ASV_1336	0	0	0	0	6	0
ASV_19	0	5	2	0	0	0
ASV_1022	0	0	0	0	4	0
ASV_845	0	0	0	0	4	0
ASV_1450	3	0	0	0	0	0
ASV_153	3	0	0	0	0	0
ASV_614	0	0	0	0	0	3
ASV_1138	0	0	0	0	0	2
ASV_122	0	0	0	0	2	0
ASV_136	0	2	0	0	0	0
ASV_1576	2	0	0	0	0	0
ASV_1847	0	0	0	0	0	2
ASV_21	0	2	0	0	2	0
ASV_2175	0	0	0	0	0	2
ASV_220	2	0	0	0	0	2
ASV_55	2	0	0	0	0	2
ASV_694	2	0	0	0	0	0
ASV_767	0	0	0	0	2	0
ASV_813	0	0	0	0	2	0
