OTU	Cervix	Vagina	Introitus	Stool	Anus	Ear
ASV_1	103759	73890	68119	19	62	4943
ASV_25	10	10	17	31462	235	691
ASV_79	13	7	42	57	21558	4183
ASV_7	250	96	370	18497	40	4342
ASV_5	71	48	8	16492	12	223
ASV_153	7	10	35	0	14192	3163
ASV_181	4	3	30	0	9649	5064
ASV_488	5	0	2	0	2097	510
ASV_90	0	0	4	226	1938	740
ASV_413	0	0	3	0	1666	392
ASV_56	21	33	111	6	312	1592
ASV_298	0	0	4	32	1590	654
ASV_27	13	35	96	0	138	1237
ASV_754	195	483	1178	0	0	0
ASV_4	50	4	22	0	625	1072
ASV_44	17	16	110	149	79	1034
ASV_674	0	0	0	0	887	118
ASV_562	0	0	4	0	818	257
ASV_284	0	0	0	0	777	40
ASV_306	0	0	10	0	48	718
ASV_250	0	0	0	0	681	47
ASV_161	0	0	0	637	53	0
ASV_71	13	0	18	0	216	601
ASV_1184	0	0	0	0	552	120
ASV_69	22	42	62	0	429	533
ASV_207	18	22	89	0	3	474
ASV_348	0	0	2	0	451	211
ASV_1133	0	0	2	0	450	43
ASV_97	0	5	4	0	393	79
ASV_773	0	0	6	0	390	84
ASV_1657	5	0	0	0	348	15
ASV_1475	2	0	0	0	333	116
ASV_1169	0	0	2	0	295	322
ASV_1068	0	0	2	0	291	104
ASV_651	0	0	0	0	273	170
ASV_219	0	0	5	0	247	116
ASV_1588	0	0	0	0	232	116
ASV_112	0	0	0	0	226	25
ASV_1673	0	0	0	0	208	81
ASV_821	0	0	0	0	188	84
ASV_57	0	0	0	182	0	11
ASV_1602	0	0	0	0	181	122
ASV_55	14	0	2	57	0	179
ASV_1852	0	0	3	0	169	104
ASV_364	0	3	11	0	159	63
ASV_1541	0	0	0	0	150	4
ASV_2949	0	0	0	0	146	40
ASV_387	0	2	145	0	53	101
ASV_598	0	0	0	0	132	0
ASV_1314	0	0	0	0	123	77
ASV_146	11	11	5	0	0	123
ASV_261	0	0	0	0	114	8
ASV_1318	0	0	0	0	109	24
ASV_1918	0	0	0	0	101	47
ASV_522	0	0	0	0	97	16
ASV_1960	0	0	0	0	84	30
ASV_128	0	0	0	0	0	83
ASV_534	0	0	0	0	83	38
ASV_1450	6	0	0	0	0	77
ASV_1047	0	0	0	0	72	65
ASV_1327	0	0	0	0	71	15
ASV_622	0	0	0	0	0	69
ASV_53	0	0	2	0	65	32
ASV_434	0	0	0	0	64	7
ASV_122	0	0	0	2	0	62
ASV_2254	0	0	0	0	0	61
ASV_767	0	0	2	0	0	60
ASV_813	0	0	0	0	0	60
ASV_511	0	0	0	0	50	58
ASV_659	0	0	0	0	0	56
ASV_1264	0	0	0	0	0	52
ASV_136	12	48	26	3	0	0
ASV_403	0	0	0	0	48	0
ASV_3900	0	0	0	0	47	9
ASV_614	0	0	0	47	0	35
ASV_2171	0	0	0	0	46	0
ASV_477	0	0	0	0	0	40
ASV_1820	0	0	0	0	37	6
ASV_1379	0	0	0	0	36	30
ASV_19	7	0	0	0	0	35
ASV_220	7	2	0	0	0	35
ASV_1098	0	0	0	0	34	0
ASV_1598	0	0	0	0	0	34
ASV_1011	0	0	3	0	22	33
ASV_1847	0	0	0	8	0	32
ASV_2268	0	0	0	0	32	7
ASV_307	0	0	0	0	16	31
ASV_897	0	0	0	0	29	0
ASV_1022	0	0	0	0	26	0
ASV_174	0	0	0	0	25	0
ASV_2275	0	0	0	0	25	0
ASV_826	2	0	0	0	0	25
ASV_3191	0	0	0	0	0	24
ASV_1381	0	0	0	0	0	21
ASV_610	0	0	0	0	4	21
ASV_650	0	0	0	0	20	0
ASV_1998	0	0	0	0	18	0
ASV_301	0	0	3	0	18	7
ASV_1208	0	0	0	0	17	0
ASV_1666	0	0	0	0	17	3
ASV_21	2	0	0	0	17	0
ASV_567	0	0	0	0	17	3
ASV_134	3	0	0	0	0	16
ASV_2363	0	0	0	0	16	0
ASV_976	13	0	0	0	0	16
ASV_1013	0	0	0	0	0	14
ASV_4479	0	0	0	0	14	0
ASV_1576	12	0	2	0	0	13
ASV_2488	0	0	0	0	0	13
ASV_2551	0	0	0	0	0	13
ASV_2842	0	0	0	0	0	13
ASV_338	3	0	0	0	0	13
ASV_3446	0	0	0	0	0	12
ASV_866	0	0	0	0	12	0
ASV_3487	0	0	0	0	0	11
ASV_4118	0	0	0	0	11	0
ASV_1245	0	0	0	0	0	9
ASV_1702	0	0	0	0	0	9
ASV_3507	0	0	0	0	0	9
ASV_438	3	0	0	9	0	4
ASV_928	0	0	0	0	2	8
ASV_99	0	0	0	0	2	8
ASV_1361	0	0	0	0	0	7
ASV_52	0	0	0	2	0	7
ASV_694	0	5	0	0	0	7
ASV_845	3	0	0	0	7	0
ASV_1968	0	0	0	0	6	0
ASV_378	0	0	0	0	0	6
ASV_415	0	0	0	0	0	6
ASV_1146	0	0	0	0	0	5
ASV_2022	0	0	0	0	5	0
ASV_417	5	0	0	0	0	0
ASV_139	0	4	0	0	0	0
ASV_152	4	0	0	0	0	0
ASV_1534	0	0	0	0	4	0
ASV_1684	0	0	0	0	0	4
ASV_215	4	0	0	0	0	0
ASV_738	0	0	0	0	0	4
ASV_774	0	0	0	0	4	0
ASV_1661	2	0	0	0	0	3
ASV_210	0	0	0	0	3	0
ASV_2339	3	0	0	0	0	0
ASV_2425	0	0	0	0	2	3
ASV_2494	3	0	0	0	0	0
ASV_2520	0	0	0	0	0	3
ASV_2607	0	0	0	0	0	3
ASV_445	3	0	0	0	0	0
ASV_1391	0	2	0	0	0	0
ASV_1419	0	0	0	2	0	0
ASV_218	2	0	0	0	0	0
ASV_2458	2	0	0	0	0	0
ASV_2485	0	0	0	0	0	2
ASV_2801	0	0	0	0	0	2
ASV_3032	0	0	0	2	0	0
ASV_901	0	0	0	0	0	2
