OTU	Vagina	Introitus	Cervix	Stool	Anus	Ear
ASV_1	87693.5	82620	79786	10	140	7
ASV_4	23	6	30	47146	715	50
ASV_152	0	0	0	15928	105	0
ASV_79	0	0	2	351	9088	2
ASV_181	0	0	2	0	8334	0
ASV_56	4	131	5	0	3981	2
ASV_27	5	296	9	0	3646	0
ASV_284	0	0	0	0	3203	0
ASV_69	4.5	208	20	0	2527	2
ASV_567	0	0	0	0	2396	0
ASV_153	0	0	0	0	2200	0
ASV_90	0	13	0	0	1838	0
ASV_348	0	0	0	0	1826	0
ASV_674	0	0	0	0	1662	0
ASV_161	0	0	0	0	1539	0
ASV_773	0	0	0	0	1086	0
ASV_364	0	108	14	0	937	0
ASV_1133	0	0	0	0	864	0
ASV_71	18.5	848	15	0	335	0
ASV_488	0	0	0	0	833	0
ASV_866	0	0	0	0	708	0
ASV_174	0	0	0	0	704	0
ASV_445	0	0	0	0	659	0
ASV_99	0	0	0	0	619	0
ASV_298	0	0	0	0	534	0
ASV_821	0	0	0	0	498	0
ASV_534	0	0	0	0	475	0
ASV_598	0	0	0	0	445	0
ASV_7	6.5	191	73	4	442	53
ASV_1184	0	0	0	0	430	0
ASV_97	0	2	3	0	367	0
ASV_1068	0	0	0	0	304	0
ASV_403	0	0	0	0	267	0
ASV_651	0	0	0	0	255	0
ASV_219	3.5	31	3	0	246	0
ASV_511	0	0	0	0	244	0
ASV_1318	0	0	0	0	241	0
ASV_250	0	2	0	0	213	0
ASV_25	0	8	2	4	195	0
ASV_2171	0	0	0	0	172	0
ASV_1069	0	0	0	0	170	0
ASV_562	0	0	0	0	160	0
ASV_1379	0	0	0	0	142	0
ASV_44	0	6	2	0	142	4
ASV_1169	0	0	0	0	118	0
ASV_897	0	0	0	0	117	0
ASV_1022	0	0	0	0	114	0
ASV_1300	0	0	0	0	111	0
ASV_767	6	107	41	0	0	0
ASV_1475	0	0	0	0	100	0
ASV_5	20.5	85	16	86	9	13
ASV_1314	0	0	0	0	85	0
ASV_1208	0	0	0	0	80	0
ASV_1047	0	0	0	0	78	0
ASV_261	0	0	0	0	77	0
ASV_1820	0	0	0	0	68	0
ASV_774	0	12	4	0	68	0
ASV_307	0	2	0	0	66	0
ASV_1031	0	0	0	0	64	0
ASV_19	4	58	3	0	34	0
ASV_1011	0	0	0	0	53	0
ASV_3237	0	0	0	0	49	0
ASV_1673	0	0	0	0	45	0
ASV_207	0	2	0	0	43	0
ASV_136	0	0	0	0	42	0
ASV_4215	0	0	0	0	40	0
ASV_1293	0	0	0	0	31	0
ASV_610	2.5	31	0	0	21	0
ASV_1657	0	0	0	0	28	0
ASV_2339	0	0	0	0	28	0
ASV_3266	0	0	0	0	28	0
ASV_1918	0	0	0	0	27	0
ASV_53	0	0	0	0	27	0
ASV_21	2	25	0	0	26	0
ASV_1327	0	0	0	0	23	0
ASV_522	0	0	0	0	18	0
ASV_813	0	2	0	0	18	0
ASV_585	2	16	0	0	0	0
ASV_218	0	9	0	0	14	0
ASV_4118	0	0	0	0	14	0
ASV_650	2	14	2	0	4	0
ASV_1098	0	0	0	0	13	0
ASV_210	0	0	0	0	13	0
ASV_306	0	0	0	0	13	0
ASV_146	2	10	12	0	0	0
ASV_434	0	0	0	0	12	0
ASV_1541	0	0	0	0	11	0
ASV_1998	0	0	0	0	8	0
ASV_301	0	0	0	0	8	0
ASV_3337	0	0	0	0	8	0
ASV_1322	0	7	0	0	0	0
ASV_134	0	7	0	0	2	0
ASV_387	0	7	3	0	3	0
ASV_4414	0	0	0	0	7	0
ASV_901	0	7	0	0	0	0
ASV_976	0	7	0	0	0	0
ASV_1289	0	6	0	0	0	0
ASV_1960	0	6	0	0	0	0
ASV_4360	0	0	0	0	6	0
ASV_1052	0	5	0	0	0	0
ASV_139	0	5	0	0	0	0
ASV_1576	0	3	5	0	0	0
ASV_2363	0	0	0	0	5	0
ASV_4013	0	0	0	0	5	0
ASV_747	0	0	0	0	5	0
ASV_2776	0	4	0	0	0	0
ASV_4629	0	0	0	0	4	0
ASV_57	0	0	0	0	4	0
ASV_2090	0	0	0	0	3	0
ASV_338	0	3	0	0	0	0
ASV_1004	0	2	2	0	0	0
ASV_1381	0	2	0	0	0	0
ASV_1427	0	0	0	0	2	0
ASV_1509	0	0	0	0	2	0
ASV_2175	0	2	0	0	0	0
ASV_220	0	0	0	0	2	0
ASV_3900	0	0	0	0	2	0
ASV_4991	0	0	0	0	2	0
ASV_55	0	0	2	0	0	0
ASV_614	0	0	0	0	2	0
ASV_622	0	0	2	0	2	0
ASV_721	0	0	0	0	2	0
