OTU	Anus	Cervix	Ear	Introitus	Vagina
ASV_4	74111	6	689	0	147
ASV_1	253	43954	211	33541	30721
ASV_7	3712	0	38459	229	371
ASV_19	13	28618	38	26957	28072
ASV_136	0	0	4989	0	0
ASV_438	0	0	3269	0	0
ASV_25	116	0	2740	10	3
ASV_44	2536	0	1235	0	0
ASV_27	2442	0	330	7	19
ASV_56	1759	0	315	4	0
ASV_69	1301	0	236	0	6
ASV_928	0	0	1221	0	0
ASV_57	0	0	920	0	0
ASV_134	0	0	609	0	0
ASV_207	0	0	575	0	0
ASV_55	0	0	542	0	0
ASV_71	434	2	61	0	133
ASV_415	0	0	405	0	0
ASV_1146	0	0	323	0	0
ASV_306	276	0	289	0	0
ASV_659	18	0	214	0	0
ASV_364	212	0	7	0	0
ASV_338	0	0	197	0	0
ASV_519	3	0	175	0	0
ASV_614	0	0	169	0	0
ASV_181	160	0	8	0	0
ASV_250	67	0	153	0	0
ASV_128	0	0	141	0	0
ASV_378	0	0	132	0	0
ASV_5	132	4	115	9	6
ASV_1450	0	0	127	0	0
ASV_1925	0	0	124	0	0
ASV_1264	0	0	113	0	0
ASV_622	0	0	111	0	0
ASV_284	109	0	0	0	0
ASV_3344	0	0	103	0	0
ASV_219	95	0	3	0	2
ASV_534	12	0	90	0	0
ASV_694	0	0	83	0	0
ASV_153	77	0	36	0	0
ASV_387	0	0	74	0	0
ASV_79	50	0	74	0	0
ASV_90	32	0	73	0	0
ASV_984	2	0	72	0	0
ASV_562	12	0	70	0	0
ASV_813	68	0	0	0	0
ASV_122	0	0	66	0	0
ASV_215	0	0	66	0	0
ASV_1427	0	0	65	0	0
ASV_1944	0	0	62	0	0
ASV_1138	0	0	61	0	0
ASV_2175	0	0	58	0	0
ASV_21	0	0	55	0	0
ASV_1381	0	0	53	0	0
ASV_826	0	2	52	0	0
ASV_53	0	0	51	0	0
ASV_1694	0	0	49	0	0
ASV_2769	0	0	47	0	0
ASV_97	44	0	14	0	0
ASV_2204	0	0	43	0	0
ASV_2895	0	0	43	0	0
ASV_567	0	0	43	0	0
ASV_1419	0	0	42	0	0
ASV_348	13	0	40	0	0
ASV_650	30	0	40	0	0
ASV_610	26	0	39	0	0
ASV_2090	0	0	38	0	0
ASV_1805	0	0	37	0	0
ASV_445	37	0	2	0	0
ASV_3487	0	0	36	0	0
ASV_261	0	0	33	0	0
ASV_488	4	0	32	0	0
ASV_4037	0	0	29	0	0
ASV_1245	0	0	27	0	0
ASV_47	0	0	26	0	0
ASV_1289	0	0	25	0	0
ASV_161	22	0	0	0	0
ASV_477	0	0	19	0	0
ASV_2551	0	0	18	0	0
ASV_2376	0	0	17	0	0
ASV_674	17	0	2	0	0
ASV_511	16	0	2	0	0
ASV_220	0	0	15	0	0
ASV_976	0	0	13	0	0
ASV_2166	0	0	12	0	0
ASV_307	10	0	3	0	0
ASV_3096	0	0	10	0	0
ASV_403	10	0	0	0	0
ASV_413	0	0	10	0	0
ASV_298	7	0	9	0	0
ASV_401	9	0	0	0	0
ASV_1011	8	0	0	0	0
ASV_1022	7	0	0	0	0
ASV_1300	7	0	3	0	0
ASV_1361	0	0	7	0	0
ASV_2070	0	0	7	0	0
ASV_2485	0	0	7	0	0
ASV_2597	0	0	7	0	0
ASV_3278	7	0	0	0	0
ASV_821	7	0	0	0	0
ASV_1098	6	0	3	0	0
ASV_1820	6	0	0	0	0
ASV_218	6	0	0	0	0
ASV_1133	5	0	0	0	0
ASV_146	0	0	5	0	0
ASV_1564	0	0	5	0	0
ASV_1031	4	0	0	0	0
ASV_112	0	0	4	0	0
ASV_52	0	0	4	0	0
ASV_54	0	0	4	0	4
ASV_99	0	0	4	0	0
ASV_1208	3	0	0	0	0
ASV_1314	3	0	0	0	0
ASV_1509	3	0	0	0	0
ASV_152	0	0	3	0	0
ASV_1576	0	0	3	0	0
ASV_1960	3	0	0	0	0
ASV_598	3	0	3	0	0
ASV_866	3	0	0	0	0
ASV_1068	0	0	2	0	0
ASV_1318	2	0	0	0	0
ASV_1327	2	0	0	0	0
ASV_1475	2	0	0	0	0
ASV_1602	0	0	2	0	0
ASV_1657	2	0	0	0	0
ASV_174	2	0	0	0	0
ASV_3266	2	0	0	0	0
ASV_721	0	0	2	0	0
ASV_774	0	0	2	0	0
