OTU	Vagina	Cervix	Stool	Introitus	Anus	Ear
ASV_1	103646	93615	344	56069	2054	1664
ASV_7	198	2	59314	4477	27405	3774
ASV_4	148	10	17	3847	27594	3257
ASV_27	5	0	12	119	1304	14384
ASV_56	5	0	0	149	2356	7966
ASV_5	27	8	39	1614	6813	437
ASV_69	5	0	11	157	1640	6090
ASV_378	0	0	0	0	0	3787
ASV_44	9	0	19	139	3061	3570
ASV_55	0	0	0	0	0	3039
ASV_301	0	0	0	3	68	2926
ASV_97	5	0	28	159	841	1867
ASV_25	2	0	46	124	1259	463
ASV_112	2	0	19	39	880	0
ASV_610	0	0	0	5	96	862
ASV_984	0	0	0	0	0	828
ASV_364	0	0	0	17	347	810
ASV_146	0	0	0	2	0	697
ASV_415	0	0	682	0	0	0
ASV_306	0	0	0	6	89	665
ASV_219	2	0	0	42	660	226
ASV_1805	0	0	0	0	0	657
ASV_57	0	0	0	0	0	655
ASV_1264	0	0	0	0	0	640
ASV_21	0	0	59	4	6	571
ASV_134	0	0	0	0	41	565
ASV_1450	0	0	0	0	0	512
ASV_511	0	0	0	2	36	499
ASV_1011	0	0	0	3	44	498
ASV_122	0	0	0	0	0	460
ASV_813	0	0	0	0	21	357
ASV_976	0	0	4	0	0	354
ASV_181	0	0	0	0	38	329
ASV_153	0	0	11	2	46	327
ASV_622	0	0	0	0	0	313
ASV_897	0	0	0	13	292	0
ASV_659	0	0	2	0	3	274
ASV_2022	0	0	0	0	3	243
ASV_261	0	0	0	8	94	237
ASV_1391	0	0	0	0	0	222
ASV_1322	0	0	0	0	0	210
ASV_1146	0	0	0	0	0	193
ASV_71	0	0	19	11	189	13
ASV_1133	0	0	0	2	17	169
ASV_161	0	0	0	0	12	165
ASV_250	2	0	0	17	162	27
ASV_614	0	0	10	0	2	150
ASV_1169	0	0	0	0	4	148
ASV_19	0	0	39	0	0	148
ASV_90	0	0	21	16	146	133
ASV_348	0	0	0	0	25	128
ASV_1098	0	0	0	10	126	0
ASV_1381	0	0	0	0	0	121
ASV_215	0	0	7	0	0	118
ASV_1944	0	0	0	0	0	117
ASV_53	0	0	0	0	0	108
ASV_598	0	0	12	0	50	94
ASV_2090	0	0	0	0	0	93
ASV_79	0	0	0	8	90	36
ASV_2166	0	0	0	0	0	75
ASV_1694	0	0	0	0	0	67
ASV_2769	0	0	0	0	0	65
ASV_128	0	0	0	2	64	36
ASV_488	0	0	0	0	4	58
ASV_1427	0	0	0	0	0	53
ASV_220	0	0	0	0	0	52
ASV_2499	0	0	0	0	0	50
ASV_650	0	0	7	7	50	0
ASV_567	0	0	0	0	45	0
ASV_1372	0	0	0	0	44	0
ASV_1004	0	0	41	0	0	0
ASV_218	0	0	0	2	39	0
ASV_519	0	0	0	0	38	0
ASV_445	0	0	0	2	36	0
ASV_136	0	0	0	0	0	33
ASV_1419	0	0	0	0	0	31
ASV_1657	0	0	0	0	31	0
ASV_2254	0	0	0	0	0	30
ASV_2597	0	0	0	0	0	27
ASV_338	0	0	0	0	0	26
ASV_413	0	0	0	0	25	0
ASV_434	0	0	0	5	25	0
ASV_1702	0	0	0	0	23	0
ASV_845	0	0	0	0	23	0
ASV_1610	0	0	4	0	21	0
ASV_284	0	0	0	0	15	21
ASV_1031	0	0	0	0	19	0
ASV_1184	0	0	0	0	17	0
ASV_534	0	0	0	0	17	0
ASV_152	0	0	0	0	7	16
ASV_3507	0	0	0	0	0	15
ASV_540	0	0	0	0	0	15
ASV_821	0	0	0	0	15	0
ASV_2895	0	0	0	0	0	14
ASV_774	0	0	0	0	13	0
ASV_417	0	0	10	0	0	0
ASV_307	0	0	2	0	9	0
ASV_674	0	0	0	0	9	0
ASV_721	0	0	0	0	9	0
ASV_1968	0	0	0	0	8	0
ASV_3237	0	0	0	0	8	0
ASV_2342	0	0	0	0	6	0
ASV_928	0	0	6	0	0	0
ASV_1475	0	0	0	0	5	0
ASV_2171	0	0	0	0	4	0
ASV_54	4	0	0	0	0	0
ASV_1379	0	0	0	0	3	0
ASV_1602	0	0	0	0	3	0
ASV_1820	0	0	0	0	3	0
ASV_1832	0	0	0	0	3	0
ASV_2494	0	0	3	0	0	0
ASV_2549	0	0	0	0	3	0
ASV_47	0	0	0	0	0	3
ASV_651	0	0	0	0	3	0
ASV_866	0	0	0	0	3	0
ASV_1022	0	0	0	0	2	0
ASV_1068	0	0	0	0	2	0
ASV_1318	0	0	0	0	2	0
ASV_1327	0	0	0	0	2	0
ASV_174	0	0	0	0	2	0
ASV_3096	0	0	2	0	0	0
ASV_4037	0	0	0	0	0	2
ASV_477	0	0	2	0	0	2
