OTU	Cervix	Vagina	Anus	Stool	Introitus	Ear
ASV_1	94341	64326	190	8	18420	25921
ASV_120	0	0	58497	0	964	0
ASV_5	9	210	5933	57020	3263	1260
ASV_4	2	14793	16003	5	46659	7984
ASV_136	0	0	0	6451	0	0
ASV_7	11	69	681	1845	154	4153
ASV_25	0	17	1452	2366	486	1544
ASV_694	0	0	0	0	0	2069
ASV_976	0	0	0	0	0	1991
ASV_146	0	0	0	0	0	1330
ASV_19	0	0	0	0	0	1217
ASV_1847	0	0	0	0	0	979
ASV_134	0	0	0	0	0	910
ASV_97	0	0	12	0	0	808
ASV_21	0	0	0	0	0	803
ASV_1138	0	0	0	0	0	718
ASV_55	0	0	0	0	0	696
ASV_79	0	0	19	0	0	696
ASV_56	0	0	26	0	3	647
ASV_1598	0	0	0	0	0	630
ASV_71	0	0	2	0	2	529
ASV_250	0	0	9	0	0	513
ASV_57	0	0	0	489	0	10
ASV_44	0	0	24	0	2	314
ASV_69	3	2	37	0	0	306
ASV_445	0	0	0	0	0	298
ASV_534	0	0	5	0	0	284
ASV_139	0	0	266	0	0	0
ASV_477	0	0	0	0	0	264
ASV_378	0	0	0	0	0	240
ASV_338	0	0	0	0	0	235
ASV_99	202	221	0	2	230	0
ASV_54	0	0	10	0	0	211
ASV_128	0	0	0	0	0	207
ASV_519	0	0	0	0	0	203
ASV_53	0	0	0	0	0	200
ASV_826	0	0	0	0	0	160
ASV_1694	0	0	0	0	0	157
ASV_153	0	0	2	0	0	147
ASV_984	0	0	0	0	0	141
ASV_1289	0	0	0	0	0	117
ASV_220	0	0	0	0	0	115
ASV_1576	0	0	0	0	0	100
ASV_1419	0	0	0	0	0	91
ASV_2801	0	0	0	0	0	89
ASV_364	0	0	13	0	0	89
ASV_122	0	0	0	0	0	88
ASV_306	0	0	0	0	0	82
ASV_1509	0	0	80	0	7	5
ASV_659	0	0	0	0	0	76
ASV_1661	0	0	0	0	0	72
ASV_1450	0	0	0	0	0	70
ASV_1052	0	0	0	0	0	62
ASV_622	0	0	0	0	0	54
ASV_1832	0	0	0	0	0	43
ASV_969	0	0	0	0	0	43
ASV_2520	0	0	0	0	0	37
ASV_1617	0	0	0	0	0	35
ASV_27	0	0	34	0	6	14
ASV_2769	0	0	0	0	0	33
ASV_614	0	0	0	0	0	33
ASV_1361	0	0	0	0	0	25
ASV_47	0	0	19	0	0	0
ASV_219	0	0	18	0	0	0
ASV_1013	0	0	0	0	0	16
ASV_2842	0	0	0	0	0	14
ASV_181	0	0	2	0	0	13
ASV_724	0	0	0	0	0	12
ASV_1264	0	0	0	0	0	8
ASV_738	0	0	0	0	0	8
ASV_90	0	0	7	0	0	3
ASV_1427	0	0	0	0	0	6
ASV_2090	0	0	0	0	0	6
ASV_2204	0	0	0	0	0	6
ASV_2551	0	0	0	0	0	6
ASV_301	0	0	6	0	0	0
ASV_3507	0	0	0	0	0	6
ASV_813	0	0	6	0	0	0
ASV_1004	0	0	0	5	0	0
ASV_207	0	0	5	0	0	0
ASV_2488	0	0	5	0	0	0
ASV_284	0	0	5	0	0	5
ASV_610	0	0	5	0	0	0
ASV_112	0	0	4	0	0	0
ASV_1245	0	0	0	0	0	4
ASV_511	0	0	3	0	0	0
ASV_650	3	0	0	0	0	0
ASV_774	0	0	3	0	0	0
ASV_1169	0	0	2	0	0	0
ASV_152	0	0	2	0	0	0
ASV_2171	0	0	2	0	0	0
