OTU	Introitus	Cervix	Vagina	Stool	Ear
ASV_1	96248	95346	94611	13	6269
ASV_90	0	0	0	28718	1103
ASV_7	56	0	82	22617	5079
ASV_4	88	0	32	22	7822
ASV_44	3	0	0	0	4681
ASV_5	4	2	24	2605	667
ASV_71	3	0	12	0	1230
ASV_25	0	0	7	1201	229
ASV_181	0	0	0	0	1061
ASV_378	0	0	0	0	854
ASV_79	0	0	0	0	841
ASV_69	0	0	2	0	581
ASV_56	5	0	0	0	572
ASV_674	0	0	0	0	540
ASV_984	0	0	0	0	496
ASV_53	0	0	0	0	478
ASV_27	2	0	0	0	469
ASV_161	0	0	0	0	407
ASV_1427	0	0	0	0	392
ASV_134	0	0	2	0	391
ASV_128	0	0	0	0	306
ASV_598	0	0	0	0	300
ASV_651	0	0	0	0	299
ASV_57	0	0	0	0	288
ASV_153	0	0	0	0	270
ASV_55	0	0	0	0	259
ASV_219	0	0	0	0	244
ASV_1576	0	0	0	0	235
ASV_250	0	0	0	0	217
ASV_567	0	0	0	0	215
ASV_721	0	0	0	0	194
ASV_284	0	0	0	0	193
ASV_19	0	0	0	0	184
ASV_120	0	0	0	0	160
ASV_306	0	0	0	0	118
ASV_445	0	0	0	0	118
ASV_338	0	0	0	0	103
ASV_477	0	0	0	0	90
ASV_1391	0	0	0	0	88
ASV_488	0	0	0	0	82
ASV_152	0	0	0	0	73
ASV_826	0	0	0	0	68
ASV_747	0	0	0	0	65
ASV_54	0	0	0	0	61
ASV_614	0	0	0	3	61
ASV_97	0	0	0	0	58
ASV_3191	0	0	0	0	57
ASV_1264	0	0	0	0	56
ASV_1661	0	0	0	0	50
ASV_2090	0	0	0	0	46
ASV_659	0	0	0	0	39
ASV_773	0	0	0	0	37
ASV_534	0	0	0	0	32
ASV_2166	0	0	0	0	28
ASV_4997	0	0	0	0	26
ASV_1011	0	0	0	0	24
ASV_1450	2	0	0	0	22
ASV_2551	0	0	0	0	20
ASV_52	0	0	0	0	20
ASV_1361	0	0	0	0	18
ASV_1805	0	0	0	0	17
ASV_136	0	0	0	14	0
ASV_622	0	0	0	0	13
ASV_976	0	0	0	0	9
ASV_1702	0	0	0	0	7
ASV_2339	0	0	0	0	6
ASV_348	0	0	0	0	5
ASV_146	0	0	0	0	4
ASV_207	2	0	0	0	3
ASV_364	0	0	3	0	0
ASV_139	2	0	0	0	0
ASV_2632	0	0	0	2	0
ASV_650	0	0	2	0	0
ASV_866	0	0	0	0	2
