OTU	Anus	Introitus	Vagina	Cervix	Stool
ASV_7	100822	12	3	10	19142
ASV_1	92	96261	74197	67687	7
ASV_207	0	0	0	0	24591
ASV_136	0	2	0	0	11211
ASV_25	61	0	0	0	173
ASV_57	4	0	0	0	134
ASV_146	83	0	3	0	0
ASV_4	69	0	6	16	6
ASV_5	34	10	4	35	45
ASV_1684	35	0	0	0	0
ASV_2494	33	0	0	0	0
ASV_69	3	31	2	2	0
ASV_71	2	24	2	0	0
ASV_928	0	0	0	0	24
ASV_27	0	18	0	0	0
ASV_128	16	0	0	0	0
ASV_56	0	13	0	0	0
ASV_215	11	0	0	0	0
ASV_55	11	0	0	0	0
ASV_378	9	0	0	0	0
ASV_438	5	0	0	0	9
ASV_79	6	0	0	0	0
ASV_976	6	0	0	0	0
ASV_1004	3	0	0	0	5
ASV_1208	5	0	0	0	0
ASV_1617	5	0	0	0	0
ASV_19	2	5	0	0	0
ASV_2498	0	5	5	5	0
ASV_250	0	5	0	0	0
ASV_338	5	0	0	0	0
ASV_2485	4	0	0	0	0
ASV_2551	4	0	0	0	0
ASV_364	0	4	0	0	0
ASV_519	0	4	0	0	0
ASV_53	4	0	0	0	0
ASV_694	4	0	0	0	0
ASV_134	3	0	0	0	0
ASV_210	3	0	0	0	0
ASV_220	3	0	0	0	0
ASV_2607	3	0	0	0	0
ASV_44	3	0	0	0	0
ASV_4623	3	0	0	0	0
ASV_813	0	3	0	0	0
ASV_90	3	0	0	0	0
ASV_1576	0	0	2	0	0
ASV_161	2	0	0	0	0
ASV_181	2	0	0	0	0
ASV_21	0	2	0	0	0
ASV_219	0	2	0	0	0
ASV_348	0	0	0	2	0
ASV_415	0	0	0	0	2
ASV_477	2	0	0	0	0
ASV_614	2	0	0	0	0
