OTU	Cervix	Introitus	Ear	Vagina	Anus	Stool
ASV_1	105207	30939	26	56871	335	18
ASV_4	230	86515	83663	49906	40380	25906
ASV_5	12	5525	1721	998	37148	2549
ASV_90	0	0	0	0	5	20504
ASV_25	0	605	860	9	3	4099
ASV_207	0	4	0	7	30	3281
ASV_7	11	239	1351	47	486	1280
ASV_79	0	0	0	0	0	758
ASV_724	0	0	0	0	0	370
ASV_415	0	0	3	0	0	117
ASV_56	0	8	3	5	104	0
ASV_27	0	0	3	0	82	0
ASV_69	0	0	2	0	46	0
ASV_57	0	0	0	0	2	32
ASV_364	0	2	0	0	17	0
ASV_44	0	5	17	2	7	0
ASV_219	0	0	0	0	8	0
ASV_813	0	0	0	0	8	0
ASV_21	0	7	0	5	0	0
ASV_122	0	0	0	0	6	0
ASV_284	0	0	0	0	5	0
ASV_610	0	2	0	0	5	0
ASV_2632	0	0	0	0	4	0
ASV_567	0	0	0	0	4	0
ASV_71	0	2	0	0	4	0
ASV_120	0	0	3	0	0	0
ASV_181	0	0	2	0	3	0
ASV_250	0	0	0	0	3	0
ASV_55	0	0	0	0	3	0
ASV_112	0	2	0	0	0	0
ASV_19	0	2	0	0	0	0
