OTU	Vagina	Cervix	Introitus	Ear	Anus
ASV_1	92063	90765	85793	22	524
ASV_5	451	0	22	80259	13232
ASV_4	22	0	12	18	55009
ASV_7	494	2	531	537	2048
ASV_44	0	0	0	35	218
ASV_181	0	0	0	0	116
ASV_128	0	0	0	21	60
ASV_27	0	0	0	0	40
ASV_153	0	0	0	0	37
ASV_90	0	0	0	0	33
ASV_445	0	0	0	0	30
ASV_567	0	0	0	0	21
ASV_378	0	0	0	18	0
ASV_69	0	0	0	0	18
ASV_1068	0	0	0	0	16
ASV_298	0	0	0	0	16
ASV_651	0	0	0	0	16
ASV_284	0	0	0	0	15
ASV_674	0	0	0	0	15
ASV_969	0	0	0	0	15
ASV_134	0	0	0	14	0
ASV_364	0	0	0	0	14
ASV_25	0	0	0	2	13
ASV_56	0	0	0	0	13
ASV_610	0	0	0	0	11
ASV_659	0	0	0	0	11
ASV_348	0	0	0	0	10
ASV_139	0	0	9	0	0
ASV_71	0	5	0	0	9
ASV_219	0	0	0	0	7
ASV_112	0	0	0	0	6
ASV_1509	0	0	0	0	6
ASV_1069	0	0	0	0	5
ASV_1169	0	0	0	0	5
ASV_161	0	0	0	0	5
ASV_562	0	0	0	0	5
ASV_97	0	0	0	3	5
ASV_1184	0	0	0	0	4
ASV_1314	0	0	0	0	4
ASV_174	0	0	0	0	4
ASV_261	0	0	0	0	4
ASV_534	0	0	0	0	4
ASV_598	0	0	0	0	4
ASV_79	0	0	2	4	3
ASV_821	0	0	0	0	4
ASV_2632	0	0	0	3	3
ASV_307	0	0	0	0	3
ASV_773	0	0	0	0	3
ASV_866	0	0	0	0	3
ASV_99	0	0	0	0	3
ASV_1047	0	0	0	2	0
ASV_1146	0	0	0	0	2
ASV_1293	0	0	0	0	2
ASV_1336	0	0	0	0	2
ASV_146	0	0	2	2	0
ASV_152	0	0	0	0	2
ASV_19	2	0	0	0	0
ASV_1925	0	0	0	0	2
ASV_2171	0	0	0	2	0
ASV_218	0	2	0	0	0
ASV_220	0	0	0	2	0
ASV_2801	2	0	0	0	0
ASV_55	0	0	0	2	0
ASV_622	0	0	0	2	0
ASV_747	0	0	0	2	0
