OTU	Vagina	Cervix	Introitus	Stool	Ear	Anus
ASV_1	104380	103064	98399	25	10104	2
ASV_4	13	0	26	30762	2353	25
ASV_79	0	0	0	17139	3622	0
ASV_134	0	0	0	0	12103	0
ASV_152	0	0	0	6511	236	0
ASV_90	0	0	0	4660	1737	0
ASV_99	0	0	0	71	2840	0
ASV_7	2585	56	1722	22	814	24
ASV_747	0	0	0	0	2424	0
ASV_567	0	0	0	0	2172	0
ASV_181	0	0	0	0	2147	0
ASV_598	0	0	0	0	1777	0
ASV_153	0	0	0	0	1358	0
ASV_161	0	0	0	0	1275	0
ASV_218	532	34	1233	0	123	0
ASV_445	0	0	0	0	1095	0
ASV_721	0	0	0	0	1036	0
ASV_866	0	0	0	0	950	0
ASV_174	0	0	0	248	806	0
ASV_562	0	0	0	0	787	0
ASV_1293	0	0	0	0	772	0
ASV_378	0	0	0	0	729	0
ASV_1208	0	0	0	0	638	0
ASV_488	0	0	0	0	565	0
ASV_284	0	0	0	0	547	0
ASV_403	0	0	0	0	544	0
ASV_25	9	0	21	77	521	0
ASV_307	0	0	0	0	461	0
ASV_387	0	0	0	0	448	0
ASV_71	12	0	26	0	347	3
ASV_56	18	0	46	0	328	0
ASV_413	0	0	0	0	314	0
ASV_364	2	0	9	0	307	2
ASV_774	0	0	0	0	286	0
ASV_69	8	2	13	0	280	0
ASV_21	0	0	28	0	259	0
ASV_1534	0	0	0	0	251	0
ASV_1031	0	0	0	0	245	0
ASV_534	0	0	0	0	237	0
ASV_773	0	0	0	0	204	0
ASV_1022	0	0	0	7	201	0
ASV_210	0	0	0	0	199	0
ASV_1541	0	0	0	0	188	0
ASV_651	0	0	0	0	178	0
ASV_659	28	2	13	0	170	0
ASV_738	3	0	11	0	160	0
ASV_54	0	0	0	0	155	0
ASV_53	0	0	0	0	153	0
ASV_1852	0	0	0	0	151	0
ASV_1002	0	0	0	0	149	0
ASV_984	2	0	0	0	147	0
ASV_1047	0	0	0	0	122	0
ASV_55	0	0	2	0	117	0
ASV_1146	0	0	0	0	115	0
ASV_1184	0	0	0	0	111	0
ASV_27	14	0	17	0	107	4
ASV_44	77	2	85	0	101	0
ASV_622	0	0	0	0	98	0
ASV_1372	0	0	0	0	93	0
ASV_1264	0	0	0	0	90	0
ASV_19	12	9	86	0	23	0
ASV_306	0	0	0	0	86	0
ASV_821	0	0	0	0	84	0
ASV_2171	0	0	0	0	81	0
ASV_348	2	0	0	0	77	0
ASV_1925	0	0	0	0	75	0
ASV_1011	0	0	0	0	74	0
ASV_1133	0	0	0	0	72	0
ASV_57	0	0	0	0	72	0
ASV_112	0	0	0	0	71	0
ASV_1450	0	0	0	0	70	0
ASV_2100	0	0	0	0	70	0
ASV_1475	0	0	0	0	69	0
ASV_1968	0	0	0	0	62	0
ASV_146	3	0	0	0	61	0
ASV_1138	0	0	0	0	59	0
ASV_298	0	0	0	0	59	0
ASV_128	0	0	0	0	58	0
ASV_1068	0	0	0	0	57	0
ASV_1673	0	0	0	0	57	0
ASV_976	0	0	0	0	55	0
ASV_417	0	0	54	0	0	0
ASV_1419	0	0	0	0	52	0
ASV_1427	0	0	0	0	51	0
ASV_1602	0	0	0	0	51	0
ASV_585	30	14	51	0	3	0
ASV_1169	0	0	0	0	50	0
ASV_5	9	0	7	50	6	13
ASV_219	0	0	0	0	46	0
ASV_614	0	0	0	0	46	0
ASV_2090	0	0	0	0	45	0
ASV_1610	0	0	0	0	43	0
ASV_122	0	0	0	0	42	0
ASV_1805	0	0	0	0	41	0
ASV_2520	0	0	0	0	41	0
ASV_220	5	0	0	0	40	0
ASV_97	0	0	0	0	40	0
ASV_3278	0	0	0	0	39	0
ASV_301	0	0	3	0	35	0
ASV_1069	0	0	0	0	34	0
ASV_2549	0	0	0	0	34	0
ASV_3237	0	0	0	0	34	0
ASV_52	0	0	0	0	34	0
ASV_511	0	0	0	0	33	0
ASV_522	0	0	0	0	33	0
ASV_969	0	0	0	0	32	0
ASV_261	0	0	0	0	30	0
ASV_1391	0	0	0	0	29	0
ASV_1361	0	0	0	0	28	0
ASV_2499	0	0	0	0	22	0
ASV_1657	0	0	0	0	21	0
ASV_136	0	0	0	0	20	0
ASV_4991	0	0	0	0	20	0
ASV_1847	0	0	0	0	15	0
ASV_2895	0	0	0	0	14	0
ASV_1013	0	0	0	0	13	0
ASV_1684	0	0	0	0	13	0
ASV_4997	0	0	0	0	13	0
ASV_215	4	2	12	0	0	0
ASV_438	0	0	0	4	12	0
ASV_207	0	0	0	0	11	0
ASV_1289	0	0	0	0	10	0
ASV_1832	0	0	0	0	10	0
ASV_2166	0	0	0	0	10	0
ASV_2551	0	0	0	0	10	0
ASV_1509	0	0	0	0	9	0
ASV_806	0	0	3	0	9	0
ASV_610	8	0	6	0	2	0
ASV_2070	0	0	0	0	6	0
ASV_338	0	0	0	0	6	0
ASV_3487	0	0	0	0	6	0
ASV_1322	2	0	0	0	4	0
ASV_1694	0	0	0	0	4	0
ASV_928	0	0	0	0	4	0
ASV_1576	2	0	3	0	0	0
ASV_2485	0	0	0	0	3	0
ASV_1318	0	0	0	0	2	0
ASV_1381	2	0	2	0	0	0
ASV_415	0	0	0	2	0	0
ASV_674	0	0	0	0	2	0
