OTU	Cervix	Vagina	Introitus	Anus	Stool	Ear
ASV_1	78208	72463	69563	347	23	1070
ASV_7	11	641	5065	67655	6	4587
ASV_47	0	0	0	0	53050	0
ASV_5	12	202	13199	5430	296	9
ASV_181	0	0	2	44	0	9655
ASV_4	21	9	5	5823	9	137
ASV_348	0	0	0	0	0	2710
ASV_44	0	4	52	2041	0	68
ASV_567	0	0	0	4	0	2029
ASV_153	0	0	2	9	0	1902
ASV_298	0	0	0	5	0	1651
ASV_90	0	0	0	3	0	1404
ASV_79	0	0	0	16	231	1347
ASV_56	0	0	30	1259	0	54
ASV_969	0	0	0	0	0	1088
ASV_445	0	0	0	28	0	1027
ASV_651	0	0	0	0	0	905
ASV_174	0	0	0	3	0	882
ASV_1169	0	0	0	2	0	762
ASV_120	0	0	0	2	751	11
ASV_71	0	0	2	52	0	692
ASV_161	0	0	0	9	0	616
ASV_562	0	0	0	3	0	597
ASV_488	0	0	0	0	0	557
ASV_210	0	0	0	12	0	516
ASV_413	0	0	0	0	0	400
ASV_598	0	0	0	0	0	377
ASV_585	262	359	147	0	0	10
ASV_284	0	0	0	11	0	340
ASV_1068	0	0	0	0	0	339
ASV_19	12	133	337	0	0	0
ASV_152	0	0	0	0	308	110
ASV_866	0	0	0	0	0	302
ASV_773	0	0	0	0	0	260
ASV_54	0	0	0	0	240	3
ASV_307	0	0	0	168	0	226
ASV_1184	0	0	0	0	0	221
ASV_1852	0	0	0	0	0	209
ASV_721	0	0	0	0	0	194
ASV_27	0	0	4	188	0	61
ASV_534	0	0	0	7	0	188
ASV_403	0	0	0	0	0	172
ASV_99	0	0	0	0	0	160
ASV_1069	0	0	0	0	0	148
ASV_821	0	0	0	4	0	141
ASV_69	0	0	2	126	0	57
ASV_1133	0	0	0	5	0	123
ASV_1314	0	0	0	0	0	120
ASV_1293	0	0	0	0	0	117
ASV_1022	0	0	0	0	0	103
ASV_387	0	0	0	43	0	101
ASV_2363	0	0	0	0	0	100
ASV_1541	0	0	0	0	0	91
ASV_674	0	0	0	0	0	86
ASV_25	0	0	35	40	2	77
ASV_139	0	0	0	0	74	2
ASV_112	0	0	0	7	0	71
ASV_511	0	0	0	0	0	61
ASV_1918	0	0	0	0	0	60
ASV_1208	0	0	0	0	0	58
ASV_364	0	0	0	18	0	58
ASV_1379	0	0	0	0	0	56
ASV_1318	0	0	0	0	0	54
ASV_2171	0	0	0	0	0	51
ASV_1475	0	0	0	0	0	47
ASV_1602	0	0	0	0	0	43
ASV_250	0	0	0	2	0	42
ASV_1998	0	0	0	0	0	40
ASV_1327	0	0	0	0	0	38
ASV_219	0	0	0	9	0	38
ASV_3237	0	0	0	0	0	37
ASV_97	0	0	0	0	0	33
ASV_21	0	0	0	2	0	31
ASV_928	0	0	0	18	0	29
ASV_2339	0	0	0	0	0	25
ASV_207	0	0	0	0	0	22
ASV_2549	0	0	0	2	0	22
ASV_55	0	0	0	16	0	22
ASV_57	0	0	0	0	0	21
ASV_128	0	0	0	0	0	20
ASV_1673	0	0	0	0	0	20
ASV_1047	0	0	0	0	0	18
ASV_1657	0	0	0	0	0	18
ASV_215	0	0	0	17	0	0
ASV_134	0	0	0	3	0	16
ASV_477	0	0	0	2	0	14
ASV_306	0	0	0	0	0	13
ASV_774	0	0	0	3	0	13
ASV_614	0	0	0	0	0	12
ASV_4414	0	0	0	0	0	11
ASV_610	0	0	0	5	0	11
ASV_1013	0	0	5	0	0	10
ASV_1820	0	0	0	0	0	9
ASV_738	0	0	0	0	0	9
ASV_146	0	0	0	0	0	8
ASV_3337	0	0	0	0	0	8
ASV_1289	0	0	0	0	0	7
ASV_2498	7	4	0	0	0	0
ASV_622	0	0	0	0	0	7
ASV_813	0	0	0	7	0	4
ASV_1098	0	0	0	0	0	6
ASV_2520	0	0	0	0	0	6
ASV_338	0	0	2	0	0	6
ASV_2494	0	0	0	0	0	5
ASV_378	0	0	0	0	0	5
ASV_438	0	0	0	0	0	5
ASV_659	0	0	0	0	0	5
ASV_1004	0	0	4	0	0	0
ASV_1598	0	0	0	0	0	4
ASV_220	0	0	0	0	0	4
ASV_53	0	0	0	0	0	4
ASV_1002	0	0	0	0	0	3
ASV_1011	0	0	0	0	0	3
ASV_2275	0	0	0	0	0	3
ASV_2425	0	0	0	0	0	3
ASV_4991	0	0	0	0	0	3
ASV_540	0	0	0	0	0	3
ASV_826	0	0	0	0	0	3
ASV_1245	0	0	0	0	0	2
ASV_1264	0	0	0	0	0	2
ASV_136	0	0	0	0	0	2
ASV_1427	0	0	0	0	0	2
ASV_1450	0	0	0	0	0	2
ASV_1509	0	0	0	2	0	0
ASV_1588	0	0	0	0	0	2
ASV_1832	0	0	0	0	0	2
ASV_2175	0	0	0	0	0	2
ASV_2632	0	0	2	2	0	0
ASV_3313	0	0	0	0	0	2
ASV_401	0	0	0	0	0	2
ASV_4118	0	0	0	0	0	2
ASV_650	0	0	0	2	0	0
