OTU	Cervix	Vagina	Introitus	Anus	Ear
ASV_1	88557	79467	37544	505.5	1308
ASV_71	76	10	9421	14561.5	5827
ASV_19	145	315	14866	890.5	8
ASV_57	0	0	0	0	10423
ASV_4	3	0	14	101	9187
ASV_112	0	0	267	6781.5	124
ASV_250	0	0	157	5344.5	2594
ASV_438	0	0	0	0	6625
ASV_21	37	22	6260	985	244
ASV_97	0	0	68	4316	1278
ASV_69	0	0	1253	3741	1540
ASV_364	2	0	2755	2344.5	324
ASV_219	0	0	54	2495	256
ASV_261	0	0	53	2174.5	55
ASV_25	0	2	229	723	2377
ASV_27	0	0	1865	915.5	628
ASV_56	0	0	308	1288	1717
ASV_120	0	0	0	0	1346
ASV_44	0	0	4	74.5	1186
ASV_1098	0	0	12	786	77
ASV_307	5	0	1026	767.5	673
ASV_519	0	0	0	7.5	824
ASV_90	0	0	4	15.5	721
ASV_79	0	0	0	104	659
ASV_1336	0	0	0	440	26
ASV_136	0	0	0	0	599
ASV_7	0	0	6	106	576
ASV_445	0	0	0	112.5	406
ASV_598	0	0	0	80	401
ASV_181	0	0	0	89	394
ASV_306	0	0	0	272	47
ASV_650	0	0	36	270.5	5
ASV_153	0	0	0	21	390
ASV_928	0	0	0	0	378
ASV_511	0	0	0	238.5	167
ASV_866	0	0	0	184	33
ASV_1541	0	0	0	174	3
ASV_674	0	0	0	2	224
ASV_152	0	0	0	0	219
ASV_413	0	0	0	0	217
ASV_694	0	0	0	0	201
ASV_55	0	0	0	2	189
ASV_348	0	0	0	8	187
ASV_774	0	0	187	107	178
ASV_610	0	0	15	130.5	31
ASV_813	0	0	0	119	34
ASV_897	0	0	0	16.5	174
ASV_901	0	0	158	20	0
ASV_161	0	0	0	104	2
ASV_218	0	0	0	105	25
ASV_5	0	2	12	16	151
ASV_567	0	0	0	19	139
ASV_284	0	0	0	88	0
ASV_134	0	0	0	5	125
ASV_1862	0	0	0	100.5	0
ASV_1820	0	0	0	0	110
ASV_207	0	0	0	0	109
ASV_434	0	0	0	77.5	103
ASV_2342	0	0	0	63	0
ASV_1419	0	0	0	0	98
ASV_1293	0	0	0	70	0
ASV_1327	0	0	0	14	96
ASV_378	0	0	0	8	94
ASV_1534	0	0	0	61	39
ASV_845	0	0	0	61.5	0
ASV_534	0	0	0	11	86
ASV_738	0	0	0	0	85
ASV_773	0	0	0	16	85
ASV_174	0	0	0	11	84
ASV_659	0	0	0	0	72
ASV_806	0	0	29	54.5	0
ASV_1666	0	0	0	54.5	0
ASV_562	0	0	0	14	62
ASV_1031	0	0	0	46.5	39
ASV_1610	0	0	0	3	55
ASV_488	0	0	0	9.5	48
ASV_146	0	0	0	7	44
ASV_1022	0	0	0	4	43
ASV_1146	0	0	0	0	42
ASV_1832	0	0	0	0	39
ASV_1169	0	0	0	7.5	37
ASV_338	0	0	0	0	35
ASV_2776	0	0	34	2	0
ASV_99	0	0	0	20.5	34
ASV_128	0	0	0	4	33
ASV_651	0	0	0	29.5	30
ASV_2090	0	0	0	0	29
ASV_477	0	0	0	2.5	29
ASV_614	0	0	0	0	28
ASV_721	0	0	0	3	28
ASV_1011	0	0	9	11	27
ASV_2223	0	0	0	17.5	15
ASV_767	0	0	0	0	27
ASV_1372	0	0	0	21	20
ASV_220	0	0	0	0	25
ASV_1289	0	0	0	0	22
ASV_1208	0	0	0	12	0
ASV_2022	0	0	0	13.5	0
ASV_210	0	0	0	11	19
ASV_826	0	0	0	0	19
ASV_1047	0	0	0	11	0
ASV_298	0	0	0	16	3
ASV_1013	0	0	0	0	17
ASV_1684	0	0	0	0	17
ASV_622	0	0	0	0	17
ASV_1379	0	0	0	14.5	0
ASV_2549	0	0	0	13	0
ASV_1381	0	0	0	0	15
ASV_3487	0	0	0	0	15
ASV_1184	0	0	0	14	2
ASV_387	0	0	0	0	14
ASV_4118	0	0	0	0	14
ASV_122	0	0	0	0	13
ASV_1475	0	0	0	0	13
ASV_54	0	0	0	0	13
ASV_1391	0	0	0	0	11
ASV_4984	0	0	0	0	11
ASV_1318	0	0	0	6	10
ASV_139	0	0	0	0	10
ASV_1450	0	0	0	6	10
ASV_3237	0	0	0	10	0
ASV_53	0	0	0	5	10
ASV_976	0	0	0	4	9
ASV_1588	0	0	0	8	0
ASV_1960	0	0	8	5.5	3
ASV_1968	0	0	0	8	0
ASV_403	0	0	0	6	0
ASV_984	0	0	0	0	8
ASV_1661	0	0	0	0	7
ASV_3313	0	0	0	0	7
ASV_821	0	0	0	5	0
ASV_1245	0	0	0	0	6
ASV_1264	0	0	0	0	6
ASV_2171	0	0	0	6	0
ASV_2467	0	4	6	0	0
ASV_1314	0	0	0	3	5
ASV_2268	0	0	0	5	0
ASV_4037	0	0	0	0	5
ASV_1509	0	0	0	0	4
ASV_1602	0	0	0	0	4
ASV_2485	0	0	0	0	4
ASV_2520	0	0	0	4	0
ASV_969	0	0	0	0	4
ASV_1052	0	0	0	0	3
ASV_1361	0	0	0	0	3
ASV_301	0	0	0	2.5	0
ASV_401	0	0	0	0	3
ASV_1300	0	0	0	2	0
ASV_1617	0	0	0	0	2
ASV_215	0	0	0	0	2
ASV_2175	0	0	0	0	2
ASV_47	0	0	0	0	2
