OTU	Introitus	Vagina	Cervix	Ear	Anus
ASV_1	107460	93933	87649	4327	2215
ASV_220	0	0	0	22175	9
ASV_27	2	4	0	322	15518
ASV_69	3	17	2	148	14509
ASV_56	3	13	2	525	13333
ASV_5	11	21	14	117	5880
ASV_7	92	467	24	4971	359
ASV_44	3	51	8	489	3719
ASV_306	0	0	0	39	2031
ASV_97	3	16	3	0	2004
ASV_261	0	0	0	0	1756
ASV_71	5	5	4	21	1694
ASV_721	0	2	0	40	1451
ASV_301	0	0	0	9	1171
ASV_614	0	0	0	1123	9
ASV_585	234	104	1018	109	0
ASV_219	2	0	2	2	813
ASV_378	0	0	0	782	27
ASV_250	0	3	0	0	720
ASV_134	0	0	0	506	39
ASV_4	12	42	12	449	25
ASV_55	0	2	0	442	21
ASV_307	0	0	0	0	433
ASV_181	0	4	0	420	37
ASV_25	9	2	0	411	122
ASV_364	0	0	0	5	389
ASV_813	0	0	0	0	365
ASV_511	0	0	0	0	363
ASV_610	0	0	0	56	343
ASV_694	0	0	0	317	0
ASV_128	0	0	0	315	3
ASV_153	0	0	0	313	78
ASV_1146	0	0	0	246	3
ASV_338	0	0	0	235	4
ASV_79	0	3	0	214	17
ASV_1925	0	0	0	196	7
ASV_434	0	0	0	0	173
ASV_415	0	0	0	169	3
ASV_969	0	0	0	142	10
ASV_99	15	138	11	36	0
ASV_1391	0	0	0	126	0
ASV_1847	0	0	0	116	0
ASV_534	0	0	0	112	0
ASV_348	0	0	0	100	0
ASV_21	0	0	0	0	95
ASV_2607	0	0	0	90	0
ASV_976	0	0	0	87	9
ASV_387	0	0	0	4	86
ASV_622	0	0	0	86	11
ASV_136	0	0	0	80	10
ASV_146	4	6	0	79	4
ASV_488	0	0	0	79	6
ASV_773	0	0	0	79	8
ASV_122	0	0	0	77	9
ASV_747	0	0	0	74	3
ASV_1694	0	0	0	73	0
ASV_1379	0	0	0	71	0
ASV_298	0	0	0	69	10
ASV_1011	0	0	0	0	59
ASV_207	0	0	0	59	11
ASV_567	0	0	0	53	48
ASV_284	0	0	0	51	20
ASV_1098	0	0	0	0	47
ASV_112	0	0	0	45	5
ASV_1805	0	0	0	45	2
ASV_19	0	0	0	45	3
ASV_413	0	0	0	45	14
ASV_659	0	0	0	43	8
ASV_445	0	0	0	39	22
ASV_1450	0	2	0	38	12
ASV_152	0	0	0	7	38
ASV_674	0	2	0	31	37
ASV_2597	0	0	0	34	0
ASV_562	0	0	0	34	6
ASV_806	0	0	0	0	34
ASV_928	0	0	0	34	0
ASV_1419	0	0	0	33	4
ASV_1944	0	0	0	33	0
ASV_540	0	0	0	30	2
ASV_1427	0	0	0	29	0
ASV_161	0	0	0	15	28
ASV_2171	0	0	0	0	27
ASV_598	0	0	0	0	23
ASV_3446	0	0	0	22	0
ASV_984	2	0	0	22	10
ASV_1208	0	0	0	0	20
ASV_1138	0	0	0	19	0
ASV_438	0	0	0	2	18
ASV_2551	0	0	0	17	2
ASV_90	0	0	0	13	17
ASV_1852	0	0	0	16	0
ASV_417	0	0	0	16	0
ASV_1069	0	0	0	15	0
ASV_3487	0	0	0	3	14
ASV_477	0	0	0	13	0
ASV_650	0	8	0	0	13
ASV_774	0	0	0	0	13
ASV_1684	0	0	0	12	4
ASV_1022	0	0	0	0	10
ASV_215	0	0	0	10	0
ASV_1264	0	0	0	9	8
ASV_174	0	0	0	0	9
ASV_901	0	0	0	0	9
ASV_1245	0	8	0	0	0
ASV_2022	0	0	0	0	8
ASV_2166	0	0	0	8	2
ASV_3237	0	0	0	8	3
ASV_1300	0	0	0	0	7
ASV_1361	0	0	0	7	0
ASV_1381	0	0	0	5	7
ASV_4215	0	0	0	0	7
ASV_53	0	0	0	4	7
ASV_1047	0	0	0	6	0
ASV_1293	0	0	0	6	0
ASV_210	0	0	0	0	6
ASV_3344	0	0	0	6	0
ASV_1314	0	0	0	0	5
ASV_1475	0	0	0	0	5
ASV_1541	0	0	0	0	5
ASV_2204	0	0	0	0	5
ASV_2485	0	0	0	5	0
ASV_1013	0	0	0	4	0
ASV_1184	0	0	0	0	4
ASV_1960	0	0	0	0	4
ASV_3900	0	0	0	2	4
ASV_57	0	0	0	0	4
ASV_1602	0	0	0	0	3
ASV_1657	0	0	0	0	3
ASV_4037	0	0	0	0	3
ASV_4629	0	0	0	0	3
ASV_1318	0	0	0	0	2
ASV_1564	0	0	0	0	2
ASV_1576	0	2	0	0	0
ASV_1661	0	0	0	0	2
ASV_218	0	0	0	0	2
ASV_826	0	2	0	0	0
