OTU	Cervix	Vagina	Introitus	Ear	Anus
ASV_1	59350	36976	34612	1863	10036
ASV_4	1420	47664	33112	12931	10376
ASV_19	20920	16794	8567	103	5378
ASV_7	16	31	23	17351	814
ASV_90	0	0	0	710	10116
ASV_56	0	0	2	771	8271
ASV_69	0	5	2	0	7745
ASV_25	0	12	14	2553	7617
ASV_27	0	0	0	152	5584
ASV_401	0	0	0	3	3965
ASV_112	0	0	0	0	3558
ASV_79	0	0	0	2750	305
ASV_5	62	339	1854	621	1114
ASV_364	0	3	0	79	1806
ASV_146	0	0	6	1660	18
ASV_97	0	4	2	5	1328
ASV_378	0	0	0	1233	65
ASV_55	0	0	0	1187	11
ASV_181	0	0	0	1173	754
ASV_567	0	0	0	183	705
ASV_57	0	0	0	657	3
ASV_1011	0	0	0	0	641
ASV_134	0	0	0	639	2
ASV_219	0	2	0	0	616
ASV_387	0	7	2	0	585
ASV_128	0	0	0	555	5
ASV_44	2	7	3	185	534
ASV_284	0	0	0	113	530
ASV_153	0	0	0	478	337
ASV_348	0	0	0	478	91
ASV_610	0	0	0	0	430
ASV_477	0	0	0	413	2
ASV_53	0	0	0	413	0
ASV_773	0	0	0	387	26
ASV_540	0	0	0	368	3
ASV_1450	0	0	0	367	8
ASV_511	0	0	0	0	360
ASV_21	0	2	0	184	345
ASV_650	0	0	0	0	335
ASV_120	0	0	0	298	0
ASV_1322	0	3	0	0	286
ASV_306	0	0	0	129	281
ASV_928	0	0	0	281	0
ASV_1138	0	0	0	268	0
ASV_694	0	0	0	258	0
ASV_71	0	0	0	234	170
ASV_813	0	0	0	0	221
ASV_445	0	0	0	31	217
ASV_622	0	0	0	203	0
ASV_122	0	0	0	199	0
ASV_901	0	0	0	0	196
ASV_47	0	0	0	194	0
ASV_301	0	0	0	0	191
ASV_338	0	0	0	188	3
ASV_721	0	0	0	102	180
ASV_614	0	0	0	178	0
ASV_1245	0	0	0	161	0
ASV_1314	0	0	0	159	7
ASV_866	0	0	0	120	158
ASV_488	0	0	0	157	115
ASV_674	0	0	0	153	39
ASV_54	34	0	0	147	0
ASV_1379	0	0	0	146	6
ASV_774	0	0	0	146	50
ASV_562	0	0	0	0	141
ASV_1960	0	0	0	0	139
ASV_969	0	0	0	139	0
ASV_298	0	0	0	122	137
ASV_1289	0	0	0	133	0
ASV_1146	0	0	0	132	9
ASV_534	0	0	0	0	131
ASV_1598	0	0	0	129	0
ASV_136	0	5	55	120	2
ASV_1968	0	0	0	0	119
ASV_99	0	0	0	118	29
ASV_3337	0	0	0	105	0
ASV_659	0	0	0	104	93
ASV_1318	0	0	0	100	4
ASV_1694	0	0	0	100	0
ASV_2842	0	0	0	90	0
ASV_767	0	4	5	0	87
ASV_826	0	0	0	87	0
ASV_1300	0	0	0	86	9
ASV_984	0	0	0	85	3
ASV_1169	0	0	0	83	27
ASV_598	0	0	0	46	82
ASV_651	0	0	0	17	74
ASV_1832	0	0	0	73	42
ASV_1617	0	0	0	65	0
ASV_161	0	0	0	62	7
ASV_1013	0	0	0	55	0
ASV_519	0	0	0	54	0
ASV_1588	0	0	0	52	0
ASV_976	0	0	0	52	0
ASV_139	0	0	0	49	0
ASV_1391	0	0	0	48	0
ASV_207	0	0	0	45	6
ASV_2175	0	2	0	45	0
ASV_220	0	2	0	44	0
ASV_434	0	0	0	0	42
ASV_1576	0	0	0	41	0
ASV_1022	0	0	0	11	36
ASV_152	0	0	0	0	36
ASV_1002	0	0	0	35	0
ASV_1427	0	0	0	33	0
ASV_1475	0	0	0	0	33
ASV_1944	0	0	0	31	0
ASV_1068	0	0	0	8	30
ASV_1293	0	0	0	0	28
ASV_1661	0	0	0	28	0
ASV_1184	0	0	0	26	26
ASV_1541	0	0	0	0	25
ASV_261	0	0	0	0	24
ASV_1673	0	0	0	16	22
ASV_2458	0	0	0	22	0
ASV_1602	0	0	0	0	21
ASV_2607	0	0	0	20	0
ASV_413	0	0	0	0	19
ASV_1327	0	0	0	0	18
ASV_2223	0	0	0	0	17
ASV_3487	0	0	0	17	0
ASV_403	0	0	0	0	17
ASV_1031	0	0	0	14	0
ASV_2549	0	0	0	0	14
ASV_1264	0	0	0	13	3
ASV_210	0	0	0	3	13
ASV_2171	0	0	0	0	11
ASV_3096	0	0	0	11	0
ASV_1534	0	0	0	0	10
ASV_174	0	0	0	0	9
ASV_1847	0	0	0	3	9
ASV_1852	0	0	0	9	2
ASV_1208	0	0	0	0	8
ASV_2520	0	0	0	8	0
ASV_4215	0	0	0	0	8
ASV_1381	0	0	0	7	0
ASV_2070	0	0	0	7	0
ASV_2100	0	0	0	7	0
ASV_250	0	0	0	0	6
ASV_307	0	0	0	6	0
ASV_438	0	0	0	5	2
ASV_1509	0	0	0	4	0
ASV_215	0	0	0	0	4
ASV_2268	0	0	0	0	4
ASV_1419	0	0	0	2	0
ASV_1657	0	0	0	0	2
ASV_3237	0	0	0	0	2
ASV_415	0	0	0	0	2
ASV_821	0	0	0	0	2
