OTU	Vagina	Cervix	Introitus	Anus	Ear
ASV_25	74816	716	23947	29910	987
ASV_1	4733	65531	2319	150	13
ASV_4	9953	79	48839	3187	32
ASV_146	0	4	146	21	29421
ASV_7	1291	31	15185	4785	28282
ASV_27	2	0	0	6099	0
ASV_56	2	4	4	5143	0
ASV_55	0	3	3438	3	363
ASV_44	13	4	412	2881	3
ASV_338	0	0	855	0	82
ASV_69	0	0	0	461	0
ASV_128	0	0	51	5	90
ASV_307	0	0	0	77	0
ASV_1702	0	0	3	65	0
ASV_90	2	43	4	2	0
ASV_813	0	0	0	28	0
ASV_134	0	0	11	8	24
ASV_5	2	12	7	2	21
ASV_610	0	0	0	20	0
ASV_721	0	0	0	12	0
ASV_97	0	0	0	12	0
ASV_71	0	0	0	11	0
ASV_2100	0	0	8	5	0
ASV_250	0	0	0	8	0
ASV_659	0	0	0	8	0
ASV_826	0	0	0	8	0
ASV_219	0	0	0	7	0
ASV_2494	0	0	0	0	7
ASV_306	0	0	0	5	0
ASV_650	0	0	0	4	0
ASV_139	0	0	0	0	3
ASV_1509	0	0	0	3	0
ASV_540	0	0	0	0	3
ASV_1011	0	0	0	2	0
ASV_122	0	0	0	2	0
ASV_153	0	2	0	0	0
ASV_19	0	0	0	2	0
ASV_21	0	0	0	0	2
ASV_301	0	0	0	2	0
ASV_598	0	0	0	2	0
ASV_614	0	0	0	2	0
ASV_694	0	0	2	0	0
