OTU	Stool	Ear	Vagina	Introitus	Cervix	Anus
ASV_5	75139	40501	7	0	10	632
ASV_4	42	45224	34	12	0	431
ASV_19	0	57	33582	30492	22376	515
ASV_21	0	31	17850	18129	16518	540
ASV_97	0	97	0	0	0	10808
ASV_53	0	10007	0	0	0	0
ASV_69	0	264	147	99	30	9184
ASV_1	22	26	8191	3897	3795	33
ASV_7	2683	268	0	4	23	7709
ASV_56	0	236	3293	6524	2814	7618
ASV_71	0	247	6042	6918	4366	2391
ASV_44	7	685	0	0	0	4078
ASV_250	0	43	0	0	0	3590
ASV_519	0	12	2462	2904	1651	2300
ASV_27	0	519	62	20	10	2805
ASV_364	0	73	2275	1672	949	1226
ASV_610	0	0	0	2	0	2003
ASV_219	0	68	0	0	0	1468
ASV_25	4	970	0	4	0	229
ASV_650	0	8	0	0	0	864
ASV_112	0	748	0	0	0	43
ASV_306	0	9	0	0	0	692
ASV_261	0	21	0	0	0	553
ASV_1011	0	5	0	0	0	403
ASV_511	0	32	0	0	0	369
ASV_90	0	30	344	300	124	233
ASV_301	0	3	0	0	0	335
ASV_181	0	154	0	0	0	304
ASV_897	0	0	0	0	0	282
ASV_1098	0	5	0	0	0	274
ASV_136	220	0	0	0	0	0
ASV_813	0	8	0	0	0	214
ASV_307	0	13	0	0	0	154
ASV_79	0	134	0	0	0	148
ASV_567	0	29	0	0	0	125
ASV_153	0	45	0	0	0	115
ASV_901	0	0	93	48	63	0
ASV_445	0	77	0	0	0	54
ASV_598	0	18	0	0	0	71
ASV_747	0	0	0	0	0	71
ASV_403	0	3	0	0	0	58
ASV_866	0	2	0	0	0	58
ASV_415	57	0	0	0	0	0
ASV_378	0	0	0	0	0	44
ASV_413	0	0	0	0	0	39
ASV_969	0	29	0	0	0	0
ASV_1820	0	3	0	0	0	27
ASV_57	0	2	0	0	0	24
ASV_774	0	5	0	0	0	24
ASV_1133	0	0	0	0	0	23
ASV_1862	0	0	0	0	0	23
ASV_152	0	7	0	0	0	22
ASV_55	0	0	0	0	0	21
ASV_434	0	20	0	0	0	15
ASV_298	0	18	0	0	0	8
ASV_1925	0	0	0	0	0	17
ASV_1318	0	0	0	0	0	15
ASV_348	0	14	0	0	0	3
ASV_146	0	0	0	0	0	13
ASV_2022	0	0	0	0	0	13
ASV_1300	0	2	0	0	0	12
ASV_2632	12	2	0	0	0	0
ASV_47	0	12	0	0	0	0
ASV_534	0	12	0	0	0	0
ASV_651	0	12	0	0	0	4
ASV_674	0	12	0	0	0	11
ASV_845	0	12	0	0	0	0
ASV_1013	0	0	0	0	0	11
ASV_1361	0	0	0	0	0	11
ASV_338	0	0	0	0	0	11
ASV_1264	0	0	0	0	0	10
ASV_134	0	2	0	0	0	10
ASV_174	0	5	0	0	0	10
ASV_218	0	10	0	0	0	0
ASV_622	0	0	0	0	0	10
ASV_1068	0	9	0	0	0	4
ASV_1968	0	0	0	0	0	9
ASV_387	0	0	0	0	0	9
ASV_562	0	9	0	0	0	7
ASV_773	0	9	0	0	0	0
ASV_1031	0	0	0	0	0	8
ASV_1184	0	3	0	0	0	8
ASV_1832	0	4	0	0	0	8
ASV_614	0	2	0	0	0	8
ASV_659	0	3	0	0	0	8
ASV_122	0	0	0	0	0	7
ASV_2171	0	0	0	0	0	7
ASV_488	0	7	0	0	0	6
ASV_52	0	0	0	0	0	6
ASV_1293	0	0	0	0	0	5
ASV_1372	0	0	0	0	0	5
ASV_1379	0	2	0	0	0	5
ASV_1450	0	0	0	0	0	5
ASV_1610	0	0	0	0	0	5
ASV_1702	0	5	0	0	0	0
ASV_821	0	5	0	0	0	2
ASV_984	0	0	0	0	0	5
ASV_99	0	5	0	0	0	4
ASV_1146	0	0	0	0	0	4
ASV_1327	0	4	0	0	0	3
ASV_1419	0	0	0	0	0	4
ASV_1918	0	0	0	0	0	4
ASV_1998	0	0	0	0	0	4
ASV_210	0	4	0	0	0	0
ASV_2776	0	0	0	0	0	4
ASV_694	0	0	0	0	0	4
ASV_976	0	0	0	0	0	4
ASV_1022	0	3	0	0	0	0
ASV_1047	0	0	0	0	0	3
ASV_120	0	3	0	0	0	0
ASV_139	0	0	0	0	3	0
ASV_1673	0	3	0	0	0	0
ASV_220	0	0	0	0	0	3
ASV_128	0	0	0	0	0	2
ASV_1314	0	0	0	0	0	2
ASV_1475	0	0	0	0	0	2
ASV_1509	0	2	0	0	0	0
ASV_1602	0	2	0	0	0	0
ASV_2549	0	0	0	0	0	2
ASV_3313	0	0	0	0	0	2
ASV_477	0	0	0	0	0	2
ASV_767	0	0	0	0	0	2
ASV_826	0	0	0	0	0	2
ASV_928	0	0	0	0	0	2
