OTU	Cervix	Vagina	Introitus	Ear	Stool
ASV_1	95271	90526	64411	899	19
ASV_4	42	315	20508	56677	2
ASV_7	3	186	1792	19853	57
ASV_5	2	81	3957	715	19625
ASV_90	0	0	2	89	18909
ASV_53	0	0	0	10837	0
ASV_25	0	6	24	928	1348
ASV_174	0	0	0	0	617
ASV_112	0	15	89	538	0
ASV_79	0	0	5	454	0
ASV_44	0	90	148	436	0
ASV_27	0	8	67	215	0
ASV_181	0	0	0	173	0
ASV_488	0	0	2	107	0
ASV_56	0	3	26	91	0
ASV_97	0	0	0	78	0
ASV_773	0	0	0	75	0
ASV_1184	0	0	0	0	72
ASV_153	0	0	0	64	0
ASV_445	0	0	0	58	0
ASV_598	0	0	0	57	0
ASV_69	0	3	37	57	0
ASV_71	0	2	38	56	0
ASV_364	0	0	23	47	0
ASV_415	0	0	0	0	47
ASV_54	0	0	0	47	2
ASV_562	0	0	0	47	0
ASV_403	0	6	42	0	0
ASV_152	0	0	3	39	0
ASV_348	0	0	0	38	0
ASV_774	0	0	0	32	0
ASV_298	0	0	0	31	0
ASV_659	0	0	5	22	0
ASV_1541	0	0	0	21	0
ASV_307	0	0	20	0	0
ASV_250	0	0	2	19	0
ASV_610	0	3	19	6	0
ASV_1694	0	0	0	18	0
ASV_1318	0	0	0	17	0
ASV_1832	0	0	0	17	0
ASV_55	0	2	0	17	0
ASV_1068	0	0	0	16	0
ASV_284	0	0	0	16	0
ASV_1372	0	0	0	15	0
ASV_306	0	0	0	15	0
ASV_1379	0	0	0	14	0
ASV_534	0	0	0	14	0
ASV_434	0	0	0	13	0
ASV_219	0	0	9	12	0
ASV_969	0	0	0	12	0
ASV_134	0	0	0	11	0
ASV_1960	0	0	0	11	0
ASV_866	0	0	0	11	0
ASV_2171	0	0	0	10	0
ASV_1022	0	0	0	9	0
ASV_1661	0	0	0	9	0
ASV_2549	0	0	0	9	0
ASV_511	0	0	0	9	0
ASV_674	0	0	0	9	0
ASV_218	0	0	2	8	0
ASV_57	0	0	0	0	8
ASV_1031	0	0	0	7	0
ASV_19	7	6	0	3	0
ASV_4997	0	0	0	7	0
ASV_52	0	0	0	7	0
ASV_1208	0	0	0	6	0
ASV_261	0	0	0	6	0
ASV_3446	0	0	0	6	0
ASV_901	0	0	6	0	0
ASV_1327	0	0	0	5	0
ASV_1450	0	0	0	5	0
ASV_2488	0	0	0	5	0
ASV_3337	0	0	0	5	0
ASV_1013	0	0	0	4	0
ASV_128	0	0	0	4	0
ASV_1509	0	0	0	4	0
ASV_614	0	0	0	4	0
ASV_1169	0	0	0	3	0
ASV_1293	0	0	0	3	0
ASV_1427	0	0	0	3	0
ASV_1475	0	0	0	3	0
ASV_3507	0	0	0	3	0
ASV_413	0	0	0	3	0
ASV_567	0	0	0	3	0
ASV_821	0	0	0	3	0
ASV_976	0	0	0	3	0
ASV_136	0	2	0	0	0
ASV_1381	0	0	0	2	0
ASV_1588	0	0	0	2	0
ASV_1602	0	0	0	2	0
ASV_161	0	0	0	2	0
ASV_207	0	0	0	0	2
ASV_21	0	0	0	2	0
ASV_220	0	0	2	0	0
ASV_651	0	0	0	2	0
ASV_813	0	0	0	2	0
