OTU	Vagina	Introitus	Ear	Cervix	Anus	Stool
ASV_1	102736	102491	238	69569	55	10
ASV_7	1216	269	101295	356	7109	3353
ASV_4	11	2	5	18	34936	6
ASV_47	0	0	0	0	0	28700
ASV_25	0	0	187	0	2794	23478
ASV_44	20	0	48	2	8765	0
ASV_5	845	226	159	45	575	2905
ASV_27	4	3	0	2	1610	0
ASV_56	5	0	2	4	1226	0
ASV_69	0	0	0	3	683	0
ASV_97	0	0	6	0	506	0
ASV_250	0	0	0	0	413	0
ASV_71	0	0	2	0	323	0
ASV_120	0	0	0	0	305	0
ASV_99	0	0	0	0	8	277
ASV_1419	0	0	196	0	0	0
ASV_1381	0	0	168	0	0	0
ASV_90	0	0	167	3	2	0
ASV_511	0	0	0	0	114	0
ASV_1427	0	0	111	0	0	0
ASV_659	4	0	76	0	62	0
ASV_146	63	0	0	6	0	0
ASV_610	3	0	0	0	49	0
ASV_378	0	0	39	0	3	0
ASV_54	0	0	0	0	0	34
ASV_540	0	0	0	0	34	0
ASV_79	0	0	32	3	0	0
ASV_1011	0	0	0	0	29	0
ASV_1576	29	0	0	0	0	0
ASV_1509	0	0	0	0	28	0
ASV_306	0	0	0	0	27	0
ASV_338	2	0	25	0	0	0
ASV_650	0	0	0	0	23	0
ASV_19	3	21	0	3	0	0
ASV_220	0	0	21	0	2	0
ASV_122	0	0	18	0	0	0
ASV_128	0	0	12	18	2	0
ASV_153	2	0	18	0	0	0
ASV_1098	0	0	0	0	17	0
ASV_1702	0	0	0	0	17	0
ASV_488	0	0	17	0	0	0
ASV_813	0	0	0	0	16	0
ASV_364	0	0	0	0	12	0
ASV_134	2	0	10	0	2	0
ASV_415	0	0	0	0	0	10
ASV_1684	0	0	9	0	0	0
ASV_161	0	0	0	0	8	0
ASV_976	0	0	8	0	0	0
ASV_598	0	0	7	0	5	0
ASV_897	0	0	0	0	7	0
ASV_112	0	0	6	0	4	0
ASV_21	0	6	0	0	0	0
ASV_55	0	0	6	0	0	0
ASV_57	0	0	6	0	2	0
ASV_694	6	0	0	0	0	0
ASV_2166	0	0	5	0	0	0
ASV_2607	0	0	5	0	0	0
ASV_2551	0	0	0	4	0	0
ASV_284	0	0	0	0	4	0
ASV_1300	0	0	0	0	3	0
ASV_1534	0	0	0	0	3	0
ASV_1541	0	0	0	0	3	0
ASV_215	0	0	0	3	0	0
ASV_218	0	0	0	0	3	0
ASV_2498	0	0	0	0	0	3
ASV_438	2	0	0	0	3	0
ASV_477	0	0	3	2	0	0
ASV_567	0	0	3	0	3	0
ASV_622	0	0	3	0	0	0
ASV_984	0	0	3	0	0	0
ASV_1068	0	0	0	0	2	0
ASV_1289	0	0	0	2	0	0
ASV_1450	0	0	2	0	0	0
ASV_210	0	0	2	0	0	0
ASV_219	0	0	0	0	2	0
ASV_2895	0	0	2	0	0	0
ASV_3446	2	0	0	0	0	0
ASV_413	2	0	0	0	0	0
ASV_434	0	0	0	0	2	0
ASV_928	0	0	2	0	0	0
