OTU	Vagina	Cervix	Introitus	Ear	Anus	Stool
ASV_5	58058	19997	23920	33	4216	4231
ASV_1	28705	53860	11761	44385	32	4
ASV_54	0	0	47295	7	782	36214
ASV_4	15	0	24	210	37603	10
ASV_25	5	3	14	6179	16	9854
ASV_7	9193	105	472	958	30	460
ASV_44	35	16	57	298	5185	0
ASV_57	0	0	0	1158	0	4482
ASV_79	0	0	0	58	3355	10
ASV_53	0	0	0	41	2290	0
ASV_120	0	0	0	2	2015	0
ASV_99	0	0	0	0	30	1776
ASV_146	0	0	0	1333	0	0
ASV_152	0	0	0	3	162	902
ASV_128	653	0	66	339	0	0
ASV_27	7	0	3	168	537	0
ASV_207	0	0	0	501	0	0
ASV_136	0	0	0	302	0	55
ASV_181	0	0	0	8	290	0
ASV_519	0	0	0	262	0	0
ASV_71	22	3	14	233	139	0
ASV_139	0	0	0	4	222	0
ASV_659	0	0	2	215	3	0
ASV_614	0	0	0	207	0	0
ASV_69	8	0	5	148	136	0
ASV_56	0	0	2	28	143	0
ASV_928	0	0	0	139	0	0
ASV_153	0	0	0	8	138	0
ASV_261	0	0	0	19	136	0
ASV_445	0	0	0	0	125	0
ASV_250	0	0	0	28	123	0
ASV_55	0	0	0	118	0	0
ASV_348	0	0	0	30	117	0
ASV_112	0	0	0	37	113	0
ASV_567	0	0	0	0	110	0
ASV_307	2	0	0	101	38	0
ASV_387	0	0	3	99	0	0
ASV_298	0	0	0	6	91	0
ASV_134	36	0	6	90	0	0
ASV_721	0	0	0	7	87	0
ASV_1684	0	0	0	77	0	0
ASV_438	0	0	0	74	0	0
ASV_1564	0	0	0	71	0	0
ASV_3487	0	0	0	71	0	0
ASV_415	0	0	0	71	0	0
ASV_122	0	0	0	66	0	0
ASV_1702	0	0	2	0	66	2
ASV_306	0	0	2	63	13	0
ASV_984	0	0	0	60	0	0
ASV_866	0	0	0	0	59	0
ASV_1381	0	0	0	56	0	0
ASV_534	0	0	0	0	54	0
ASV_161	0	0	0	12	48	0
ASV_97	4	0	0	12	47	0
ASV_338	0	0	0	45	0	0
ASV_694	0	0	0	39	0	0
ASV_622	0	0	0	38	0	0
ASV_21	0	0	0	37	0	0
ASV_477	0	0	0	36	0	0
ASV_826	0	0	0	36	0	0
ASV_2632	30	33	16	0	0	0
ASV_1419	0	0	0	31	0	0
ASV_674	0	0	0	0	27	0
ASV_1264	0	0	0	26	0	0
ASV_2166	0	0	0	25	0	0
ASV_364	4	0	3	25	22	0
ASV_598	0	0	0	0	25	0
ASV_651	0	0	0	0	25	0
ASV_219	0	0	5	23	0	0
ASV_511	0	0	0	21	16	0
ASV_562	0	0	0	0	21	0
ASV_1022	0	0	0	0	20	0
ASV_1509	0	0	0	0	19	0
ASV_284	0	0	0	0	19	0
ASV_1169	0	0	0	0	18	0
ASV_3032	10	2	5	0	18	0
ASV_650	0	0	0	18	0	0
ASV_90	3	0	0	0	17	0
ASV_901	0	0	0	17	0	0
ASV_1098	0	0	0	16	6	0
ASV_540	2	0	0	8	16	0
ASV_821	0	0	0	5	16	0
ASV_1068	0	0	0	0	15	0
ASV_210	0	0	0	0	15	0
ASV_378	0	0	0	15	0	0
ASV_1293	0	0	0	0	13	0
ASV_1391	0	0	0	13	0	0
ASV_1133	0	0	0	0	12	0
ASV_1146	0	0	0	12	0	0
ASV_3344	0	0	0	12	0	0
ASV_488	0	0	0	0	12	0
ASV_610	0	0	0	12	5	0
ASV_174	0	0	0	0	11	0
ASV_220	0	0	0	11	0	0
ASV_1427	0	0	0	10	0	0
ASV_1541	0	0	0	0	10	0
ASV_1588	0	0	0	0	10	0
ASV_1847	0	0	0	10	0	0
ASV_215	0	0	0	10	0	0
ASV_3237	0	0	0	0	10	0
ASV_47	0	0	0	10	0	0
ASV_774	0	0	0	0	10	0
ASV_2342	0	0	0	9	0	0
ASV_773	0	0	0	8	4	0
ASV_1184	0	0	0	0	7	0
ASV_1327	0	0	0	0	7	0
ASV_1918	0	0	0	7	0	0
ASV_4623	0	0	0	7	0	0
ASV_1004	0	0	0	0	0	6
ASV_1138	0	0	0	6	0	0
ASV_1694	0	0	0	6	0	0
ASV_19	3	0	4	6	0	0
ASV_1968	0	0	0	6	0	0
ASV_218	0	0	0	6	0	0
ASV_4037	0	0	0	6	0	0
ASV_4984	0	0	0	6	0	0
ASV_845	0	0	0	6	0	0
ASV_969	0	0	0	0	6	0
ASV_1069	0	0	0	0	5	0
ASV_1944	0	0	0	5	0	0
ASV_2949	0	0	0	0	5	0
ASV_767	0	0	0	5	0	0
ASV_813	0	0	0	0	5	0
ASV_1208	0	0	0	0	4	0
ASV_1610	0	0	0	4	0	0
ASV_1862	0	0	0	2	4	0
ASV_2090	0	0	0	4	0	0
ASV_2458	0	0	0	4	0	0
ASV_747	0	0	0	0	4	0
ASV_897	0	0	0	0	4	0
ASV_1011	0	0	0	0	3	0
ASV_1379	0	0	0	0	3	0
ASV_1666	0	0	0	2	3	0
ASV_1673	0	0	0	0	3	0
ASV_1245	0	0	0	2	0	0
ASV_1372	0	0	0	0	2	0
ASV_1475	0	0	0	0	2	0
ASV_1852	0	0	0	0	2	0
ASV_3278	0	0	0	2	2	0
ASV_403	0	0	0	0	2	0
