OTU	Cervix	Stool	Vagina	Ear	Introitus	Anus
ASV_1	108791	116	83005	1913	67173	8295
ASV_7	6	84298	115	71661	580	27834
ASV_4	0	19	3	28	0	34370
ASV_56	0	2	2	28	13	7211
ASV_136	0	3328	0	51	0	0
ASV_27	3	3	17	5	31	3306
ASV_25	0	2262	0	151	6	44
ASV_69	0	6	0	4	0	1512
ASV_44	3	5	5	120	14	976
ASV_754	454	0	277	5	853	3
ASV_614	0	456	0	0	0	0
ASV_71	0	0	0	6	2	393
ASV_610	0	3	0	16	4	218
ASV_112	0	0	0	0	0	147
ASV_307	0	0	0	0	0	129
ASV_97	0	0	0	0	0	126
ASV_134	0	0	0	123	0	19
ASV_364	0	0	0	0	0	98
ASV_659	0	4	0	16	0	84
ASV_19	4	44	0	2	8	52
ASV_57	0	38	0	46	0	0
ASV_306	0	0	0	0	0	42
ASV_415	0	42	0	0	0	0
ASV_250	0	0	0	0	0	33
ASV_387	0	3	0	0	0	27
ASV_5	3	23	9	22	2	23
ASV_21	0	0	0	0	0	20
ASV_1610	0	0	0	0	0	19
ASV_1098	0	0	0	0	0	17
ASV_207	0	0	0	0	4	17
ASV_261	0	0	0	0	0	14
ASV_219	0	0	0	0	0	11
ASV_403	0	0	0	0	0	11
ASV_53	0	0	0	0	0	10
ASV_99	0	0	0	0	0	10
ASV_2498	0	0	8	0	6	0
ASV_438	0	0	0	8	0	0
ASV_128	0	0	0	7	0	4
ASV_650	0	2	0	0	0	6
ASV_1004	0	5	0	0	0	0
ASV_562	0	0	0	0	0	5
ASV_738	0	0	0	0	0	5
ASV_79	0	0	0	2	0	5
ASV_813	0	0	0	0	0	5
ASV_181	0	0	0	0	0	4
ASV_284	0	0	0	0	0	4
ASV_511	0	0	0	0	0	4
ASV_976	0	0	0	0	0	4
ASV_152	0	3	0	0	0	0
ASV_55	0	0	0	3	0	0
ASV_1011	0	0	0	0	0	2
ASV_1022	0	0	0	0	0	2
ASV_1509	0	0	0	0	0	2
ASV_153	0	0	0	2	0	0
ASV_215	0	0	2	0	0	0
ASV_445	0	0	0	0	0	2
ASV_866	0	0	0	0	0	2
ASV_90	0	2	0	0	0	0
