OTU	Vagina	Cervix	Ear	Introitus	Stool	Anus
ASV_1	97507	77275	9419	73886	13	1167
ASV_7	11	0	74714	14	933	388
ASV_79	0	0	38	3	21565	7646
ASV_4	0	9	587	3	21175	292
ASV_44	0	0	7244	2	0	260
ASV_181	0	0	37	0	0	5488
ASV_153	0	0	14	3	0	4936
ASV_5	6	12	460	15	3997	105
ASV_774	0	0	17	0	636	3932
ASV_56	0	0	556	7	0	3804
ASV_27	0	0	607	2	0	3768
ASV_69	0	0	230	0	0	3415
ASV_90	0	0	13	0	3228	1340
ASV_773	0	0	25	0	0	2284
ASV_71	0	0	134	0	0	2198
ASV_348	0	0	8	0	0	1877
ASV_562	0	0	8	0	0	1752
ASV_174	0	0	0	0	1525	137
ASV_1068	0	0	2	0	0	1372
ASV_724	0	0	1258	0	488	0
ASV_298	0	0	9	0	0	1195
ASV_152	0	0	6	0	648	1172
ASV_219	0	0	125	0	0	975
ASV_161	0	0	7	0	0	872
ASV_250	0	0	40	0	0	853
ASV_585	72	79	0	837	0	3
ASV_19	0	2	5	790	0	75
ASV_25	0	0	723	0	15	133
ASV_534	0	0	6	0	0	676
ASV_284	0	0	0	0	201	659
ASV_1184	0	0	7	0	0	655
ASV_413	0	0	7	0	2	623
ASV_364	0	0	24	4	0	525
ASV_306	0	0	477	0	0	138
ASV_821	0	0	0	0	0	426
ASV_1379	0	0	0	0	0	405
ASV_1069	0	0	5	0	0	398
ASV_445	0	0	0	0	0	258
ASV_387	0	0	7	6	0	232
ASV_845	0	0	4	0	0	210
ASV_1300	0	0	2	0	0	207
ASV_1602	0	0	2	0	0	194
ASV_215	0	0	185	2	0	28
ASV_651	0	0	0	0	0	185
ASV_97	0	0	40	0	0	167
ASV_261	0	0	16	0	0	120
ASV_1475	0	0	0	0	0	107
ASV_767	0	0	0	0	0	105
ASV_301	0	0	64	0	0	94
ASV_112	0	0	6	0	0	76
ASV_1098	0	0	7	0	0	72
ASV_1918	0	0	0	0	0	62
ASV_610	0	0	57	0	0	54
ASV_1318	0	0	0	0	0	48
ASV_307	0	0	7	0	0	41
ASV_897	0	0	3	0	0	41
ASV_1314	0	0	0	0	0	36
ASV_415	0	0	36	0	0	0
ASV_378	0	0	0	0	0	31
ASV_813	0	0	6	0	0	27
ASV_511	0	0	8	0	0	25
ASV_2171	0	0	4	0	12	21
ASV_1673	0	0	0	0	0	19
ASV_434	0	0	13	0	0	18
ASV_1832	0	0	0	0	0	17
ASV_128	0	0	16	0	0	3
ASV_1657	0	0	0	0	0	16
ASV_1322	0	0	0	0	0	15
ASV_1610	0	0	3	0	0	15
ASV_1133	0	0	0	0	0	14
ASV_1169	0	0	0	0	0	13
ASV_136	0	0	12	0	0	5
ASV_1541	0	0	0	0	0	11
ASV_1862	0	0	0	0	0	11
ASV_1998	0	0	0	0	0	11
ASV_2467	0	0	0	11	0	0
ASV_55	0	0	4	0	0	11
ASV_1011	0	0	0	0	0	10
ASV_99	0	0	0	0	0	9
ASV_1047	0	0	0	0	0	8
ASV_120	0	0	0	0	0	8
ASV_1702	0	0	8	0	0	2
ASV_1208	0	0	0	0	0	7
ASV_2022	0	0	3	0	0	7
ASV_567	0	0	0	0	0	7
ASV_1847	0	0	0	0	0	6
ASV_57	0	0	0	0	0	6
ASV_207	0	0	5	0	0	5
ASV_21	0	0	0	0	0	5
ASV_210	0	0	0	0	0	5
ASV_488	0	0	0	0	0	5
ASV_598	0	0	3	0	0	5
ASV_659	0	0	3	0	0	5
ASV_969	0	0	0	0	0	5
ASV_1146	0	0	0	0	0	4
ASV_139	0	0	0	0	0	4
ASV_54	0	0	0	0	4	0
ASV_650	0	0	0	0	0	4
ASV_1820	0	0	0	0	0	3
ASV_1925	0	0	3	0	0	0
ASV_2776	0	0	3	0	0	0
ASV_4013	0	0	0	0	0	3
ASV_47	0	0	2	0	0	3
ASV_52	0	0	0	0	0	3
ASV_540	0	0	3	0	0	0
ASV_984	0	0	3	0	0	3
ASV_134	0	0	2	0	0	0
ASV_1684	0	0	2	0	0	0
ASV_1852	0	0	0	0	0	2
ASV_1968	0	0	2	0	0	0
ASV_220	0	0	2	0	0	0
ASV_401	0	0	0	0	0	2
ASV_614	0	0	0	0	0	2
ASV_622	0	0	0	0	0	2
ASV_674	0	0	0	0	0	2
ASV_901	0	0	0	0	0	2
ASV_928	0	0	2	0	0	0
