OTU	Vagina	Introitus	Cervix	Ear	Anus	Stool
ASV_1	109161	95826	68438	3231	24720	18
ASV_7	3	5	0	30892	6601	10989
ASV_5	0	5	0	18828	552	22816
ASV_53	0	3	0	35	6	16187
ASV_25	3	6	0	5336	220	11758
ASV_69	0	2	0	60	9894	0
ASV_27	0	0	0	396	5926	0
ASV_56	0	0	0	397	4378	0
ASV_250	0	0	0	105	3939	0
ASV_97	0	0	0	75	3390	0
ASV_44	0	0	0	2334	567	143
ASV_210	0	0	0	0	7	2171
ASV_364	0	0	0	12	1705	0
ASV_71	0	3	0	257	1641	0
ASV_659	0	0	0	23	1573	0
ASV_306	0	0	0	16	1204	0
ASV_174	0	0	0	0	2	767
ASV_610	0	0	0	4	757	0
ASV_219	0	0	0	28	710	0
ASV_181	0	0	0	42	565	0
ASV_738	0	0	0	0	441	0
ASV_55	0	0	0	428	8	0
ASV_534	0	0	0	0	400	0
ASV_4	11	14	2	365	259	3
ASV_307	0	0	0	31	338	0
ASV_90	0	0	0	62	311	0
ASV_415	0	0	0	284	0	2
ASV_511	0	0	0	0	264	0
ASV_378	0	0	0	255	12	0
ASV_21	0	0	0	14	212	0
ASV_767	0	0	0	0	200	0
ASV_261	0	0	0	5	195	0
ASV_897	0	0	0	15	188	0
ASV_153	0	0	0	12	184	0
ASV_1011	0	0	0	0	168	0
ASV_650	0	0	0	0	156	0
ASV_813	0	0	0	34	140	0
ASV_845	0	0	0	0	131	0
ASV_284	0	0	0	2	130	0
ASV_348	0	0	0	26	113	0
ASV_519	0	0	0	31	100	0
ASV_445	0	0	0	23	94	0
ASV_57	0	0	0	93	2	0
ASV_134	0	0	0	86	2	0
ASV_821	0	0	0	0	75	0
ASV_301	0	0	0	3	69	0
ASV_387	0	0	0	0	69	0
ASV_614	0	0	0	65	2	12
ASV_79	0	0	0	46	64	6
ASV_207	0	2	0	33	50	0
ASV_2022	0	0	0	0	47	0
ASV_413	0	0	0	4	47	0
ASV_1031	0	0	0	0	43	0
ASV_774	0	0	0	0	41	0
ASV_567	0	0	0	0	40	0
ASV_1184	0	0	0	0	38	0
ASV_488	0	0	0	37	24	0
ASV_598	0	0	0	18	36	0
ASV_1146	0	0	0	33	2	0
ASV_866	0	0	0	0	33	0
ASV_562	0	0	0	0	31	0
ASV_146	0	0	2	27	2	0
ASV_984	0	0	0	27	4	0
ASV_1666	0	0	0	0	24	0
ASV_1925	0	0	0	23	6	0
ASV_1022	0	0	0	0	20	0
ASV_2171	0	0	0	0	20	0
ASV_1379	0	0	0	0	18	0
ASV_901	0	0	0	0	18	0
ASV_773	0	0	0	17	3	0
ASV_694	0	0	0	16	0	0
ASV_976	0	0	0	16	2	0
ASV_1169	0	0	0	0	15	0
ASV_220	0	0	0	15	0	0
ASV_338	0	0	0	15	0	0
ASV_1098	0	0	0	0	14	0
ASV_674	0	0	0	0	14	0
ASV_721	0	0	0	0	14	0
ASV_806	0	0	0	0	14	0
ASV_1419	0	2	0	13	0	0
ASV_152	0	0	0	13	12	0
ASV_1862	0	0	0	0	13	0
ASV_1960	0	0	0	0	13	0
ASV_438	0	0	0	13	0	0
ASV_622	0	0	0	13	3	0
ASV_1264	0	0	0	12	0	0
ASV_1427	0	0	0	12	7	0
ASV_403	0	0	0	0	12	0
ASV_1832	0	0	0	0	11	0
ASV_2363	0	0	0	11	0	0
ASV_1336	0	0	0	0	10	0
ASV_19	0	0	0	10	10	0
ASV_2166	0	0	0	10	0	0
ASV_2632	0	0	0	10	0	0
ASV_298	0	0	0	0	10	0
ASV_1002	0	0	0	9	0	0
ASV_1391	0	0	0	0	9	0
ASV_1450	0	0	0	8	0	0
ASV_1534	0	0	0	0	8	0
ASV_747	0	0	0	8	0	0
ASV_1381	0	0	0	7	0	0
ASV_2549	0	0	0	0	7	0
ASV_122	0	0	0	6	2	0
ASV_1372	0	0	0	0	6	0
ASV_1694	0	0	0	6	0	0
ASV_1702	0	0	0	6	2	0
ASV_2090	0	0	0	6	2	0
ASV_4360	0	0	0	0	6	0
ASV_540	0	0	0	6	0	0
ASV_1138	0	0	0	0	5	0
ASV_1361	0	0	0	5	0	0
ASV_4013	0	0	0	0	5	0
ASV_826	0	0	0	5	0	0
ASV_112	0	0	0	0	4	0
ASV_1314	0	0	0	0	4	0
ASV_1322	0	0	0	0	4	0
ASV_1327	0	0	0	0	4	0
ASV_1245	0	0	0	3	0	0
ASV_1293	0	0	0	0	3	0
ASV_1300	0	0	0	0	3	0
ASV_47	0	0	0	3	0	0
ASV_1208	0	0	0	0	2	0
ASV_128	0	0	0	2	2	0
ASV_161	0	0	0	0	2	0
ASV_1673	0	0	0	0	2	0
ASV_1805	0	0	0	2	0	0
ASV_1998	0	0	0	0	2	0
ASV_2494	0	0	0	2	0	0
ASV_2597	0	0	0	2	0	0
ASV_2776	0	0	0	0	2	0
ASV_3085	0	0	0	2	0	0
ASV_99	0	0	0	0	2	0
