OTU	Cervix	Vagina	Stool	Anus	Introitus	Ear
ASV_1	91166	79708	17	69	40700	1231
ASV_5	16	5	60164	45	2	1515
ASV_139	251	2974	0	43532	18731	2168
ASV_4	11	1663	4	52	14526	14332
ASV_25	0	2	145	0	23	14513
ASV_7	101	624	59	12636	1573	4487
ASV_44	0	0	0	3280	20	615
ASV_56	0	2	0	2333	0	628
ASV_99	0	0	1964	0	0	0
ASV_477	0	0	0	0	0	947
ASV_27	0	0	0	883	0	329
ASV_69	0	0	0	806	0	2
ASV_622	0	0	0	0	0	711
ASV_55	0	0	0	0	0	702
ASV_19	0	128	0	0	444	255
ASV_826	0	0	0	0	0	419
ASV_120	0	0	0	0	0	384
ASV_928	0	0	0	0	0	341
ASV_1361	0	0	0	0	0	288
ASV_659	0	0	0	250	0	0
ASV_2100	0	0	0	0	0	243
ASV_146	0	0	0	0	0	239
ASV_348	0	4	0	0	0	229
ASV_338	0	0	0	0	0	225
ASV_585	0	197	0	0	126	0
ASV_1013	0	0	0	0	0	182
ASV_614	0	0	0	0	0	175
ASV_134	0	0	0	0	0	169
ASV_1289	0	0	0	0	0	163
ASV_136	0	0	0	0	0	157
ASV_181	0	11	0	0	0	135
ASV_1450	0	0	0	0	0	128
ASV_207	0	3	110	0	55	0
ASV_415	0	0	0	0	0	109
ASV_378	0	0	0	0	0	107
ASV_1661	0	0	0	0	0	105
ASV_307	0	0	0	0	0	85
ASV_47	0	0	3	0	0	83
ASV_3487	0	0	0	0	0	82
ASV_153	0	6	0	15	0	80
ASV_128	0	0	0	0	0	79
ASV_401	0	0	0	0	0	77
ASV_813	0	0	0	70	0	0
ASV_97	0	0	0	67	0	0
ASV_250	0	0	0	20	0	63
ASV_1427	0	0	0	0	0	62
ASV_2801	0	0	0	0	0	62
ASV_1146	0	0	0	0	0	61
ASV_71	0	0	0	25	0	51
ASV_438	0	0	0	0	0	50
ASV_2090	0	0	0	0	0	47
ASV_1617	0	0	0	0	0	41
ASV_610	0	0	0	3	0	41
ASV_57	0	0	0	0	0	38
ASV_540	0	0	0	0	0	37
ASV_301	0	0	0	36	0	0
ASV_1419	0	0	0	0	0	31
ASV_90	0	2	0	2	0	30
ASV_1264	0	0	0	0	0	29
ASV_122	0	0	0	0	0	28
ASV_2254	0	0	0	0	0	27
ASV_79	3	23	0	0	0	0
ASV_2204	0	0	0	0	0	22
ASV_306	0	0	0	11	0	22
ASV_215	0	0	0	0	0	20
ASV_218	0	0	0	0	0	15
ASV_434	0	0	0	0	0	15
ASV_1138	0	0	0	0	0	12
ASV_2458	0	0	0	0	0	12
ASV_2467	0	4	0	0	11	0
ASV_54	0	0	10	0	0	4
ASV_2607	0	0	0	0	0	9
ASV_21	0	0	0	0	5	8
ASV_2520	0	0	0	0	0	8
ASV_1011	0	0	0	7	0	0
ASV_1004	0	0	6	0	0	0
ASV_174	0	0	0	6	0	0
ASV_1847	0	0	0	0	0	5
ASV_112	0	0	0	4	0	4
ASV_1805	0	0	0	0	0	4
ASV_445	0	3	0	4	0	0
ASV_4623	0	0	0	0	0	4
ASV_534	0	3	0	0	0	0
ASV_1391	0	0	0	0	0	2
ASV_1509	0	0	0	0	0	2
ASV_2339	0	2	0	0	0	0
ASV_2632	0	0	2	0	0	0
ASV_364	0	0	0	2	0	2
ASV_488	0	2	0	0	0	0
ASV_562	0	2	0	0	0	0
ASV_650	0	0	0	2	0	0
