"","X5_UTR","nsp1_leader_protein_pp1a_pp1ab","nsp2_pp1a_pp1ab","nsp3_Ac_TM1_ADRP_pp1a_pp1ab","nsp4_TM2_pp1a_pp1ab","nsp5_3Clike_proteinase_pp1a_pp1ab","nsp6_putative_transmembrane_domain_pp1a_pp1ab","nsp7_pp1a_pp1ab","nsp8_pp1a_pp1ab","nsp9_ssRNA_binding_protein_pp1a_pp1ab","nsp10_GFL_pp1a_pp1ab","nsp11_pp1a","nsp12_RdRp_pp1ab_YP_009725307.","nsp13_helicase_pp1ab","nsp14_3","nsp15_endoRNAse_pp1ab","nsp16_2","S_protein","ORF3a","E_protein","M_protein","ORF6","ORF7a","ORF7b","ORF8","N_protein","ORF10","X3_UTR","orf1a","orf1ab"
"COVHA-20200311-P1-D08-P",0.0124123197802438,0.0118639185559406,0.0139378340186644,0.0140434605766331,0.0136954157810254,0.0136971027430711,0.0135067352659876,0.0139360024334795,0.013041789002938,0.0130608259771547,0.0137452988675042,0.0134227854951587,0.0134365720978103,0.0128415708451007,0.0136152355950941,0.0137393911685678,0.0141396027451052,0.0136475543777178,0.0144038026883538,0.0146164064614748,0.013430109091854,0.0122113522107346,0.0133438279531437,0.0140039295427203,0.0136154768081303,0.0124912860573188,0.0124407129502603,0.0131586768906034,0.0137041820687604,0.0136774334965764
"COVHA-20200311-P1-E08-P",0.00405344351779314,0.00413904934224986,0.00519364959142519,0.00509814586526468,0.00513247952262806,0.00513425536141642,0.00530095102947295,0.00504308532849996,0.00472941364082901,0.00491102238109974,0.00502459712549583,0.00481131201375841,0.00479346906187699,0.00452141197249835,0.00480462162538499,0.00480767045055003,0.00505501855342651,0.0049026171727667,0.0050420641070589,0.00524377779456129,0.00471417551111946,0.00426061973618777,0.00468389888220129,0.00475663197666578,0.00450527191548754,0.00448245930714679,0.00418981015299954,0.00441804997028169,0.00504898184960274,0.0049802154787839
"COVHA-20200311-P1-G01-P",6.59625234387607e-06,6.15282831178845e-06,6.15046984068649e-06,6.6761391472283e-06,6.25030252190985e-06,5.1333619213263e-06,5.97819368065194e-06,5.98310157130242e-06,4.85196088526301e-06,5.18306649374396e-06,6.57860300382723e-06,5.22939547786015e-06,5.24043656268357e-06,5.01588451560442e-06,5.69022432512966e-06,5.32044440875218e-06,5.33907825064531e-06,4.69780223500526e-06,5.39475081645979e-06,5.23590930515856e-06,5.63959309453438e-06,4.31274538722597e-06,4.94044028119299e-06,5.15764827479774e-06,4.68485814435446e-06,5.05098860755132e-06,5.08240807035577e-06,4.73946087147084e-06,6.19775279834685e-06,5.87835584414453e-06
"COVHA-20200312-P2-B04-P",6.74799711610609e-05,8.40527508763573e-05,8.47725603468138e-05,8.29399959036112e-05,8.14792343873621e-05,8.27450918555161e-05,8.55098428430411e-05,8.44732815066934e-05,7.96949674867786e-05,8.15747787837961e-05,8.91464923316892e-05,8.91678972506923e-05,8.95975525584484e-05,7.70008777546101e-05,8.37791076441374e-05,8.7100456540428e-05,8.75893929517273e-05,8.61369614472506e-05,8.98518497430604e-05,9.4363371052746e-05,7.92356435685601e-05,6.89240605402965e-05,6.60131187165909e-05,5.54538637205204e-05,5.13549688014475e-05,6.48729853669451e-05,6.57950870847144e-05,7.59021121654957e-05,8.34531257924031e-05,8.29238794104783e-05
"COVHA-20200312-P2-C01-P",0.0100571170419506,0.00963741598174939,0.0106929590475487,0.0109326445260415,0.0111764784545531,0.0112623531023829,0.0107001268514904,0.0109480820721716,0.0104784235765678,0.0104687744236334,0.0112607417456227,0.0107666995492842,0.010728657661247,0.0105763853113851,0.0113631489944137,0.0113965133602241,0.0114338693344572,0.0112653499713531,0.0116406243195627,0.0114173536286928,0.0104565984652301,0.00940633728650579,0.0104775692664288,0.0106061001225362,0.0105572311566268,0.0101982079017591,0.00996439248332839,0.0106187031340121,0.0108428303784835,0.0109285618667499
"COVHA-20200312-P2-C03-P",0.000460003438102982,0.000760688839422423,0.000805606626411284,0.000584963124284387,0.000621716138295647,0.000704642092131981,0.000749712446174809,0.000661467371682905,0.000692310393950132,0.000759971304537542,0.000906662780581699,0.000936687530166796,0.000924774738906842,0.000643886476533252,0.000648565357057913,0.00055262795761778,0.000493709231051177,0.000523243349611993,0.000562198032072899,0.00058276548093114,0.000526860761681909,0.000381837698080136,0.000378646589681352,0.000345891646003457,0.000366430269716207,0.000633896991651556,0.000486115758859735,0.000456615222766333,0.000682579377821715,0.000669972030906749
"COVHA-20200312-P2-D02-P",0.000274781911019777,0.000305083346925878,0.000424062654531492,0.000402421892951367,0.000457318646382158,0.000460466482939856,0.000494808408374564,0.000430742749733291,0.000394559043275455,0.000419243201066548,0.000442307592415673,0.00041978190023985,0.000401241213631312,0.000451615939463713,0.000438914365650243,0.000437559116417934,0.000464072163188979,0.000449914901203761,0.000512995304746874,0.000617749545338792,0.000561427247247728,0.000366716467339739,0.000393327328890914,0.000379946756243434,0.000369137076644056,0.000414979246734969,0.00042288949759319,0.000430583557084224,0.000419282581548976,0.000428986117790119
"COVHA-20200312-P2-H03-P",0.00217763038646328,0.00214476554863134,0.00247183435804441,0.00254462123422207,0.00274238564163062,0.00249358345434222,0.00260029751898641,0.00255133648190504,0.00232463284472108,0.00238536423740631,0.00258260827424435,0.00255735317142499,0.00254272474597679,0.00238256528902662,0.00257570809117155,0.00259485132321691,0.00283645011529428,0.0025976363194292,0.00274045541836423,0.00249574443427229,0.0023629895066099,0.0021762059980172,0.00239902558451182,0.00248668147070231,0.00231243110748782,0.00225189285174489,0.00217899959481607,0.00230156236917113,0.00251864024007082,0.00253631714217197
"COVHA-20200312-P3-A06-N",0.000478491525658353,0.000447083084791158,0.000534451347187972,0.000533037597583722,0.000589250904149867,0.000456618420797304,0.000509618435015454,0.000536653788395464,0.000430284373528148,0.000519978606307862,0.000515756767384651,0.000450532533477182,0.000455686103229458,0.000479656546876248,0.000533461392766784,0.000574236096322085,0.000605246722564051,0.000590944252503307,0.000632966763265205,0.000578787359894818,0.000589817035614772,0.000522108410705405,0.000507881277524754,0.000541406752590648,0.0005191715177877,0.000502438257702594,0.000537160813827222,0.000569607742647369,0.00051901441750361,0.00052636722746915
"COVHA-20200312-P3-B04-N",0.004314165811141,0.00336598752860745,0.0037862062508549,0.00381160408571828,0.00399448839602266,0.00374565353151945,0.00372712381426095,0.00378454498340156,0.00352405368165232,0.00355623567791241,0.00378281088950875,0.00375381203934669,0.0037605929280355,0.0034967765513845,0.00378944896852262,0.00375073115315487,0.00409239052019184,0.00397859094581748,0.00449220250516629,0.00432304753088265,0.00449687853637495,0.00413946353706885,0.00467166828004175,0.00474229298288052,0.0049029048277017,0.00553268247582866,0.00580513202231696,0.00591310229145388,0.00376361906609876,0.00374769956093703
"COVHA-20200312-P3-E02-P",0.000485800049382084,0.000435342895977417,0.000450653069228594,0.000370577366504236,0.000383005456514102,0.000345298920445367,0.000359396000154963,0.000319112271602957,0.000299764612452795,0.000315431395067657,0.000336165186466721,0.000327887566030616,0.000325649075603222,0.000284319068370963,0.000315784551757674,0.000281209394848327,0.000334107076354702,0.00035416866757575,0.000436987815532801,0.000442068700161237,0.000462305963629279,0.000395920675301386,0.000431264286985115,0.00046949230926971,0.000477156520143886,0.000548994653929728,0.000592846328337207,0.000584557086888725,0.000374942352545747,0.000349590680983983
"COVHA-20200312-P3-H04-N",0.0153400028980155,0.00973436678409773,0.0116515230124676,0.0117881612409483,0.0122899262420696,0.0111757285996098,0.0111427208854518,0.0107166475907135,0.00968653725507198,0.00995163814411242,0.0105217263144748,0.0103336877254423,0.0102909652694009,0.0096365666844598,0.0104595482410692,0.0105224804676885,0.0121530120733924,0.0116170527980507,0.0132773007214797,0.014142512793023,0.0148200066317011,0.0148844024504913,0.0166342615958711,0.0174648944304385,0.0181906795267758,0.0197191094101876,0.0197032807303177,0.0200583180049501,0.0113544018603841,0.0110344189558078
"COVHA-20200313-P4-B06-P",0.000114954407044451,0.000115274652090881,0.000131028490310319,0.000144829965449618,0.000153764709832613,0.000144894038475543,0.000138148650946546,0.000154140921836944,0.000141159849572704,0.000129426186219587,0.000140476720107756,0.000144545854490596,0.000142094669274889,0.000139054822535009,0.00015578849575863,0.000159689230185657,0.000168336472028841,0.000145833987389927,0.000143760359708985,0.00014195456903874,0.000123597884940306,0.000126640307450827,0.000128531779673314,0.000134025697013184,0.000128870780383592,0.000107201517055906,0.000118607936163629,0.000126291305609939,0.00014108469178661,0.000145376408412021
"COVHA-20200313-P4-D04-P",0.000773309940276664,0.000808713212700649,0.000913062479265585,0.000754478841939438,0.00077777020312175,0.000748663609555019,0.000746894928911421,0.000813904630699546,0.000735172737206252,0.000689264245821274,0.000798008803854713,0.000807963949173315,0.000821681902810863,0.000731588915126878,0.000716092405487721,0.000719246668181741,0.000755816504588925,0.000708279587121567,0.000772073337932521,0.000718460359515668,0.000734809567374025,0.000637594148296679,0.000659689359173282,0.000659703451318988,0.000689269049841611,0.000691349388817283,0.000608425013944167,0.000611885619973475,0.00078051726764523,0.00076849308430823
"COVHA-20200313-P4-E05-P",0.0136771589092623,0.0102109080490775,0.0121783100048744,0.0128536016864585,0.0138039820822723,0.0126570522690353,0.0126131759208111,0.0124783972005088,0.0114288139978548,0.0114928480453812,0.0119906670029888,0.01175961425476,0.0117185900406013,0.0109497766181371,0.0121354795928291,0.0124819523277403,0.013799962206583,0.0130684657957596,0.0141071823892454,0.0143202704513886,0.0147552600107541,0.0140878224043396,0.0156317739636909,0.016101117121011,0.0161660623075722,0.0170243342371942,0.0170605942644307,0.0162145444999653,0.0125099375919934,0.0122991143464248
"COVHA-20200313-P4-G04-P",1.73112913625668e-05,1.63716394466844e-05,1.70774215397778e-05,1.93016478636322e-05,2.2530160253396e-05,1.88954741867446e-05,1.93162481615023e-05,1.83346570184996e-05,1.54719167648325e-05,1.81574522974385e-05,1.87368888156728e-05,1.75654053230687e-05,1.7019824942521e-05,1.84469728721476e-05,1.86850022104861e-05,2.04393106886871e-05,2.07342844685255e-05,1.94437616782578e-05,2.0071072917142e-05,2.05633756509859e-05,1.70978139850169e-05,1.89281603106029e-05,2.04646692948604e-05,2.56419251108739e-05,2.15057297674176e-05,2.02538407374403e-05,2.37823551553061e-05,2.14336812545622e-05,1.88573650168048e-05,1.89007718661363e-05
"COVHA-20200313-P4-H03-P",0.000557089124009327,0.000566437183224428,0.000676371814957834,0.000600640314045585,0.000631280554712895,0.00055167574407023,0.0005743852100572,0.000493210386477736,0.000456597704968143,0.000470622437631952,0.000490184410371943,0.000418083464101742,0.000414458243900027,0.000421923514660496,0.000432056328686958,0.000414766970113394,0.000441264450273601,0.000416094767473818,0.000406387228973894,0.000351566446584921,0.000386599861317163,0.000328380952786619,0.000320044131386551,0.000358218791170882,0.000330245317763145,0.000316308288216261,0.000294310097769787,0.000308913815309152,0.00058710978129613,0.000535630163400219
"COVHA-20200313-P5-A03-P",2.94199048201046e-06,2.30226179718999e-06,2.39323724913796e-06,2.26481682462935e-06,3.1178834673248e-06,1.99064721834638e-06,2.24859550828147e-06,3.34648053988101e-06,2.14412379369507e-06,1.72211564146977e-06,2.61146279761472e-06,2.59234989500759e-06,2.68978159854555e-06,2.09498791013197e-06,2.06657040379458e-06,2.1479112235048e-06,2.04751059126689e-06,2.37344403022392e-06,2.87286730225931e-06,3.5978594666732e-06,2.05889906625858e-06,1.70380064680532e-06,2.43005395944859e-06,2.81658806496047e-06,2.61757153462344e-06,2.49015816948415e-06,2.18212085629406e-06,2.54657599064105e-06,2.35793174128436e-06,2.28084017680421e-06
