OTU	Introitus	Vagina	Cervix	Anus	Ear
ASV_1	125383	106893	84665	1279.5	8586
ASV_44	1639	162	3	18357	1019
ASV_4	45	45	2	34.5	11665
ASV_56	127	12	0	7259.5	656
ASV_69	60	7	0	5655	125
ASV_53	0	0	0	0	6267
ASV_7	61	12	0	292.5	6143
ASV_27	38	9	0	3776.5	33
ASV_540	219	9	2	3148.5	124
ASV_97	4	0	0	2856	12
ASV_250	5	0	0	2386	72
ASV_79	0	0	6	3	2507
ASV_25	5	2	0	4	2093
ASV_55	2	2	0	0	1634
ASV_301	13	2	0	933.5	0
ASV_338	2	0	0	3	1077
ASV_71	17	5	3	669.5	168
ASV_5	58	38	6	17.5	847
ASV_477	0	0	0	3	827
ASV_614	4	2	0	3	825
ASV_1013	0	0	0	0	776
ASV_134	0	0	0	0	713
ASV_146	637	5	32	2	596
ASV_897	0	0	0	472	0
ASV_694	621	6	27	0	0
ASV_1289	0	0	0	0	618
ASV_122	0	0	0	0	523
ASV_152	0	0	0	2	512
ASV_261	0	0	0	372.5	0
ASV_721	0	0	0	346	0
ASV_57	0	0	0	0	486
ASV_622	0	0	0	2	456
ASV_1617	0	0	0	0	442
ASV_348	0	0	0	0	439
ASV_826	0	0	0	0	431
ASV_220	321	2	15	0	421
ASV_659	15	0	0	6.5	411
ASV_378	0	0	0	0	400
ASV_139	9	0	0	0	396
ASV_1098	0	0	0	297.5	0
ASV_207	50	0	0	0	387
ASV_306	2	0	0	283.5	134
ASV_90	6	0	0	15	379
ASV_364	0	0	0	263.5	204
ASV_1694	0	0	0	0	356
ASV_1391	345	2	17	0	0
ASV_112	0	0	0	203	332
ASV_434	0	0	0	225.5	0
ASV_161	0	0	0	0	309
ASV_488	0	0	0	3	298
ASV_511	2	0	0	199.5	0
ASV_1944	0	0	0	0	270
ASV_567	0	0	0	5	269
ASV_2204	0	0	0	0	258
ASV_1684	0	0	0	0	235
ASV_598	0	0	0	0	213
ASV_813	5	0	0	148.5	0
ASV_610	6	0	0	130.5	23
ASV_128	0	0	0	2	193
ASV_1069	0	0	0	0	180
ASV_2175	0	0	0	0	177
ASV_767	0	0	0	0	171
ASV_19	4	0	4	0	162
ASV_298	0	0	0	0	151
ASV_1361	0	0	0	0	149
ASV_120	61	0	4	0	143
ASV_438	0	0	0	0	136
ASV_1661	0	0	0	0	134
ASV_674	0	0	0	0	132
ASV_1427	0	0	0	0	129
ASV_153	0	0	3	15.5	115
ASV_1022	0	0	0	0	112
ASV_445	0	0	0	0	112
ASV_1602	0	0	0	0	110
ASV_1862	0	0	0	89.5	0
ASV_1450	0	0	0	8	108
ASV_403	0	0	0	0	105
ASV_1002	0	0	0	0	96
ASV_650	3	0	0	66.5	0
ASV_774	0	0	0	0	90
ASV_1702	22	0	0	62	38
ASV_2551	0	0	0	2	87
ASV_401	0	0	0	0	87
ASV_181	0	0	3	2	84
ASV_219	2	0	0	58	78
ASV_99	0	0	0	0	83
ASV_387	0	0	0	0	77
ASV_2376	0	0	0	2	65
ASV_773	0	0	0	0	63
ASV_47	0	0	0	3	58
ASV_1264	0	0	0	0	57
ASV_2842	0	0	0	0	57
ASV_415	0	0	0	0	55
ASV_866	0	0	0	6.5	55
ASV_2520	0	0	0	0	53
ASV_3313	0	0	0	0	52
ASV_984	0	0	0	0	52
ASV_1011	0	0	0	35	0
ASV_1208	0	0	0	3	44
ASV_215	29	0	2	33.5	0
ASV_562	0	0	0	0	41
ASV_1832	0	0	0	0	39
ASV_136	0	0	0	0	36
ASV_2485	0	0	0	0	36
ASV_1381	0	0	0	7	34
ASV_901	33	0	0	3	16
ASV_1068	0	0	0	0	26
ASV_2949	0	0	0	0	26
ASV_1300	0	0	0	0	25
ASV_2458	0	0	0	0	24
ASV_2022	0	0	0	15.5	0
ASV_969	0	0	0	0	22
ASV_519	0	0	0	3	20
ASV_1336	0	0	0	10.5	0
ASV_1576	0	3	0	0	17
ASV_284	0	0	0	0	15
ASV_21	0	0	0	9.5	0
ASV_3792	14	0	0	0	0
ASV_4013	0	0	0	8	0
ASV_1372	0	0	0	0	11
ASV_1419	11	0	0	0	0
ASV_1610	0	0	0	10.5	0
ASV_3032	10	0	0	0	0
ASV_534	0	0	0	8	0
ASV_976	0	0	0	0	9
ASV_1031	0	0	0	0	6
ASV_1133	0	0	0	4.5	0
ASV_218	0	0	0	5.5	0
ASV_54	0	0	0	0	5
ASV_1509	0	0	0	0	4
ASV_2171	0	0	0	0	4
ASV_417	0	0	0	0	4
ASV_1146	0	0	0	0	3
ASV_1666	0	0	0	2.5	0
ASV_174	0	0	0	2.5	0
ASV_1820	0	0	0	3	0
ASV_2342	0	0	0	3	0
ASV_4623	0	0	0	0	3
ASV_1004	0	2	0	0	0
ASV_1047	0	0	0	2	0
ASV_1184	0	0	0	2	0
ASV_1245	0	0	0	0	2
ASV_2801	0	0	0	0	2
ASV_3085	0	0	0	0	2
ASV_3237	0	0	0	2	0
ASV_724	0	0	0	2	0
ASV_845	2	0	0	0	0
