OTU	Cervix	Ear	Anus	Vagina	Introitus	Stool
ASV_1	103538	5	26	28883	30777	33
ASV_57	0	67474	0	0	0	0
ASV_4	14	133	52861	44000	26971	24179
ASV_79	0	2	640	0	0	18681
ASV_5	155	7307	17927	5380	11316	13245
ASV_7	73	4856	1183	165	362	692
ASV_90	0	0	24	0	0	2948
ASV_136	344	0	27	753	1693	0
ASV_174	0	0	23	0	0	1030
ASV_53	0	0	901	0	0	0
ASV_181	0	0	857	0	0	0
ASV_52	0	0	641	0	0	0
ASV_27	0	2	601	2	0	0
ASV_774	0	0	0	0	0	562
ASV_724	0	0	0	0	0	515
ASV_120	0	0	424	0	0	0
ASV_152	0	0	155	0	0	380
ASV_153	0	0	303	0	0	0
ASV_44	3	2	263	3	7	0
ASV_567	0	0	240	0	0	0
ASV_348	0	0	198	0	0	0
ASV_284	0	0	108	0	0	190
ASV_56	0	2	158	0	0	0
ASV_69	0	2	147	0	0	0
ASV_445	0	0	138	0	0	0
ASV_1169	0	0	132	0	0	0
ASV_598	0	0	127	0	0	0
ASV_364	0	0	116	0	0	0
ASV_674	0	0	107	0	0	0
ASV_298	0	0	106	0	0	0
ASV_71	0	3	103	0	0	0
ASV_112	0	0	101	0	0	0
ASV_488	0	0	97	0	0	0
ASV_25	0	0	86	0	0	14
ASV_161	0	0	80	0	0	0
ASV_55	0	0	80	0	0	0
ASV_969	0	0	69	0	0	0
ASV_134	0	67	0	0	0	0
ASV_534	0	0	61	0	0	0
ASV_47	0	0	60	0	0	2
ASV_866	0	0	59	0	0	0
ASV_1069	0	0	53	0	0	0
ASV_562	0	0	50	0	0	0
ASV_99	0	0	50	0	0	0
ASV_1133	0	0	49	0	0	0
ASV_219	0	0	43	0	0	0
ASV_97	0	0	43	0	0	0
ASV_1022	0	0	41	0	0	0
ASV_651	0	0	39	0	0	0
ASV_897	0	0	38	0	0	0
ASV_1293	0	0	33	0	0	0
ASV_1184	0	0	27	0	0	0
ASV_2632	0	0	27	0	2	0
ASV_821	0	0	26	0	0	0
ASV_1068	0	0	24	0	0	0
ASV_250	0	0	23	0	0	0
ASV_1475	0	0	19	0	0	0
ASV_610	0	0	18	0	0	0
ASV_1031	0	0	16	0	0	0
ASV_210	0	0	16	0	0	0
ASV_1318	0	0	14	0	0	0
ASV_207	4	0	14	0	3	0
ASV_307	0	0	14	0	0	0
ASV_2171	0	0	8	0	0	13
ASV_1534	0	0	12	0	0	0
ASV_721	0	0	11	0	0	0
ASV_413	0	0	0	0	0	10
ASV_773	0	0	10	0	0	0
ASV_2499	0	0	9	0	0	0
ASV_1327	0	0	8	0	0	0
ASV_1673	0	0	8	0	0	0
ASV_1702	0	0	8	0	0	0
ASV_1208	0	0	7	0	0	0
ASV_1372	0	0	7	0	0	0
ASV_1602	0	0	7	0	0	0
ASV_403	0	0	7	0	0	0
ASV_54	0	0	5	0	0	7
ASV_1657	0	0	6	0	0	0
ASV_1820	0	0	6	0	0	0
ASV_650	0	0	6	0	0	0
ASV_3237	0	0	5	0	0	0
ASV_1541	0	0	3	0	0	0
ASV_4629	0	0	3	0	0	0
ASV_4991	0	0	3	0	0	0
ASV_813	0	0	3	0	0	0
ASV_1998	0	0	2	0	0	0
ASV_2363	0	0	2	0	0	0
ASV_301	0	0	2	0	0	0
ASV_378	0	2	0	0	0	0
