OTU	Anus	Cervix	Stool	Vagina	Introitus
ASV_5	110017	18	21	24	5347
ASV_1	511	90790	26	71096	22170
ASV_7	346	8	86298	3	52
ASV_25	1144	5	36	0	44150
ASV_4	39	2338	0	9	3
ASV_79	0	1203	0	0	0
ASV_152	0	349	0	0	0
ASV_90	0	286	0	0	0
ASV_44	266	0	0	0	0
ASV_56	203	0	0	0	0
ASV_146	0	68	0	0	0
ASV_301	55	0	0	0	0
ASV_1576	0	49	0	0	0
ASV_69	34	0	0	0	0
ASV_57	32	0	0	0	0
ASV_928	0	0	29	0	0
ASV_27	26	0	0	0	0
ASV_174	0	20	0	0	0
ASV_19	0	13	0	3	5
ASV_2498	0	0	0	9	13
ASV_610	11	0	0	0	0
ASV_585	0	7	0	0	6
ASV_3446	0	6	0	0	0
ASV_55	0	6	0	0	0
ASV_1322	5	0	0	0	0
ASV_2632	2	0	0	0	4
ASV_694	0	4	0	0	0
ASV_1004	0	0	3	0	0
ASV_139	0	3	0	0	0
ASV_1450	0	3	0	0	0
ASV_220	0	3	0	0	0
ASV_338	0	3	0	0	0
ASV_1022	0	2	0	0	0
ASV_136	0	2	2	0	0
ASV_2175	0	2	0	0	0
ASV_348	0	2	0	0	0
