OTU	Vagina	Cervix	Introitus	Anus
ASV_1	130473	97198	92855	27
ASV_4	33	46	26	70040
ASV_5	226	14	7784	1255
ASV_7	39	6	2623	7009
ASV_56	4	0	25	2154
ASV_218	1004	114	1229	0
ASV_27	2	0	40	929
ASV_69	0	0	12	790
ASV_19	263	20	748	0
ASV_44	0	0	47	518
ASV_215	75	6	324	0
ASV_21	111	5	243	0
ASV_585	211	138	174	0
ASV_417	3	0	120	0
ASV_219	0	0	0	119
ASV_25	6	0	101	0
ASV_813	0	0	0	42
ASV_738	2	0	33	0
ASV_806	0	0	27	0
ASV_387	0	0	22	0
ASV_364	0	0	20	12
ASV_71	3	0	19	3
ASV_79	0	0	0	15
ASV_610	0	0	2	13
ASV_747	0	0	0	10
ASV_403	0	0	0	8
ASV_434	0	0	8	0
ASV_650	0	0	8	0
ASV_146	4	7	3	0
ASV_1702	0	0	0	7
ASV_307	0	0	0	7
ASV_694	4	6	0	0
ASV_153	0	0	0	5
ASV_1098	0	0	0	4
ASV_1391	4	4	0	0
ASV_2268	0	0	0	4
ASV_97	0	0	4	0
ASV_220	3	3	0	0
ASV_250	0	0	0	3
ASV_301	0	0	0	3
ASV_511	0	0	0	3
ASV_567	0	0	0	3
ASV_598	0	0	0	3
ASV_659	0	3	0	0
ASV_866	0	0	0	3
ASV_112	0	0	0	2
ASV_1184	0	0	0	2
ASV_120	0	0	0	2
ASV_122	2	0	0	0
ASV_128	0	0	0	2
ASV_139	0	2	0	0
ASV_152	0	0	0	2
ASV_181	0	0	0	2
ASV_1918	0	0	0	2
ASV_2632	0	0	2	0
ASV_774	0	0	2	0
