OTU	Vagina	Cervix	Introitus	Ear	Stool	Anus
ASV_1	149568	119132	113199	2196	30	331
ASV_5	0	0	0	94425	1740	14
ASV_90	136	69	68	53	26370	1617
ASV_4	4	6	0	42	14962	93
ASV_25	0	0	0	393	4783	185
ASV_69	0	0	0	0	0	3444
ASV_27	2	0	0	0	0	3260
ASV_181	8	0	5	337	0	3180
ASV_56	0	0	0	15	0	2545
ASV_71	0	0	2	22	0	2471
ASV_153	3	0	4	89	0	2090
ASV_79	12	0	10	122	896	2076
ASV_97	0	0	0	2	0	1527
ASV_7	0	4	0	1139	372	42
ASV_562	0	0	0	119	0	1047
ASV_445	0	0	2	19	0	960
ASV_413	0	0	0	4	0	925
ASV_364	22	13	3	2	0	730
ASV_348	0	0	0	29	0	728
ASV_298	2	0	0	18	0	666
ASV_866	0	0	0	16	0	631
ASV_567	0	0	0	22	0	573
ASV_598	0	0	0	11	0	511
ASV_969	0	0	0	32	0	495
ASV_511	0	0	0	0	0	492
ASV_1068	0	0	0	29	0	489
ASV_250	0	0	0	4	0	433
ASV_1031	0	0	0	13	0	392
ASV_1169	0	0	0	50	0	392
ASV_284	0	0	0	6	9	379
ASV_112	0	0	0	0	0	365
ASV_261	0	0	0	0	0	359
ASV_534	0	0	0	14	0	348
ASV_488	2	0	0	12	0	328
ASV_651	0	0	0	19	0	313
ASV_174	0	0	0	4	62	306
ASV_219	0	0	0	2	0	266
ASV_1184	0	0	0	17	0	265
ASV_1011	0	0	0	3	0	259
ASV_821	0	0	0	7	0	232
ASV_774	0	0	0	11	0	228
ASV_1314	0	0	0	2	0	176
ASV_1541	0	0	0	4	0	148
ASV_152	0	0	0	5	23	142
ASV_773	2	0	0	21	0	127
ASV_1372	0	0	0	3	0	119
ASV_1293	0	0	0	4	0	112
ASV_210	0	0	0	19	6	98
ASV_1602	0	0	0	0	0	97
ASV_1098	0	0	0	0	0	91
ASV_21	5	0	0	0	0	90
ASV_99	0	0	0	6	3	87
ASV_57	0	0	0	22	80	7
ASV_1379	0	0	0	0	0	75
ASV_1300	0	0	0	9	0	66
ASV_403	0	0	0	2	0	63
ASV_1673	0	0	0	3	0	62
ASV_650	0	0	0	0	0	62
ASV_1327	0	0	0	0	0	60
ASV_813	0	0	0	0	0	58
ASV_1832	0	0	0	0	0	55
ASV_306	0	0	0	0	0	54
ASV_1534	0	0	0	0	0	44
ASV_1475	0	0	0	8	0	42
ASV_218	0	0	0	0	0	35
ASV_44	0	0	0	32	0	35
ASV_2171	0	0	0	0	0	32
ASV_415	0	0	0	0	31	0
ASV_161	0	0	0	3	0	29
ASV_307	0	0	0	0	0	29
ASV_1047	0	0	0	0	0	28
ASV_1657	0	0	0	0	0	27
ASV_122	0	0	0	26	0	0
ASV_1208	0	0	0	0	0	25
ASV_1318	0	0	0	0	0	23
ASV_3237	0	0	0	0	0	19
ASV_134	0	0	0	16	0	0
ASV_610	0	0	0	0	0	15
ASV_622	0	0	0	13	0	0
ASV_19	12	10	9	3	0	0
ASV_2363	0	0	0	0	0	12
ASV_1918	0	0	0	0	0	11
ASV_1998	0	0	0	0	0	11
ASV_1450	0	0	0	10	0	0
ASV_301	0	0	0	0	0	10
ASV_659	0	0	0	4	0	10
ASV_53	0	0	0	0	0	8
ASV_207	0	0	0	4	0	7
ASV_220	2	0	0	6	0	0
ASV_4629	0	0	0	0	0	6
ASV_55	0	0	2	6	0	0
ASV_976	0	0	0	6	0	0
ASV_1022	0	0	0	2	0	5
ASV_2549	0	0	0	4	0	5
ASV_338	0	0	0	5	0	0
ASV_4479	0	0	0	0	0	5
ASV_1146	0	0	0	4	0	0
ASV_128	0	0	0	4	0	0
ASV_1852	0	0	0	0	0	4
ASV_3337	0	0	0	0	0	4
ASV_1133	0	0	0	0	0	3
ASV_146	2	0	0	3	0	0
ASV_2268	0	0	0	0	0	3
ASV_378	0	0	0	3	0	0
ASV_438	0	0	0	3	0	0
ASV_54	0	0	0	3	3	0
ASV_721	0	0	0	0	0	3
ASV_806	0	0	0	0	0	3
ASV_215	2	2	0	0	0	0
ASV_2275	0	0	0	0	0	2
ASV_2376	0	0	0	2	0	0
ASV_2425	0	0	0	0	0	2
ASV_2551	0	0	0	2	0	0
ASV_2632	0	0	0	2	2	0
ASV_4991	0	0	0	2	0	0
ASV_694	0	0	2	0	0	0
