OTU	Cervix	Vagina	Introitus	Ear	Anus	Stool
ASV_1	96567	90106	89519	14033	53167	13
ASV_7	2	0	4	74661	101	5349
ASV_4	6	2	6	421	40	42075
ASV_25	0	0	11	3683	2	16480
ASV_90	0	0	0	13	7	6049
ASV_79	0	0	0	21	0	5869
ASV_56	0	0	0	0	5053	0
ASV_44	0	0	0	188	1878	0
ASV_69	0	0	0	2	1528	0
ASV_152	0	0	0	0	0	997
ASV_415	0	0	0	907	0	344
ASV_97	0	0	0	0	537	0
ASV_27	0	0	0	7	459	0
ASV_5	2	3	9	34	18	318
ASV_55	0	0	0	210	17	0
ASV_134	0	0	0	145	2	0
ASV_250	0	0	0	0	129	0
ASV_897	0	0	0	0	78	0
ASV_610	0	0	0	0	76	0
ASV_826	0	0	0	56	0	0
ASV_136	0	0	0	43	0	0
ASV_146	0	0	4	40	7	0
ASV_306	0	0	0	2	40	0
ASV_3344	0	0	0	28	0	0
ASV_378	0	0	0	0	28	0
ASV_261	0	0	0	0	25	0
ASV_813	0	0	0	0	25	0
ASV_477	0	0	0	24	5	0
ASV_301	0	0	0	0	23	0
ASV_219	0	0	0	0	18	0
ASV_928	0	0	0	17	0	0
ASV_220	0	0	0	16	0	0
ASV_71	0	0	0	16	5	0
ASV_57	0	0	0	8	0	15
ASV_1805	0	0	0	14	0	0
ASV_2607	0	0	0	14	0	0
ASV_1138	0	0	0	13	2	0
ASV_511	0	0	0	0	12	0
ASV_122	0	0	0	11	0	0
ASV_1146	0	2	0	9	0	0
ASV_1598	0	0	0	9	0	0
ASV_338	0	0	0	9	2	0
ASV_153	0	0	0	3	8	0
ASV_181	0	0	0	8	5	0
ASV_207	0	0	4	3	0	8
ASV_128	0	0	0	7	0	0
ASV_540	0	0	0	7	0	0
ASV_567	0	0	0	7	2	0
ASV_1011	0	0	0	0	6	0
ASV_1289	0	0	0	6	0	0
ASV_19	2	0	0	6	2	0
ASV_2022	0	0	0	0	6	0
ASV_614	0	0	0	6	0	4
ASV_622	0	0	0	6	0	0
ASV_1098	0	0	0	0	5	0
ASV_2166	0	0	0	5	0	0
ASV_1450	0	0	0	4	2	0
ASV_1960	0	0	0	0	4	0
ASV_21	0	0	0	4	0	0
ASV_2520	0	0	0	4	0	0
ASV_3096	0	0	0	4	0	0
ASV_438	0	0	0	4	0	0
ASV_53	0	0	0	4	0	0
ASV_534	0	0	0	4	0	0
ASV_1169	0	0	0	3	0	0
ASV_1264	0	0	0	3	0	0
ASV_1419	0	0	0	3	0	0
ASV_1576	0	0	3	0	0	0
ASV_1661	0	0	0	3	0	0
ASV_2458	0	0	0	3	0	0
ASV_3278	0	0	0	0	3	0
ASV_348	0	0	0	3	2	0
ASV_659	0	0	0	0	3	0
ASV_984	0	0	0	0	3	0
ASV_1013	0	0	0	2	2	0
ASV_112	0	0	0	0	2	0
ASV_1391	0	0	0	2	0	0
ASV_1617	0	0	0	0	2	0
ASV_1847	0	0	0	0	2	0
ASV_2070	0	0	0	0	2	0
ASV_2498	0	0	0	0	0	2
ASV_284	0	0	0	0	2	0
ASV_2842	0	0	0	2	2	0
ASV_364	0	0	0	0	2	0
ASV_387	0	0	0	2	0	0
ASV_445	0	0	0	0	2	0
ASV_767	0	0	0	2	0	0
ASV_99	0	0	0	0	2	0
