OTU	Cervix	Introitus	Vagina	Stool	Anus
ASV_1	70250	69057	65570	30	4696
ASV_4	8	2	17	40482	2698
ASV_79	0	0	3	20587	477
ASV_27	0	2	3	0	13140
ASV_56	0	2	6	0	12263
ASV_7	0	134	140	338	10621
ASV_69	0	0	2	0	4663
ASV_44	0	6	2	0	4464
ASV_610	0	0	0	0	2252
ASV_97	0	0	0	0	1332
ASV_901	144	322	1207	0	0
ASV_25	0	4	13	0	977
ASV_55	0	0	0	0	751
ASV_250	0	0	0	0	699
ASV_307	0	0	0	0	550
ASV_511	0	0	0	0	510
ASV_1098	0	0	0	0	497
ASV_112	0	0	0	0	479
ASV_153	0	0	0	0	470
ASV_71	0	0	0	0	432
ASV_5	12	5	67	129	419
ASV_364	11	14	100	0	385
ASV_598	0	0	0	0	381
ASV_1047	0	0	0	0	326
ASV_445	0	0	0	0	323
ASV_403	0	0	0	0	319
ASV_1998	0	0	0	7	239
ASV_152	0	0	0	217	0
ASV_534	0	0	0	0	198
ASV_622	0	0	0	0	179
ASV_659	0	0	0	0	175
ASV_52	0	0	2	0	146
ASV_298	0	0	0	0	137
ASV_2175	0	0	0	0	123
ASV_19	2	0	2	0	114
ASV_1576	0	0	0	0	113
ASV_866	0	0	0	0	91
ASV_219	0	0	0	0	84
ASV_1184	0	0	0	0	83
ASV_338	0	0	0	0	76
ASV_146	0	0	4	0	57
ASV_774	0	0	0	0	52
ASV_134	0	0	0	0	42
ASV_90	0	0	5	24	42
ASV_477	0	0	0	0	39
ASV_1820	0	0	0	0	37
ASV_567	0	0	0	0	35
ASV_650	0	0	0	0	26
ASV_721	0	0	0	0	26
ASV_1694	0	0	0	0	20
ASV_2801	0	0	0	0	19
ASV_976	0	0	5	0	18
ASV_220	0	0	0	0	17
ASV_4215	0	0	0	0	13
ASV_284	0	0	0	0	11
ASV_181	0	0	0	0	9
ASV_984	0	0	0	0	7
ASV_136	0	0	6	0	0
ASV_301	0	0	0	0	6
ASV_306	0	0	0	0	6
ASV_562	0	0	0	0	5
ASV_54	3	0	0	0	0
ASV_651	0	0	0	0	3
ASV_674	0	0	0	0	3
ASV_821	0	0	0	0	3
ASV_1475	0	0	0	2	0
ASV_1847	0	2	0	0	0
ASV_210	0	0	0	0	2
ASV_348	0	0	0	0	2
