OTU	Ear	Vagina	Introitus	Cervix	Stool	Anus
ASV_7	118157	2	4	0	27	70
ASV_1	67.5	98130	84204	65762	30	15797
ASV_5	3511	3	3	0	56171	26
ASV_25	31.5	3	3	0	9430	175
ASV_153	2	0	2	0	0	3906.5
ASV_97	8.5	2	3	0	0	3448.5
ASV_79	5	0	0	0	7	3194
ASV_181	0	0	5	0	0	2922
ASV_598	0	0	3	0	0	2903
ASV_438	3	0	0	0	3136	0
ASV_112	0	0	0	0	0	2276.5
ASV_445	0	0	3	0	0	1667
ASV_71	0	0	0	0	0	1607
ASV_298	0	0	0	0	0	1373
ASV_567	14	3	9	0	0	1379.5
ASV_488	2	2	4	0	0	1374.5
ASV_969	0	0	7	0	0	1137
ASV_284	0	0	5	0	0	970
ASV_219	0	0	0	0	0	896
ASV_69	3	0	0	0	0	720.5
ASV_413	0	0	0	0	0	694
ASV_161	0	0	0	0	0	720
ASV_866	0	0	0	0	0	686
ASV_721	0	0	4	0	0	620
ASV_674	0	0	3	0	0	627
ASV_534	0	0	2	0	0	598
ASV_773	8	0	2	0	0	502.5
ASV_1068	0	0	2	0	0	600.5
ASV_90	3	0	0	0	3	499.5
ASV_651	0	0	0	0	0	476.5
ASV_250	5	0	0	0	0	366.5
ASV_1372	0	0	0	0	0	383.5
ASV_403	0	0	0	0	0	342.5
ASV_562	3	0	0	0	0	385
ASV_1293	0	0	0	0	0	381.5
ASV_99	0	0	0	0	0	374.5
ASV_1169	0	0	0	0	0	338
ASV_136	10	0	0	0	380	0
ASV_56	4.5	0	0	0	2	279.5
ASV_1327	0	0	0	0	0	304.5
ASV_1184	0	0	0	0	0	295
ASV_152	0	0	0	0	0	243.5
ASV_348	0	0	0	0	0	241
ASV_4	36	4	7	0	5	259
ASV_1475	0	0	0	0	0	238.5
ASV_1820	0	0	0	0	0	215
ASV_27	2	0	0	0	0	214
ASV_1852	0	0	0	0	0	218.5
ASV_1379	0	0	0	0	0	192
ASV_1031	0	0	0	0	0	200
ASV_57	3	0	0	0	223	0
ASV_1133	0	0	0	0	0	139.5
ASV_1069	0	0	0	0	0	133
ASV_511	0	0	0	0	0	123
ASV_1673	0	0	0	0	0	117.5
ASV_1314	0	0	0	0	0	129
ASV_1022	0	0	0	0	0	125
ASV_1832	2	0	0	0	0	103
ASV_261	0	0	0	0	0	86.5
ASV_1534	0	0	0	0	0	77
ASV_306	70.5	0	0	0	0	89
ASV_1602	0	0	0	0	0	61
ASV_1098	0	0	0	0	0	55.5
ASV_2499	0	0	0	0	0	49
ASV_821	0	0	0	0	0	56
ASV_2339	0	0	0	0	0	54
ASV_774	0	0	0	0	0	55.5
ASV_650	0	0	0	0	0	50
ASV_2171	0	0	0	0	0	50
ASV_1300	0	0	0	0	0	46.5
ASV_174	2	0	0	0	0	54
ASV_767	0	0	0	0	0	39.5
ASV_3237	0	0	0	0	0	44.5
ASV_1318	0	0	0	0	0	39
ASV_378	36.5	0	0	0	0	0
ASV_1657	0	0	0	0	0	28.5
ASV_4414	0	0	0	0	0	29.5
ASV_3266	0	0	0	0	0	21
ASV_1011	0	0	0	0	0	24
ASV_364	0	0	0	0	0	26
ASV_146	18	0	0	0	0	2
ASV_122	21.5	0	0	0	0	0
ASV_1918	0	0	0	0	0	13.5
ASV_4118	0	0	0	0	0	20
ASV_813	0	0	0	0	0	16.5
ASV_55	15	0	0	0	0	0
ASV_1541	0	0	0	0	0	12
ASV_54	0	0	0	0	0	9.5
ASV_134	11	0	0	0	0	0
ASV_44	10	0	0	0	0	7
ASV_4479	0	0	0	0	0	10
ASV_1052	13	0	0	0	0	0
ASV_1264	12	0	0	0	0	0
ASV_210	0	0	0	0	0	8
ASV_2549	0	0	0	0	0	10.5
ASV_338	7.5	0	0	0	0	0
ASV_53	0	0	0	0	0	7
ASV_826	11	0	0	0	0	0
ASV_477	7.5	0	0	0	0	0
ASV_2551	9	0	0	0	0	0
ASV_614	7.5	0	0	0	0	0
ASV_1047	0	0	0	0	0	6.5
ASV_120	5.5	0	0	0	0	0
ASV_1617	7	0	0	0	0	0
ASV_415	5.5	0	0	0	0	0
ASV_2268	0	0	0	0	0	4.5
ASV_4991	0	0	0	0	0	4.5
ASV_1208	0	0	0	0	0	4.5
ASV_19	3	0	5	4	0	4
ASV_4360	0	0	0	0	0	3.5
ASV_984	4.5	0	0	0	0	0
ASV_1289	4	0	0	0	0	0
ASV_1998	0	0	0	0	0	3
ASV_2607	4	0	0	0	0	0
ASV_4013	0	0	0	0	0	4
ASV_52	4	0	0	0	0	0
ASV_622	4	0	0	0	0	0
ASV_139	0	0	0	0	0	3
ASV_1450	3	0	0	0	0	0
ASV_207	2	0	0	0	0	3
ASV_976	3	0	0	0	0	2
ASV_1146	2	0	0	0	0	0
ASV_215	2	0	0	0	0	0
ASV_2425	0	0	0	0	0	2
ASV_4623	0	0	0	0	0	2
ASV_610	0	0	0	0	0	2
ASV_659	2	0	0	0	0	0
ASV_694	2	0	0	0	0	0
