OTU	Ear	Cervix	Vagina	Introitus	Stool	Anus
ASV_7	110944	4	12	10	8	542
ASV_1	383	79211	60509	59218	11	931
ASV_54	2	3	0	0	37916	0
ASV_250	0	0	0	0	0	13479
ASV_69	0	0	0	3	0	13092
ASV_56	0	0	9	9	0	11337
ASV_27	2	2	3	3	0	10797
ASV_5	708	9	6	10	8788	33
ASV_71	0	0	0	0	0	4742
ASV_97	0	0	2	0	0	3741
ASV_112	0	0	0	0	0	2796
ASV_44	677	10	40	17	0	2203
ASV_364	0	0	0	0	0	1580
ASV_721	0	0	0	0	0	1567
ASV_301	0	0	0	0	0	1445
ASV_219	0	0	0	0	0	1011
ASV_813	0	0	0	0	0	901
ASV_306	0	0	0	0	0	378
ASV_261	0	0	0	0	0	331
ASV_307	0	0	0	0	0	303
ASV_79	0	0	0	0	0	293
ASV_774	0	0	0	0	0	276
ASV_181	0	0	0	0	0	234
ASV_897	0	0	0	0	0	193
ASV_1133	0	0	0	0	0	122
ASV_413	0	0	0	0	0	119
ASV_585	0	111	40	49	0	0
ASV_153	0	0	0	0	0	106
ASV_610	0	0	2	2	0	103
ASV_567	0	0	0	0	0	87
ASV_534	0	0	0	0	0	86
ASV_1098	0	0	0	0	0	75
ASV_674	0	0	0	0	0	75
ASV_4	44	0	0	0	5	71
ASV_25	25	0	0	0	59	58
ASV_511	0	0	0	0	0	58
ASV_773	0	0	0	0	0	55
ASV_1184	0	0	0	0	0	52
ASV_90	0	0	0	0	0	48
ASV_348	0	0	0	0	0	46
ASV_445	0	0	0	0	0	43
ASV_434	0	0	0	0	0	41
ASV_1011	0	0	0	0	0	37
ASV_152	0	0	0	0	0	35
ASV_488	0	0	0	0	0	35
ASV_2022	0	0	0	0	0	30
ASV_403	0	0	0	0	0	29
ASV_21	0	0	0	0	0	26
ASV_2949	0	0	0	0	0	23
ASV_1208	0	0	0	0	0	20
ASV_1322	0	0	0	0	0	20
ASV_207	0	0	0	0	0	18
ASV_1169	0	0	0	0	0	17
ASV_57	4	0	0	0	16	0
ASV_1318	0	0	0	0	0	14
ASV_1820	0	0	0	0	0	14
ASV_4013	0	0	0	0	0	14
ASV_901	0	0	0	0	0	13
ASV_1862	0	0	0	0	0	12
ASV_1832	0	0	0	0	0	11
ASV_659	0	0	4	3	0	11
ASV_298	0	0	0	0	0	10
ASV_1657	0	0	0	0	0	9
ASV_1327	0	0	0	0	0	8
ASV_1379	0	0	0	0	0	7
ASV_53	7	0	0	0	0	0
ASV_866	0	0	0	0	0	7
ASV_1068	0	0	0	0	0	6
ASV_161	0	0	0	0	0	6
ASV_3900	0	0	0	0	0	6
ASV_136	5	0	0	0	0	0
ASV_19	5	0	0	2	0	0
ASV_2339	0	0	0	0	0	5
ASV_650	0	0	0	0	0	5
ASV_1300	0	0	0	0	0	4
ASV_598	0	0	0	0	0	4
ASV_99	0	0	0	0	0	4
ASV_1022	0	0	0	0	0	3
ASV_1610	0	0	0	0	0	3
ASV_1702	0	0	0	0	0	3
ASV_2171	0	0	0	0	0	3
ASV_401	0	0	0	0	0	3
ASV_4037	3	0	0	0	0	0
ASV_415	3	0	0	0	0	0
ASV_55	0	0	0	0	0	3
ASV_146	0	0	0	0	0	2
ASV_1918	0	0	0	0	0	2
ASV_1960	0	0	0	0	0	2
ASV_2166	0	0	0	0	0	2
ASV_387	0	0	0	0	0	2
ASV_562	0	0	0	0	0	2
