OTU	Vagina	Cervix	Anus	Introitus	Stool
ASV_1	83447	77397	427	27531	7
ASV_4	0	5	50222	0	0
ASV_5	17	14	49044	35735	7
ASV_25	0	0	21	116	30808
ASV_7	3	7	197	141	22523
ASV_71	0	0	3	403	0
ASV_99	116	281	7	157	0
ASV_56	0	0	209	65	0
ASV_27	0	0	112	202	0
ASV_69	0	0	115	73	0
ASV_97	0	0	110	0	0
ASV_79	0	0	102	0	0
ASV_261	0	0	83	0	0
ASV_2632	0	0	78	24	0
ASV_90	0	0	2	75	0
ASV_901	0	0	0	74	0
ASV_181	0	0	70	0	0
ASV_207	0	0	0	60	0
ASV_44	0	0	54	0	0
ASV_364	0	0	2	53	0
ASV_659	0	0	0	52	0
ASV_153	0	0	38	0	0
ASV_250	0	0	38	2	0
ASV_57	0	0	0	0	35
ASV_174	0	0	2	0	24
ASV_403	0	0	22	0	0
ASV_674	0	0	20	0	0
ASV_567	0	0	17	0	0
ASV_112	0	0	16	4	0
ASV_598	0	0	16	0	0
ASV_219	0	0	14	7	0
ASV_2776	0	0	0	14	0
ASV_610	0	0	0	11	0
ASV_773	0	0	10	0	0
ASV_445	0	0	8	0	0
ASV_897	0	0	8	0	0
ASV_348	0	0	7	0	0
ASV_534	0	0	7	0	0
ASV_562	0	0	7	0	0
ASV_866	0	0	5	0	0
ASV_1602	0	0	4	0	0
ASV_511	0	0	4	0	0
ASV_1372	0	0	3	0	0
ASV_161	0	0	3	0	0
ASV_1960	0	0	0	3	0
ASV_1968	0	0	0	3	0
ASV_301	0	0	3	0	0
ASV_306	0	0	3	0	0
ASV_821	0	0	3	0	0
ASV_1011	0	0	2	2	0
ASV_1068	0	0	2	0	0
ASV_1327	0	0	2	0	0
ASV_21	0	0	2	2	0
ASV_2363	0	0	2	0	0
ASV_284	0	0	2	0	0
ASV_338	0	0	0	0	2
ASV_488	0	0	2	0	0
ASV_650	0	0	2	0	0
